preset,duration_s,dt_s,ke_N_m,tau_s,energy_initial_J,energy_mse_J2,energy_rmse_J,max_abs_energy_error_J,final_energy_ratio,first_rebound_height_m,first_rebound_height_ratio,max_raw_collision_contacts,elapsed_s,step_rate_hz
approx32,2.4,0.001,10000.0,0.0,24034.500000000004,15437885.355896482,3929.1074502864494,25736.267178773884,0.9645913323810684,4.8229570388793945,0.9645914077758789,49,28.170130625003367,85.1966230454678
approx32,2.4,0.001,100000.0,0.0,24034.500000000004,7535313.726490831,2745.052590842447,24203.093723797803,0.8997727069903542,4.498865604400635,0.899773120880127,49,26.30500445800135,91.2373918746848
approx32,2.4,0.0005,10000.0,0.0,24034.500000000004,15080327.528935293,3883.3397390564855,25748.19553948455,0.9819426332231036,4.909714221954346,0.9819428443908691,49,55.795365666010184,86.02865027774337
approx32,2.4,0.0005,100000.0,0.0,24034.500000000004,5119609.646973022,2262.6554415051846,24215.375247991087,0.9464176591517126,4.732091426849365,0.946418285369873,49,54.41718612500699,88.20742750228678
approx64,2.4,0.001,10000.0,0.0,24034.500000000004,15437885.558935562,3929.107476124261,25736.26718205214,0.9645913323810684,4.8229570388793945,0.9645914077758789,49,28.50145679200068,84.20622207190449
approx64,2.4,0.001,100000.0,0.0,24034.500000000004,7535313.905602019,2745.0526234668105,24203.09361906052,0.8997727069903542,4.498865604400635,0.899773120880127,49,26.28016145800939,91.32363984272834
approx64,2.4,0.0005,10000.0,0.0,24034.500000000004,15080333.408545678,3883.340496086543,25748.195356369022,0.9819421806241011,4.909711837768555,0.9819423675537109,49,56.04468562500551,85.64594388336401
approx64,2.4,0.0005,100000.0,0.0,24034.500000000004,5119609.806115836,2262.6554766724507,24215.375259912016,0.9464176591517126,4.732091426849365,0.946418285369873,49,53.14499391699792,90.31894909041971
drake,2.4,0.001,10000.0,0.0,24034.500000000004,16702160.74644706,4086.8277118624733,25718.61957278252,0.9295031482809459,4.648948669433594,0.9297897338867187,49,27.902228499995545,86.01463499592454
drake,2.4,0.001,100000.0,0.0,24034.500000000004,17225064.78416292,4150.308998636478,24173.054157710078,0.8014512110541129,4.009524822235107,0.8019049644470215,49,26.63552795900614,90.10521599923834
drake,2.4,0.0005,10000.0,0.0,24034.500000000004,15440586.10822457,3929.4511204778423,25738.63762186199,0.9641880792403806,4.821617126464844,0.9643234252929688,49,57.59026774999802,83.34741593557125
drake,2.4,0.0005,100000.0,0.0,24034.500000000004,7767726.253323288,2787.064092073106,24208.890060770515,0.8960205340961284,4.481110572814941,0.8962221145629883,49,53.11097341599816,90.3768033472747
