solref_stiffness_s_2,solref_damping_s_1,solimp_d,dt_ms,applied_force_N,mean_normal_force_N,mean_delta_um,single_point_F_over_delta_N_m,mean_contact_count,tail_speed_max_m_s,wall_s
100000.0,632.4555320336759,0.9,0.1,2.0,2.0,0.4999999999992769,4000000.0000057844,4.0,2.4833010186475473e-16,0.06483887499780394
100000.0,632.4555320336759,0.9,0.1,5.0,5.0,1.2499999999995284,4000000.000001509,4.0,1.6546903182481539e-16,0.06404216701048426
100000.0,632.4555320336759,0.9,0.1,10.0,10.0,2.5000000000007017,3999999.9999988778,4.0,1.5901848109735795e-16,0.0636921249970328
100000.0,632.4555320336759,0.9,0.1,20.0,20.0,4.999999999999802,4000000.0000001583,4.0,1.706232090238138e-16,0.06399354099994525
200000.0,894.4271909999159,0.9,0.1,2.0,2.0,0.2499999999997831,8000000.000006941,4.0,1.9711134465746633e-16,0.0644617920042947
200000.0,894.4271909999159,0.9,0.1,5.0,5.0,0.6250000000006146,7999999.999992133,4.0,2.7601518798244167e-16,0.06501595900044776
200000.0,894.4271909999159,0.9,0.1,10.0,10.0,1.250000000002479,7999999.999984135,4.0,8.215869725849027e-17,0.06441625001025386
200000.0,894.4271909999159,0.9,0.1,20.0,20.0,2.499999999999024,8000000.000003124,4.0,3.55139287286423e-16,0.06461416601086967
400000.0,1264.9110640673518,0.9,0.1,2.0,2.0,0.12500000000013775,15999999.999982368,4.0,2.4456331394577084e-16,0.06599979201564565
400000.0,1264.9110640673518,0.9,0.1,5.0,5.0,0.3125000000003099,15999999.999984132,4.0,1.9986585070745121e-16,0.06665783299831674
400000.0,1264.9110640673518,0.9,0.1,10.0,10.0,0.624999999998899,16000000.000028186,4.0,1.7637551445715423e-16,0.06544762497651391
400000.0,1264.9110640673518,0.9,0.1,20.0,20.0,1.2499999999995193,16000000.000006154,4.0,1.7879809385435975e-16,0.06486341697745956
800000.0,1788.8543819998317,0.9,0.1,2.0,1.9999999999999993,0.06250000000006208,31999999.99996821,4.0,3.30860101374137e-16,0.06606949999695644
800000.0,1788.8543819998317,0.9,0.1,5.0,5.0,0.15624999999930228,32000000.000142895,4.0,3.871486985498348e-16,0.06539141599205323
800000.0,1788.8543819998317,0.9,0.1,10.0,10.0,0.3125000000003108,31999999.99996817,4.0,3.215415780765959e-16,0.06562112501705997
800000.0,1788.8543819998317,0.9,0.1,20.0,20.0,0.6249999999988993,32000000.000056352,4.0,1.9824518573006493e-16,0.0646104580082465
1600000.0,2529.8221281347037,0.9,0.1,2.0,2.0,0.03124999999917998,64000000.001679406,4.0,6.228200101372721e-16,0.0650111669965554
1600000.0,2529.8221281347037,0.9,0.1,5.0,5.0,0.07812499999880251,64000000.00098098,4.0,3.753708160552244e-16,0.0648067090078257
1600000.0,2529.8221281347037,0.9,0.1,10.0,10.000000000000004,0.15624999999930678,64000000.00028397,4.0,5.774773518843237e-16,0.0649035419919528
1600000.0,2529.8221281347037,0.9,0.1,20.0,20.0,0.3125000000003089,63999999.99993673,4.0,4.576242726467525e-16,0.06571374999475665
