engine,device,pair_ke_N_m,shape_ke_N_m,pair_tau_ms,shape_tau_ms,dt_ms,applied_force_N,mean_normal_force_N,mean_delta_um,single_point_F_over_delta_N_m,mean_contact_count,tail_speed_max_m_s,max_contacts,max_truncated_contacts,tail_trace_csv,wall_s
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.1,2.0,1.9999995325229976,5.000269901502412,399978.31555493944,4.0,6.979932720696524e-08,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.1ms_F2N/tail_trace.csv,160.7878582100384
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.1,5.0,5.000000774004851,12.499285325510884,400022.93281519966,4.0,3.451989627478724e-08,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.1ms_F5N/tail_trace.csv,127.51023902604356
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.1,10.0,10.0000027734847,24.99949471327895,400008.1956925718,4.0,7.06105964809467e-08,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.1ms_F10N/tail_trace.csv,125.47921211505309
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.1,20.0,20.000001893570953,49.99991338369852,400000.7308030969,4.0,5.229165722653306e-08,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.1ms_F20N/tail_trace.csv,124.89344006590545
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.5,2.0,1.9999993301811247,5.000249182905116,399979.932403916,4.0,1.9193790024019108e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.5ms_F2N/tail_trace.csv,31.973887766245753
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.5,5.0,4.9999992165917195,12.499342783730508,400020.96935047314,4.0,1.606886144145392e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.5ms_F5N/tail_trace.csv,24.17039991915226
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.5,10.0,9.999999952900978,24.9995131113295,400007.7884864522,4.0,1.2768515489369747e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.5ms_F10N/tail_trace.csv,26.11026680795476
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.5,20.0,20.000004865986536,49.99992000972401,400000.7372431181,4.0,1.5044840040445706e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair100000_tau3ms_dt0.5ms_F20N/tail_trace.csv,24.819271678104997
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.1,2.0,1.9999998506513188,0.5001182829814931,3999053.6613222132,4.0,2.3589569764226326e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.1ms_F2N/tail_trace.csv,159.77249215589836
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.1,5.0,5.000000019521238,1.2507457339365182,3997615.089826893,4.0,2.794126885419246e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.1ms_F5N/tail_trace.csv,130.24648021068424
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.1,10.0,9.999999547953445,2.5005892473102524,3999057.2456911504,4.0,2.3197428333787684e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.1ms_F10N/tail_trace.csv,147.12416170537472
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.1,20.0,19.999999439694697,5.000267467453804,3999785.9254274927,4.0,2.744930327480688e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.1ms_F20N/tail_trace.csv,150.94366387603804
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.5,2.0,2.000000206048657,0.5001151423796062,3999079.48504103,4.0,2.4130986275849864e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.5ms_F2N/tail_trace.csv,22.784100885968655
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.5,5.0,5.0000007279721554,1.250660051919585,3997889.530650529,4.0,4.184787201211293e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.5ms_F5N/tail_trace.csv,16.724210211075842
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.5,10.0,9.999999189326031,2.5005220101995977,3999164.6338389185,4.0,3.7129990460016415e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.5ms_F10N/tail_trace.csv,20.198935908265412
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.5,20.0,20.000003717932596,5.000242590658554,3999806.6804391798,4.0,2.842586468432273e-07,4,0,/root/autodl-tmp/sim-exp-extra/box/formal/kpair1e+06_tau3ms_dt0.5ms_F20N/tail_trace.csv,22.933435652405024
