engine,mujoco_version,stack_count,dt_ms,duration_s,solver,integrator,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,solref_timeconst_ms,solref_dampratio,solimp,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
mujoco,3.12.0,1,0.5,3.0,Newton,implicitfast,100,0.7320446592234627,1,1.0,1.0,0.9 0.95 0.001 0.5 2,0.10119999999999574,0.019999856594759165,0.02,0.00014340524083500394,0.0,0.0,0.0,0.0475,4,True,True,False,False,0.06448674999410287
mujoco,3.12.0,1,0.5,3.0,Newton,implicitfast,100,0.8561906348941843,2,2.0,1.0,0.9 0.95 0.001 0.5 2,0.19340201139308316,0.019999426379252908,0.02,0.0005736207470928567,0.0,0.0,0.0,0.048,4,True,True,False,False,0.065010499994969
mujoco,3.12.0,1,0.5,3.0,Newton,implicitfast,100,0.900516580569905,2,4.0,1.0,0.9 0.95 0.001 0.5 2,0.41846336231282644,0.019997705530852748,0.02,0.002294469147252204,0.0,0.0,0.0,0.0645,4,True,True,False,False,0.06346875001327135
mujoco,3.12.0,1,0.5,3.0,Newton,implicitfast,100,0.9085152474587569,2,10.0,1.0,0.9 0.95 0.001 0.5 2,1.0875354205850327,0.019985663078089754,0.02,0.01433692191024627,6.613302226726412e-06,0.0,0.0,0.1105,4,True,True,False,False,0.066029667010298
mujoco,3.12.0,1,1.0,3.0,Newton,implicitfast,100,0.7294235254915028,1,2.0,1.0,0.9 0.95 0.001 0.5 2,0.1796800000000015,0.01999942637925291,0.02,0.0005736207470893873,0.0,0.0,0.0,0.042,4,True,True,False,False,0.03211720901890658
mujoco,3.12.0,1,1.0,3.0,Newton,implicitfast,100,0.8603798733755414,2,4.0,1.0,0.9 0.95 0.001 0.5 2,0.36722839813489727,0.019997705530852717,0.02,0.002294469147283429,0.0,0.0,0.0,0.064,4,True,True,False,False,0.031972791999578476
mujoco,3.12.0,1,1.0,3.0,Newton,implicitfast,100,0.915028323892036,2,10.0,1.0,0.9 0.95 0.001 0.5 2,1.0380875705401915,0.01998566307808977,0.02,0.014336921910228922,6.15664931839995e-06,0.0,0.0,0.111,4,True,True,False,False,0.03379320798558183
mujoco,3.12.0,1,2.0,3.0,Newton,implicitfast,100,0.7395069953364424,1,4.0,1.0,0.9 0.95 0.001 0.5 2,0.3366400000000026,0.019997705530852724,0.02,0.00229446914727649,0.0,7.979727989493313e-14,0.0,0.06,4,True,True,False,False,0.01560533299925737
mujoco,3.12.0,1,2.0,3.0,Newton,implicitfast,100,0.8900732844770153,2,10.0,1.0,0.9 0.95 0.001 0.5 2,0.9364389418096766,0.019985663078089758,0.02,0.0143369219102428,2.9575586669421963e-06,0.0,0.0,0.11,4,True,True,False,False,0.016257249983027577
mujoco,3.12.0,1,5.0,3.0,Newton,implicitfast,100,0.7603993344425957,1,10.0,1.0,0.9 0.95 0.001 0.5 2,0.15025000000000108,0.01998566307808976,0.02,0.01433692191023933,0.0,4.787836793695988e-13,0.0,0.06,4,True,True,False,False,0.006360291998134926
mujoco,3.12.0,3,0.5,3.0,Newton,implicitfast,100,0.848525245792368,5,1.0,1.0,0.9 0.95 0.001 0.5 2,0.17519174499669116,0.05999909176704591,0.06,0.000908232954087429,0.0,6.063920526822031e-05,0.0,0.056,14,True,True,False,False,0.18917374999728054
mujoco,3.12.0,3,0.5,3.0,Newton,implicitfast,100,0.8683552741209798,4,2.0,1.0,0.9 0.95 0.001 0.5 2,0.2561932114516292,0.059996367083827,0.06,0.0036329161729950488,0.0,0.0,0.0,0.0615,12,True,True,False,False,0.17792812502011657
mujoco,3.12.0,3,0.5,3.0,Newton,implicitfast,100,0.9160139976670555,3,4.0,1.0,0.9 0.95 0.001 0.5 2,0.4741821496880661,0.059985469336301944,0.06,0.014530663698053559,0.0,0.0,0.0,0.0755,12,True,True,False,False,0.1772040409850888
mujoco,3.12.0,3,0.5,3.0,Newton,implicitfast,100,0.9398433594400933,2,10.0,1.0,0.9 0.95 0.001 0.5 2,1.164049106393125,0.05990943557826741,0.06,0.09056442173258766,0.0005961394624643733,0.0,0.0,1.1415,14,True,True,False,False,0.18662208298337646
