engine,device,stack_count,dt_ms,duration_s,contact_preset,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,line_search_iterations_mean,ke_N_m,tau_ms,implied_kd_Ns_m,rigid_gap_mm,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,final_linear_speed_max_m_s,final_angular_speed_max_rad_s,layer_signed_gap_mm_json,layer_compression_mm_json,settling_time_s,max_contacts,truncated_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.08742325007915497,0.20032913871109487,0.2,0.32913871109485626,0.0,0.0,0.0,1.110209632315673e-05,5.146263152840279e-17,"[-0.03139346837997478, 0.07174447178840554, 0.0748886168003074, 0.07802903652191079, 0.0811582803726188, 0.08430242538452065, 0.08749127388000405, 0.09053111076354897, 0.09369015693664468, 0.09690880775451577]","[0.03139346837997478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07375,40,0,True,True,False,False,47.690381503001845
sap_warp,cuda:0,10,0.25,3.0,approx64,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.09034574031829834,0.2003290733322501,0.2,0.3290733322501016,0.0,0.0,0.0,2.6497682483750395e-05,5.440304684779199e-17,"[-0.031402781605720936, 0.07174260914325631, 0.07487744092941201, 0.07803648710250771, 0.0811284780502311, 0.08430242538452065, 0.08744657039642251, 0.09050130844116128, 0.09371995925903237, 0.09678959846496499]","[0.031402781605720936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.074,40,0,True,True,False,False,46.08657654900162
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.013917684555053711,0.2004332823678851,0.2,0.43328236788509056,0.0,0.0,0.0,5.4685900977347046e-05,1.6250742668613499e-16,"[-0.003153905272484242, 0.09574837982654488, 0.09620472788810647, 0.09663313627242959, 0.09719192981719887, 0.0976389646530143, 0.0979518890380851, 0.0986075401306144, 0.09902477264404214, 0.09953141212463296]","[0.003153905272484242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.067,40,0,True,True,False,False,45.53068387800158
sap_warp,cuda:0,10,0.25,3.0,approx64,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.08338689804077148,0.20042378157377244,0.2,0.4237815737724304,0.0,0.0,0.0,5.2775187214137986e-05,1.0122599585060525e-17,"[-0.003897100687027394, 0.09298235177993691, 0.0937460362911216, 0.09449481964111245, 0.09532928466796792, 0.09611904621124184, 0.09674489498138344, 0.09765386581420815, 0.09839892387390053, 0.09920358657836831]","[0.003897100687027394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.074,40,0,True,True,False,False,45.39800140800071
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.12812018394470215,0.2003291193395853,0.2,0.32911933958529316,0.0,0.0,0.0,8.423488907283172e-06,1.1437972930719489e-16,"[-0.03139346837997478, 0.07174447178840554, 0.0748886168003074, 0.07804393768310464, 0.08114337921142495, 0.08427262306213296, 0.08746147155761635, 0.09056091308593667, 0.09371995925903237, 0.09681940078735268]","[0.03139346837997478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.075,40,0,True,True,False,False,22.998047303997737
sap_warp,cuda:0,10,0.5,3.0,approx64,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.28315186500549316,0.20032905414700508,0.2,0.3290541470050701,0.0,0.0,0.0,2.526318348827772e-05,4.2931719347796403e-17,"[-0.031400918960571705, 0.07174074649810708, 0.07486253976821816, 0.07802158594131386, 0.08114337921142495, 0.08430242538452065, 0.08737206459045327, 0.09056091308593667, 0.09371995925903237, 0.09684920310974038]","[0.031400918960571705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.083,40,0,True,True,False,False,22.703939106002508
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.10356307029724121,0.20041679684072733,0.2,0.41679684072731815,0.0,0.0,0.0,2.896351543313358e-05,4.553471776915787e-17,"[-0.005284771323204457, 0.09120725095271981, 0.09217023849487221, 0.09313881397247231, 0.09412229061126626, 0.09512066841125405, 0.09601473808288491, 0.09705781936645425, 0.0980114936828605, 0.09902477264404214]","[0.005284771323204457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.076,40,0,True,True,False,False,23.5766323429998
sap_warp,cuda:0,10,0.5,3.0,approx64,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.24956464767456055,0.20039581283926963,0.2,0.3958128392696214,0.0,0.0,0.0,2.1787325749755837e-05,1.3284580194605728e-17,"[-0.008065700531006276, 0.08544981479644692, 0.08708149194717324, 0.08873552083969033, 0.09029269218444741, 0.09184241294860757, 0.09346663951873696, 0.09509086608886635, 0.0967299938201896, 0.09836912155151284]","[0.008065700531006276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0805,40,0,True,True,False,False,24.265509168006247
sap_warp,cuda:0,10,1.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.3574788570404053,0.20032912082970142,0.2,0.329120829701407,0.0,0.0,0.0,1.2232498193043284e-05,2.5865950989422976e-16,"[-0.03138974308967632, 0.07175192236900246, 0.07489234209060586, 0.07802903652191079, 0.08117318153381264, 0.0842875242233268, 0.08741676807403481, 0.09053111076354897, 0.09371995925903237, 0.09681940078735268]","[0.03138974308967632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.078,40,0,True,True,False,False,11.631387624998752
sap_warp,cuda:0,10,1.0,3.0,approx64,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.7142424583435059,0.20031934268772603,0.2,0.31934268772601526,0.0,0.0,0.0,3.492659516268759e-06,1.821453164679645e-16,"[-0.03139346837997478, 0.06865248084068215, 0.07213190197944558, 0.07562249898910439, 0.07911682128906167, 0.08257389068603432, 0.08607566356658852, 0.08954763412475503, 0.09303450584411538, 0.09649157524108803]","[0.03139346837997478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11,40,0,True,True,False,False,11.943717740003194
