engine,device,contact_preset,k_pair_target_N_m,ke_shape_N_m,tau_pair_ms,tau_shape_ms,dt_ms,impact_speed_m_s,margin_mm,rigid_gap_mm,initial_surface_separation_mm,v_pre_m_s,v_post_m_s,e_eff,max_geometric_penetration_mm,contact_duration_ms,peak_normal_force_N,normal_impulse_N_s,momentum_change_N_s,impulse_momentum_relative_error,energy_loss_J,energy_loss_fraction,contact_observed,separated,wall_s,trace_csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.01,0.1,0.0,0.0,1.0,-0.10000000149011612,0.08018282055854797,0.8018281936373086,0.8954671025276189,30.03,9.051754701708358,0.18018276932466945,0.1801828220486641,2.926138798523255e-07,0.0017853577926494613,0.35707154788833073,True,True,14.41873108301661,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p01ms_v0p1/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.01,0.5,0.0,0.0,1.0,-0.5,0.40095964074134827,0.8019192814826965,4.477821737527847,30.020000000000003,45.26366658639793,0.9009605524161115,0.9009596407413483,1.0118930105320236e-06,0.044615683248284466,0.3569254659862757,True,True,11.895992625009967,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p01ms_v0p5/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.01,1.0,0.0,0.0,1.0,-1.0,0.8018061518669128,0.8018061518669128,8.954368978738785,30.03,90.51447935605279,1.8018054537215973,1.8018061518669128,3.8746971467224175e-07,0.17855344741418655,0.3571068948283731,True,True,11.526568583998596,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p01ms_v1/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.01,2.0,0.0,0.0,1.0,-2.0,1.603844165802002,0.801922082901001,17.91132821701467,30.020000000000003,181.05513178798512,3.6038428892362844,3.603844165802002,3.54223340091151e-07,0.7138419459114402,0.3569209729557201,True,True,11.750778457993874,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p01ms_v2/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.025,0.1,0.0,0.0,1.0,-0.10000000149011612,0.08002769201993942,0.8002769082743391,0.8947294950485234,30.0,9.045160870593408,0.18002774268008803,0.18002769351005554,2.731248261385244e-07,0.001797784403992475,0.3595568700828651,True,True,5.918654459004756,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p025ms_v0p1/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.025,0.5,0.0,0.0,1.0,-0.5,0.4000014364719391,0.8000028729438782,4.472138807177544,30.024999999999995,45.21117030505524,0.9000015443863372,0.9000014364719391,1.1990469538276523e-07,0.04499942541019264,0.3599954032815411,True,True,4.87474079200183,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p025ms_v0p5/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.025,1.0,0.0,0.0,1.0,-1.0,0.8000001311302185,0.8000001311302185,8.944276720285416,30.025,90.42239196092677,1.8000003445345343,1.8000001311302185,1.185579445709353e-07,0.1799998950958166,0.3599997901916332,True,True,4.771991290996084,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p025ms_v1/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.025,2.0,0.0,0.0,1.0,-2.0,1.6000022888183594,0.8000011444091797,17.88855902850628,30.025000000000002,180.84482384399718,3.6000017026325546,3.6000022888183594,1.6282928669400775e-07,0.7199963378880057,0.3599981689440028,True,True,4.6339222909882665,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p025ms_v2/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.05,0.1,0.0,0.0,1.0,-0.10000000149011612,0.07975932955741882,0.7975932836891222,0.8934065699577332,29.95,9.033495863243559,0.17975933796065285,0.17975933104753494,3.8457630383746676e-08,0.001819224823287141,0.3638449538140035,True,True,2.8626422499946784,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p05ms_v0p1/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.05,0.5,0.0,0.0,1.0,-0.5,0.398502379655838,0.797004759311676,4.463762491941452,30.0,45.13471850466165,0.8985025979340232,0.898502379655838,2.4293556715674587e-07,0.04559792670431717,0.36478341363453737,True,True,2.3817311250022613,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p05ms_v0p5/trace.csv
sap_warp,cpu,drake,10000.0,20000.0,1.4609375,0.73046875,0.05,1.0,0.0,0.0,1.0,-1.0,0.7970046401023865,0.7970046401023865,8.927536644041538,30.000000000000004,90.26953373163533,1.7970046869492424,1.7970046401023865,2.606941290221332e-08,0.1823918018276327,0.3647836036552654,True,True,2.356597915990278,/Users/xiaowenyuan/Documents/SIM-EXP/exp-results/dynamic-impact-restitution/sap/traces/k10000_dt0p05ms_v1/trace.csv
