time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,solver_iterations
0.0005,0.0,0.0,-7.257520328033309e-31,0.0,0.0,nan,0.0,4,0.0,1.4515040656066618e-30,8.612211349405269e-13,3.248484381394777e-27,7.543903068795698e-15,9.554823787325688e-15,4,0.0,-7.257520328033309e-31,0.0,0.0,nan,nan,0,1
0.001,0.0,0.0,-1.2739809207574398e-17,30.769109257793385,1.5700924586837752e-16,1.0205641284764152e-17,4.7354175561306605e-15,4,0.0,2.5535129566380053e-17,15.31806995029367,2.5696626957887492e-14,3.3550737189830952e-15,3.3780656208168514e-15,4,0.0,-1.2795320358805655e-17,0.0,0.0,nan,nan,0,1
0.0015,0.0,0.0,-5.492828414333035e-17,46.424538616897294,1.7423725687733542e-13,7.50625690931122e-15,1.1042795948562264e-14,4,0.0,5.867528685144097e-17,33.75057539227117,8.734685743839999e-14,5.176021826188023e-15,5.526098649738142e-15,4,0.0,-2.3009372185357095e-17,21.29131447598116,7.467257359121445e-14,7.014369514428333e-15,8.688954901571563e-15,4,1
0.002,0.0,0.0,-2.428612866367603e-17,38.43701896046049,1.0331637877786762e-13,5.375878857002278e-15,5.562112443222192e-15,4,0.0,1.2712053631959499e-17,27.154400005123897,1.3312158722958984e-13,9.804789441451145e-15,9.99793139701036e-15,4,0.0,-4.7434278727110536e-17,15.894554386204407,1.0498492670015199e-13,1.3210175529208053e-14,1.438919380020642e-14,4,3
0.0025,0.0,0.0,-9.742207041086478e-18,33.97498308233584,1.2085469898924156e-13,7.114334608871427e-15,7.272024449035103e-15,4,0.0,-1.462718834943498e-17,23.45850799916758,1.3173762182522663e-13,1.1231543099834083e-14,1.1388562932022587e-14,4,0.0,-6.292188992063147e-17,12.89764920590878,1.0131266656905581e-13,1.5710253078156538e-14,1.6619182627086907e-14,4,3
0.003,0.0,0.0,-3.469446951954344e-18,31.51174760991579,9.506316658378917e-14,6.033506472606786e-15,6.1071174935709826e-15,4,0.0,-2.9143354396408906e-17,21.410890752890406,9.758666841257108e-14,9.115610325497287e-15,9.113425266054987e-15,4,0.0,-7.130407375655142e-17,11.250913190160702,7.372068138055175e-14,1.310483516040688e-14,1.3302561988863992e-14,4,3
0.0035,0.0,0.0,-1.2490009027040306e-18,30.177718806354665,6.168535403388065e-14,4.088138963034626e-15,4.234980614699824e-15,4,0.0,-3.602673714908487e-17,20.296763004162976,6.056251163175708e-14,5.967701511747009e-15,5.981636079682504e-15,4,0.0,-7.396860901565178e-17,10.36149382995744,4.374070232220965e-14,8.442933623286114e-15,9.019369369653429e-15,4,3
0.004,0.0,0.0,-5.828670879289367e-19,29.478146737999502,2.222221696114844e-14,1.5077078731345323e-15,1.5679216987278803e-15,4,0.0,-3.8302694349566443e-17,19.708530670430715,1.8683051378690774e-14,1.8959354901805543e-15,1.9061239559106085e-15,4,0.0,-7.185918526886398e-17,9.894828636216419,1.171997780105896e-14,2.368909706664802e-15,2.472121046983214e-15,4,2
0.0045000000000000005,0.0,0.0,-7.494005416227101e-19,29.132032902067607,1.0672587275020413e-14,7.327046012132535e-16,7.718953768205145e-16,4,0.0,-3.7553293807944465e-17,19.414173699709284,1.1174459590169922e-14,1.1511650985524306e-15,1.2155803089139656e-15,4,0.0,-6.752931547282588e-17,9.66237183357201,1.0729699739029266e-14,2.2209246184769697e-15,2.305376135929117e-15,4,2
0.005,0.0,0.0,-8.604228440852258e-19,28.980198914155597,2.2642290227186586e-14,1.562604197042056e-15,1.7255537261453615e-15,4,0.0,-3.555489236361918e-17,19.281956401410973,2.377052280203468e-14,2.4655716782240264e-15,2.533446921388772e-15,4,0.0,-6.158962229108128e-17,9.558098950481432,1.9891967624434863e-14,4.1623272007312556e-15,4.426351947105755e-15,4,1
0.0055,0.0,0.0,-1.1379786002415149e-18,28.93283414368051,3.015333850546961e-14,2.0843681165645975e-15,2.2443112895932895e-15,4,0.0,-3.258504577274689e-17,19.237371595494682,3.0855388653651867e-14,3.2078590882839816e-15,3.240093927236771e-15,4,0.0,-5.526135105071789e-17,9.522596019602291,2.474195359272085e-14,5.19647237828623e-15,5.44356127790935e-15,4,1
0.006,0.0,0.0,-1.3045120539352883e-18,28.939577239720325,3.3391145650731896e-14,2.307645711209746e-15,2.350201045479156e-15,4,0.0,-2.922662112325579e-17,19.238527534926558,3.409611000547233e-14,3.544565450092019e-15,3.593296232480781e-15,4,0.0,-4.921063556651078e-17,9.522750694205468,2.6017783457282432e-14,5.464342035776298e-15,5.671804535593648e-15,4,1
0.006500000000000001,0.0,0.0,-1.3600232051665462e-18,28.97245819138152,3.415681924545879e-14,2.357882028499706e-15,2.427827893801456e-15,4,0.0,-2.5923707624995952e-17,19.262084804673215,3.455913309814064e-14,3.5883066084057704e-15,3.684489956434405e-15,4,0.0,-4.332645353599745e-17,9.540268899400791,2.6089263732476667e-14,5.46929316302925e-15,5.497701329667217e-15,4,1
0.007,0.0,0.0,-1.5265566588603196e-18,29.01617900189114,3.281530800454656e-14,2.2618628043622015e-15,2.3375922174562626e-15,4,0.0,-2.2731816429198627e-17,19.295226730784755,3.2910608185902677e-14,3.411269392693389e-15,3.450789663016983e-15,4,0.0,-3.7664316110409144e-17,9.565184189494271,2.494525721458743e-14,5.2158446132141506e-15,5.416937266709709e-15,4,1
0.0075,0.0,0.0,-1.082467449010257e-18,29.062581062094267,3.1716256299778366e-14,2.1826180016161905e-15,2.2691334162064953e-15,4,0.0,-2.0455859228717058e-17,19.331079284385332,3.056137973404384e-14,3.161890682299335e-15,3.216521554342588e-15,4,0.0,-3.239075674343965e-17,9.592191557671661,2.3177678757841263e-14,4.832613823126619e-15,5.142297048825335e-15,4,1
0.008,0.0,0.0,-1.1379786002415149e-18,29.107500269807655,2.8265589214907017e-14,1.942151607173638e-15,1.9855038498351735e-15,4,0.0,-1.7680301667154167e-17,19.366102352581166,2.8047207573375306e-14,2.896525801913579e-15,2.9512813215591582e-15,4,0.0,-2.794986464493902e-17,9.618578939445394,2.0777441976454563e-14,4.320272694596732e-15,4.505769811341529e-15,4,1
0.0085,0.0,0.0,-1.082467449010257e-18,29.148983269248212,2.403523874761102e-14,1.6491305048686124e-15,1.6855340066160767e-15,4,0.0,-1.4988010832438163e-17,19.398607024591897,2.327986062786235e-14,2.4001579699356896e-15,2.4639333185566026e-15,4,0.0,-2.4730217873526065e-17,9.643062262993944,1.602949494069546e-14,3.3245652684853e-15,3.457329265920066e-15,4,1
0.009000000000000001,0.0,0.0,-8.049116928539678e-19,29.18627903667533,1.3008573715882579e-14,8.914170730387434e-16,9.25533947781175e-16,4,0.0,-1.3544720900425457e-17,19.42791555285982,1.2024785974575266e-14,1.2378874040149097e-15,1.2906342039172618e-15,4,0.0,-2.2620794126738272e-17,9.665131251406187,7.980499503672216e-15,1.6514001302385061e-15,1.7586575361343667e-15,4,1
0.0095,0.0,0.0,-4.16333634235163e-19,29.219271663434387,8.232137155024967e-15,5.634731248504621e-16,5.846981134577714e-16,4,0.0,-1.271205363195659e-17,19.453887722657342,7.389373301820737e-15,7.596808830365112e-16,8.090188408486313e-16,4,0.0,-2.13995487996506e-17,9.684683712140764,5.382083014356898e-15,1.1114628364393345e-15,1.169072534585091e-15,4,1
