time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_phi_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_phi_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_phi_min_m,solver_iterations,line_search_iterations,truncated_contacts
0.0005,0.0,0.0,0.000576751830521971,62.273210567997495,3.524233841403746,0.11318619384672828,0.15289066896115874,4,0.0,0.0,0.0020605045720003545,61.3593830203845,1.8929333391134657,0.06169988177634071,0.10520292809567616,4,-0.00010000169277191162,0.0,-0.004605259979143739,12.067357537894019,5.5663544938049725,0.9225473723349058,0.9225473723349058,1,0.0,-1,-1,0
0.001,0.0,0.0,4.466762766242027e-05,17.47989864563099,1.5049613937814024,0.17219337758088887,0.21648332881994523,4,-2.8014183044433594e-06,0.0,0.0025943410582840443,0.0,0.0,nan,nan,0,nan,0.0,-0.004608764545992017,46.51830387463408,0.006626414189545544,0.00028489491824137015,0.019844954160047036,4,-0.00011689215898513794,-1,-1,0
0.0015,0.0,0.0,-6.314522761385888e-05,10.92241160523859,0.3049408041037669,0.055837632772878044,0.05893635220457397,4,-3.1534582376480103e-06,0.0,0.0027021539135603234,0.0,0.0,nan,nan,0,nan,0.0,-0.004608764545992017,0.0,0.0,nan,0.0,4,-0.00010225176811218262,-1,-1,0
0.002,0.0,0.0,0.00019527632684912533,73.98248925572003,3.5966393833588732,0.09722947739503901,0.10885722186698468,4,-3.118067979812622e-06,0.0,0.0009139569156104699,73.16528619535435,4.328249343524671,0.11831428724185035,0.12399261142192393,4,-0.00010282546281814575,0.0,-0.0030789891025051475,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0025,0.0,0.0,-4.917396290693432e-05,18.969650506656777,0.6919616693918631,0.07295460389731923,0.07934807157065997,4,-5.587935447692871e-06,0.0,0.0011584072053665295,0.0,0.0,nan,nan,0,nan,0.0,-0.0030789891025051475,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.003,0.0,0.0,-9.066506027011201e-05,10.948439757601781,0.11746090527724501,0.021457104003461114,0.02215588035121825,4,-5.5264681577682495e-06,0.0,0.0008371848307433538,0.0,0.0,nan,nan,0,nan,0.0,-0.0023535621585324407,32.118140480622046,1.0266041143731959,0.06392674663046453,0.15233383218727212,4,-0.00010164083505515009,-1,-1,0
0.0035,0.0,0.0,-8.813130989437923e-05,9.803292834707339,0.0071460799356439265,0.0014578938028545101,0.0026475423465281826,4,-5.1371753215789795e-06,0.0,0.000834651080367621,0.0,0.0,nan,nan,0,nan,0.0,-0.0023535621585324407,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.004,0.0,0.0,-7.754799298709258e-05,9.661080535886503,0.029930204151518678,0.006196036569686307,0.007057090782562243,4,-4.753470420837402e-06,0.0,0.0008240677634603344,0.0,0.0,nan,nan,0,nan,0.0,-0.0023535621585324407,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0045000000000000005,0.0,0.0,-0.00017705345817375928,80.31357300815452,1.0742090685437395,0.02675037427197197,0.028076067802558495,4,-4.416331648826599e-06,0.0,0.0006430249632103369,80.74480533996869,0.7924067743540607,0.019627436613852835,0.024441051012670297,4,-0.00010830163955688477,0.0,-0.0020730138930957764,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.005,0.0,0.0,-6.527869118144736e-05,19.77312452136821,0.31643618480938973,0.03200669519553441,0.03306058044115326,4,-6.53974711894989e-06,0.0,0.0005312501962180249,0.0,0.0,nan,nan,0,nan,0.0,-0.0020730138930957764,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0055,0.0,0.0,-3.6198223824612796e-05,10.960395126230834,0.08230743731015676,0.01501906388633298,0.015140318868326761,4,-6.284564733505249e-06,0.0,0.0005021697288611904,0.0,0.0,nan,nan,0,nan,0.0,-0.0020730138930957764,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.006,0.0,0.0,-2.651778959261719e-05,9.715380889039112,0.027391078064365283,0.005638703902029797,0.005702085224150233,4,-5.772337317466736e-06,0.0,0.0004924892946291948,0.0,0.0,nan,nan,0,nan,0.0,-0.0020730138930957764,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.006500000000000001,0.0,0.0,-2.143180972780101e-05,9.571861522280479,0.014387379686027464,0.003006182162693824,0.003063939796730228,4,-5.291774868965149e-06,0.0,4.4469106796896085e-06,0.0,0.0,nan,nan,0,nan,0.0,-0.0011071010758314515,39.47159678904541,1.3666514908086855,0.06924733742659095,0.09430924907382898,4,-0.00010102988744620234,-1,-1,0
0.007,0.0,0.0,-1.808968409022782e-05,9.583723958654346,0.009453355013129858,0.0019727936768448424,0.0020183282793016667,4,-4.8782676458358765e-06,0.0,1.1047850421164185e-06,0.0,0.0,nan,nan,0,nan,0.0,-0.0011071010758314515,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0075,0.0,0.0,-0.00023213420354295522,93.24080872491854,0.07110173286046076,0.001525120466730977,0.0016902608179288077,4,-4.522502422332764e-06,0.0,0.00040411276859231293,95.57441586507116,0.534359355501754,0.011182058517755318,0.012643292172558754,4,-0.00010904297232627869,0.0,-0.0012960645399289206,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.008,0.0,0.0,-2.992700865434017e-05,21.58833495229478,0.5719698422374273,0.05298878709278397,0.05656093607317939,4,-7.247552275657654e-06,0.0,0.00020190557370369788,0.0,0.0,nan,nan,0,nan,0.0,-0.0012960645399289206,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0085,0.0,0.0,1.249464912689291e-05,11.159358192258912,0.11999474819618904,0.02150567194436463,0.02202453217157982,4,-7.031485438346863e-06,0.0,-0.0002700203585845884,0.0,0.0,nan,nan,0,nan,0.0,-0.0004370560054667294,47.95192886553794,1.214935832909394,0.050673074541639274,0.06250692863072226,4,-0.00010125340486411005,-1,-1,0
0.009000000000000001,0.0,0.0,-0.00022405237541534007,78.47164797190652,0.42035171203984717,0.01071346716690177,0.011839321013029282,4,-6.4373016357421875e-06,0.0,0.00035193793883081526,78.61073282563004,1.089011269284869,0.02770642710329271,0.028942573913690057,4,-0.00010073930025100708,0.0,-0.0008224672783399001,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0095,0.0,0.0,-4.4743609350916813e-07,19.34452081607021,0.632132156863134,0.06535516313621977,0.07081146432938595,4,-8.56444239616394e-06,0.0,0.00012833299950898436,0.0,0.0,nan,nan,0,nan,0.0,-0.0008224672783399001,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.01,0.0,0.0,4.265730603947304e-05,10.761535595864888,0.1218572022033424,0.022646805582312236,0.022939577934659987,4,-8.083879947662354e-06,0.0,-0.00027543720716494136,0.0,0.0,nan,nan,0,nan,0.0,-0.00010113634925801307,41.2814315311396,1.0198441688099,0.049409341245378394,0.06022067825987082,4,-0.00010545552504481748,-1,-1,0
0.0105,0.0,0.0,4.601863111020066e-05,9.570383047970484,0.009495274128521879,0.001984303884374924,0.0023201013817621746,4,-7.323920726776123e-06,0.0,-0.00027879853223566897,0.0,0.0,nan,nan,0,nan,0.0,-0.00010113634925801307,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.011,0.0,0.0,-0.00020319367467891425,79.81623259517335,0.5214674875472769,0.013066702614044731,0.014455565822298356,4,-6.619840860366821e-06,0.0,0.00040372875810135156,80.41695672574681,1.2267424044053963,0.030509545607130255,0.03174661373684648,4,-0.00010129064321517944,0.0,-0.0005344513338059187,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0115,0.0,0.0,1.6886622688616626e-05,19.533085903367205,0.6227986312714447,0.06376858570658145,0.06885273895844828,4,-8.769333362579346e-06,0.0,0.00018364846073382068,0.0,0.0,nan,nan,0,nan,0.0,-0.0005344513338059187,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.012,0.0,0.0,5.7164288591593504e-05,10.782312569641507,0.113983623344434,0.021142704333273424,0.021150577853990302,4,-8.264556527137756e-06,0.0,0.0001433707948308438,0.0,0.0,nan,nan,0,nan,0.0,-0.0005344513338059187,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0125,0.0,0.0,5.8477933635003865e-05,9.567392038028544,0.003727339933214379,0.0007791757499638187,0.0013238028645123387,4,-7.4803829193115234e-06,0.0,-0.00018801615806296468,0.0,0.0,nan,nan,0,nan,0.0,0.0001256952805306355,39.90835781641283,0.9337108876571517,0.04679274912550528,0.05350557826472674,4,-0.00010189414751948789,-1,-1,0
0.013000000000000001,0.0,0.0,5.185815098229796e-05,9.445329065671618,0.018721301812864178,0.003964139667913832,0.0043599382950063196,4,-6.752088665962219e-06,0.0,-0.00018139637541025877,0.0,0.0,nan,nan,0,nan,0.0,0.0001256952805306355,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0135,0.0,0.0,-0.00015225677634589374,86.20101059646655,0.4641493229970113,0.010768999569386421,0.011621187948369806,4,-6.122514605522156e-06,0.0,0.0003908131766365841,87.68597527363025,1.0419809120306271,0.023766193140443554,0.024631086452193113,4,-0.00010190904140472412,0.0,-0.00024239934418801568,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.014,0.0,0.0,2.2837431970401667e-05,20.482056534825364,0.49565126050376457,0.0483985833806303,0.051210187062196995,4,-8.521601557731628e-06,0.0,0.0002157189683202887,0.0,0.0,nan,nan,0,nan,0.0,-0.00024239934418801568,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0145,0.0,0.0,5.4014395573176444e-05,10.933529646921789,0.08826072309796189,0.016144964334149987,0.01629333307347152,4,-8.07829201221466e-06,0.0,0.00018454200471751392,0.0,0.0,nan,nan,0,nan,0.0,-0.00024239934418801568,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.015,0.0,0.0,5.3790357924299315e-05,9.599332759003088,0.000618590753920212,0.00012888203158496487,0.0005873875174292986,4,-7.322058081626892e-06,0.0,-6.66115620333585e-05,0.0,0.0,nan,nan,0,nan,0.0,0.00026035585960926255,44.86112629240302,0.7116641603516513,0.031727431706152574,0.035119860794078646,4,-0.0001049935890478082,-1,-1,0
0.0155,0.0,0.0,4.7518740757368505e-05,9.45863502083052,0.01773586645144372,0.0037501957549655853,0.004080557621274333,4,-6.61797821521759e-06,0.0,-6.0339944866427686e-05,0.0,0.0,nan,nan,0,nan,0.0,0.00026035585960926255,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.016,0.0,0.0,-0.00010166052379645407,92.57485727920576,0.34378763592069583,0.007427235558869562,0.00782609445621994,4,-6.010755896568298e-06,0.0,0.00035974319325760007,94.9589269631686,0.7654584739369742,0.01612188550179953,0.016672800783713842,4,-0.000106029212474823,0.0,-1.0548013960942626e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0165,0.0,0.0,2.378336648689583e-05,21.39892672093247,0.3545900399799408,0.03314091819690005,0.03439373565796074,4,-8.597970008850098e-06,0.0,0.00023429930297425017,0.0,0.0,nan,nan,0,nan,0.0,-1.0548013960942626e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.017,0.0,0.0,4.5175063860369846e-05,11.053725837849203,0.060462694958720656,0.010939785524929444,0.011109801960886812,4,-8.163973689079285e-06,0.0,3.393285078345798e-05,0.0,0.0,nan,nan,0,nan,0.0,0.00034740150294965133,46.41925187202817,0.5059870377198669,0.021800740740708497,0.02367042158424454,4,-0.00010035187733592466,-1,-1,0
0.0175,0.0,0.0,4.414063732838258e-05,9.605044128931926,0.0029339356922539342,0.0006109156091051058,0.0009150610509856543,4,-7.398426532745361e-06,0.0,3.4967277315445244e-05,0.0,0.0,nan,nan,0,nan,0.0,0.00034740150294965133,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.018000000000000002,0.0,0.0,-6.580448098247871e-05,87.50656749350867,0.2587232695756214,0.005913230903379082,0.006159513292992975,4,-6.683170795440674e-06,0.0,0.0003462164822849445,89.20849684597773,0.5699148871623094,0.01277714359757214,0.013205982364152912,4,-0.0001080632209777832,0.0,0.00014609741629101336,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0185,0.0,0.0,2.5325010938104242e-05,20.625690388187568,0.2579290790276674,0.025010467448438437,0.025680377547398464,4,-8.957460522651672e-06,0.0,0.00025508699036436155,0.0,0.0,nan,nan,0,nan,0.0,0.00014609741629101336,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.019,0.0,0.0,3.9887308957986534e-05,10.914230117906357,0.041222135812618146,0.007553832999175514,0.007723840920893245,4,-8.435919880867004e-06,0.0,0.00024052469234447926,0.0,0.0,nan,nan,0,nan,0.0,0.00014609741629101336,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0195,0.0,0.0,3.8181802665349096e-05,9.562461507803368,0.004817249419444733,0.0010075333459933211,0.0012346711045818483,4,-7.625669240951538e-06,0.0,0.00011326178355375305,0.0,0.0,nan,nan,0,nan,0.0,0.0004040342173539102,46.33754125906416,0.36492866024013326,0.01575088579689148,0.0168035989190818,4,-0.0001054033637046814,-1,-1,0
0.02,0.0,0.0,3.334321081638336e-05,9.424224032083853,0.013684322324507857,0.002904074070803265,0.0030654784878695793,4,-6.876885890960693e-06,0.0,0.00011810037540271878,0.0,0.0,nan,nan,0,nan,0.0,0.0004040342173539102,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0205,0.0,0.0,-2.697295531106647e-05,91.87103132641649,0.1245566182216796,0.002711553716625466,0.002769395701206336,4,-6.230548024177551e-06,0.0,0.00028287114946579095,94.18931220124422,0.2949597745365545,0.006263126200695584,0.006546476563477315,4,-0.00010746344923973083,0.0,0.0002995796094182879,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.021,0.0,0.0,2.0138826585025527e-05,21.276486506980923,0.13309370971909723,0.012510872946567424,0.012652383814188935,4,-8.676201105117798e-06,0.0,0.00023575936756969895,0.0,0.0,nan,nan,0,nan,0.0,0.0002995796094182879,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.021500000000000002,0.0,0.0,2.6860423531616107e-05,11.018862558159645,0.0189810047373802,0.0034451840445771714,0.00353650909998766,4,-8.206814527511597e-06,0.0,0.00022903777062310837,0.0,0.0,nan,nan,0,nan,0.0,0.0002995796094182879,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.022,0.0,0.0,2.493361353117507e-05,9.58578507001517,0.005455727057230106,0.0011382953023421944,0.0012331278470275584,4,-7.428228855133057e-06,0.0,0.00016101521214295644,0.0,0.0,nan,nan,0,nan,0.0,0.0004394783463794738,48.49951805421804,0.19747196906251094,0.008143254901698415,0.008618830451814618,4,-0.00010995566844940186,-1,-1,0
0.0225,0.0,0.0,2.1770585590275005e-05,9.434590161551052,0.008947527834439228,0.001896749658698105,0.001965391854546118,4,-6.709247827529907e-06,0.0,0.0001641782400838565,0.0,0.0,nan,nan,0,nan,0.0,0.0004394783463794738,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.023,0.0,0.0,2.2375420485332143e-06,95.3055712620628,0.03229701891450494,0.0006777572074081055,0.0006802179574164415,4,-6.087124347686768e-06,0.0,0.00021453611088873004,98.10557842880088,0.08747127808589769,0.001783207020167137,0.0019249216604339658,4,-0.00010927021503448486,0.0,0.00040865351911634207,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0235,0.0,0.0,1.4602193004975561e-05,21.772858973180558,0.03491422211476853,0.003207132527499056,0.003213107861110685,4,-8.637085556983948e-06,0.0,0.0002021714599322877,0.0,0.0,nan,nan,0,nan,0.0,0.00040865351911634207,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.024,0.0,0.0,1.5269544746843167e-05,11.085565539955631,0.0018763238095787815,0.00033851656964472584,0.00037113767171362576,4,-8.182600140571594e-06,0.0,0.00018078461107506882,0.0,0.0,nan,nan,0,nan,0.0,0.00045009249879512936,47.44182615014656,0.058252358050747244,0.0024557384391733533,0.002665948374673153,4,-0.00010335445404052734,-1,-1,0
0.0245,0.0,0.0,1.3680134543392342e-05,9.590397735396495,0.0044977003492203925,0.0009379590864349995,0.0009656491412976287,4,-7.409602403640747e-06,0.0,0.00018237402127851965,0.0,0.0,nan,nan,0,nan,0.0,0.00045009249879512936,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.025,0.0,0.0,1.8974882550537586e-05,87.83188016564034,0.016619263827148397,0.00037843352085385095,0.0003812193477290313,4,-6.6943466663360596e-06,0.0,0.00016594822227489203,89.60050176934419,0.0316235000575743,0.0007058777447247271,0.0007141248368526846,4,-0.00010903552174568176,0.0,0.00046122354979161173,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.025500000000000002,0.0,0.0,1.052726565831108e-05,20.658902307393365,0.02391690206338975,0.0023154087964131972,0.002315667840402352,4,-8.866190910339355e-06,0.0,0.00017439583916711854,0.0,0.0,nan,nan,0,nan,0.0,0.00046122354979161173,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.026000000000000002,0.0,0.0,7.826442924852017e-06,10.906274086218975,0.007643590708571389,0.0014016868910767114,0.0014073214614800727,4,-8.337199687957764e-06,0.0,0.0001770966619005776,0.0,0.0,nan,nan,0,nan,0.0,0.00046122354979161173,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0265,0.0,0.0,6.447382020269288e-06,9.550291112764263,0.0039014416271234502,0.0008170309325773434,0.000822364139471109,4,-7.536262273788452e-06,0.0,0.00018902265992437606,0.0,0.0,nan,nan,0,nan,0.0,0.0004401296755531803,45.651342432927116,0.029781946202533563,0.0013047566452745814,0.0012693148348256994,4,-0.00010517239570617676,-1,-1,0
0.027,0.0,0.0,5.322722245182376e-06,9.412458308031368,0.0031811856051232263,0.0006759521266423706,0.0006796290569660537,4,-6.798654794692993e-06,0.0,0.00019014731969946297,0.0,0.0,nan,nan,0,nan,0.0,0.0004401296755531803,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0275,0.0,0.0,3.6102530430071056e-05,90.20025518851484,0.06731822990817939,0.0014926394557861736,0.0015049374920032496,4,-6.163492798805237e-06,0.0,0.00010478281183168292,92.2911254467523,0.15442008220516656,0.0033463690351085767,0.0033639562292775145,4,-0.00010576844215393066,0.0,0.0004947143752360716,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.028,0.0,0.0,6.312911409622757e-06,21.031317423566882,0.08429284329740135,0.008015935625882004,0.00809287232500521,4,-8.48434865474701e-06,0.0,0.00013457243085213122,0.0,0.0,nan,nan,0,nan,0.0,0.0004947143752360716,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0285,0.0,0.0,-2.8792561579393805e-07,10.982628378168869,0.01867674953408796,0.0034011438593722007,0.003414739267820622,4,-8.031725883483887e-06,0.0,0.00014117326787754791,0.0,0.0,nan,nan,0,nan,0.0,0.0004947143752360716,0.0,0.0,nan,nan,0,nan,-1,-1,0
