configuration,tag,force_target_N,trace,tail_slope_um_s,tail_slope_R2,tail_vt_mean_um_s,tail_vt_std_um_s,tail_vt_rms_um_s,hold_displacement_um,tail_Fn_mean_N,tail_Fn_cv,tail_Ft_mean_N,tail_rho_mean,tail_contact_duty,tail_contacts_mean,tail_gap_mean_mm,tail_gap_std_um,tail_max_body_vz_rms_mm_s,tail_solver_iterations_mean,tail_solver_iterations_max
impratio_10,tc1ms_ir10_ns0,1.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir10_ns0/trace_F_1N.csv,2.639953142916852,0.9999999999999976,2.6399531427815193,2.942595530032887e-07,2.639953142781536,21.121033749878755,9.809981770178805,9.394220658177967e-10,0.9999999999987529,0.20387397722565304,1.0,4.0,-0.0005468514755057457,2.588094397077727e-05,7.451469780202802e-08,1.0,1
impratio_10,tc1ms_ir10_ns0,2.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir10_ns0/trace_F_2N.csv,5.280011518938041,0.9999999999999958,5.280011518626954,7.686653148491251e-07,5.28001151862701,42.24290201938857,9.809927036232349,4.11067313074093e-09,1.9999999999969087,0.40775022945839134,1.0,4.0,-0.0005478656331176286,0.00010364512850005471,2.9836117646507144e-07,1.0,1
impratio_10,tc1ms_ir10_ns0,3.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir10_ns0/trace_F_3N.csv,7.920175530204724,0.9999999999999932,7.920175529683464,1.4599326924588272e-06,7.9201755296836,63.365606523309495,9.80983573129828,1.0045524918106946e-08,2.9999999999944693,0.6116310368833129,1.0,4.0,-0.0005495573636201092,0.00023347517499571496,6.719891350362828e-07,0.9975062344139651,1
impratio_10,tc1ms_ir10_ns0,4.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir10_ns0/trace_F_4N.csv,7.668839032281664,0.9999949621449696,7.63793707506317,1.9955480409923003,7.894320410683414,96.22565948792429,9.809658614092363,0.0007253727437136681,4.000228209939247,0.8155702196703996,1.0,5.972568578553616,-0.00035207634275362046,0.02389521719799359,0.002206270468572735,1.0124688279301746,3
impratio_100,tc1ms_ir100_ns0,1.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir100_ns0/trace_F_1N.csv,0.2639949715041481,1.0,0.26399497149150586,2.9518324258984162e-09,0.26399497149150586,2.113372376839314,9.809981877552193,9.385111374488154e-11,0.9999999999999309,0.20387397499442747,1.0,4.0,-0.0005465514195865932,2.5575117163214314e-06,7.36770023341836e-09,1.0,1
impratio_100,tc1ms_ir100_ns0,2.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir100_ns0/trace_F_2N.csv,0.5280002570246894,1.0,0.5280002570141148,7.678628405274962e-09,0.5280002570141149,4.226827201339107,9.809927505798726,4.1015630728829207e-10,1.999999999999969,0.4077502099414605,1.0,4.0,-0.0005466646203555062,1.02314117366124e-05,2.9461724589992892e-08,1.0,1
impratio_100,tc1ms_ir100_ns0,3.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir100_ns0/trace_F_3N.csv,0.7920158547730781,0.9999999999999999,0.7920158547630736,1.4536296461091292e-08,0.7920158547630737,6.340364443318393,9.809836878130504,1.0011031100707229e-09,2.999999999999949,0.611630965380878,1.0,4.0,-0.0005468533066603107,2.3023740921704537e-05,6.629511616918886e-08,1.0,1
impratio_100,tc1ms_ir100_ns0,4.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir100_ns0/trace_F_4N.csv,1.3458065755695976,0.9999999998602904,1.3458065606930714,3.557007633670625e-05,1.3458065611631354,10.770650010439402,9.809709882411251,2.2019954800136846e-09,3.9999999997356275,0.815518511288005,1.0,4.0,-0.0005469492773791099,5.215061971101348e-05,1.3938200488011124e-07,1.0,1
native_1ms,tc1ms_ir1_ns0,1.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir1_ns0/trace_F_1N.csv,26.399876681776103,0.9999999999997451,26.399876675582952,2.980762024174137e-05,26.399876675599778,211.1992837818017,9.809980689645782,9.501963115225997e-09,0.9999999998722832,0.20387399965583242,1.0,4.0,-0.0005500504643771525,0.00028967440186707447,8.328564131121564e-07,1.0,1
native_1ms,tc1ms_ir1_ns0,2.0,exp-results/frictional-stack-v3/force-holds/mujoco-native/tc1ms_ir1_ns0/trace_F_2N.csv,52.80102421382673,0.9999999999995514,52.8010242185866,7.908747298294266e-05,52.80102421864583,422.40794934183276,9.80992227980125,4.207471337996923e-08,1.9999999996867086,0.40775042709660125,1.0,4.0,-0.0005607446665536697,0.0011720673804936767,3.3644864791389917e-06,1.0,1
