time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-1.1336621910620019e-18,27.225745856041588,3.0631026458319007e-15,2.250151501470933e-16,2.280166085802511e-16,4,-2.805954571796429e-05,-2.4893151135556985e-05,0.0,6.605071444471105e-18,17.709661604105012,3.4640832514851047e-15,3.9120829397238705e-16,3.7347716415085274e-16,4,-8.609294515300736e-06,-6.908261136696316e-06,0.0,1.412818858110477e-18,8.856959353978317,2.599675074384283e-15,5.870355661543319e-16,6.286174784342471e-16,4,-2.060697348554158e-05,-1.8315801103869256e-05,-0.006332789164816784,-0.00973485592203062,-0.01431720068535848,1
0.01,0.0,0.0,-2.6716358352254283e-18,28.096706792345394,3.631318286669897e-15,2.584871112125643e-16,2.6103682248914717e-16,4,-6.318296626939626e-05,-5.942497363829735e-05,0.0,1.1478532672249948e-17,18.479756593603497,4.006759260505453e-15,4.336376661900769e-16,3.945198113562017e-16,4,-3.311752634657661e-05,-3.015380037637585e-05,0.0,7.985354295879078e-18,9.252752775222701,2.9964223123938594e-15,6.476823460403631e-16,7.135095692474281e-16,4,-4.3335970198239704e-05,-4.108599283879461e-05,-0.007515985262200491,-0.013443437202599216,-0.017943391921488534,1
0.015,0.0,0.0,-3.50666010797232e-18,28.736550369291567,2.9026174777799603e-15,2.020157214751673e-16,2.0406942946094604e-16,4,-0.0001029509030315151,-9.882492722191119e-05,0.0,1.5205733554417955e-17,19.039047086402437,3.1413623975593987e-15,3.2999155717230608e-16,2.7199730543563386e-16,4,-6.697926785253355e-05,-6.33175690379023e-05,0.0,1.3997026990681625e-17,9.54065156930707,2.463901867349629e-15,5.165059953087838e-16,5.931253550419738e-16,4,-6.538469361784538e-05,-6.322282040766139e-05,-0.008251951619207583,-0.01557534924848718,-0.019899095668853783,1
0.02,0.0,0.0,-3.811627605724885e-18,29.19878786617693,2.6907271493262824e-15,1.843040308151385e-16,1.858997810093323e-16,4,-0.00014539016991541032,-0.00014107311389550264,0.0,1.8275716558920657e-17,19.43810674422525,2.7650547171029728e-15,2.8449835711746216e-16,2.1154268027718666e-16,4,-0.00010555230658908926,-0.00010158284995721373,0.0,1.9657978252605806e-17,9.74601338480495,2.1447842087076488e-15,4.401356993930648e-16,5.123244633724142e-16,4,-8.635251792509652e-05,-8.431327555972465e-05,-0.008634112039818804,-0.01657302530355438,-0.020651510034290242,1
0.025,0.0,0.0,-3.887831855092999e-18,29.52531199454831,3.1654248318179157e-15,2.1442109281706451e-16,2.1564858189133578e-16,4,-0.00018895528494846867,-0.00018458443006626538,0.0,2.0601350456662157e-17,19.716088269865317,3.1142576817610064e-15,3.159103001705399e-16,2.292411887373772e-16,4,-0.00014566663007192088,-0.0001416526257591055,0.0,2.4379522845336022e-17,9.888685956678955,2.3741241926828556e-15,4.801698027591501e-16,5.478409241566013e-16,4,-0.000105958116178341,-0.00010406461572869935,-0.008741709764404882,-0.016769718390045985,-0.02055671928931476,1
0.03,0.0,0.0,-3.5863481366606504e-18,29.74884298616446,2.5521474861625553e-15,1.7157961318694e-16,1.7251393375202545e-16,4,-0.00023246068870327874,-0.00022814019473456695,0.0,2.222924359520886e-17,19.903232675836833,2.385182088926241e-15,2.396778581423036e-16,1.418612423099841e-16,4,-0.00018521957990080135,-0.00018133250766237888,0.0,2.833683959314099e-17,9.98414455459831,1.695935608719857e-15,3.3972577208705875e-16,3.9329545140296085e-16,4,-0.00012402571308944843,-0.0001222912730894723,-0.008640987937427035,-0.016415132414283263,-0.019884012414237172,1
0.035,0.0,0.0,-3.1941378543834153e-18,29.89486471149077,3.116241972115948e-15,2.0848008527151152e-16,2.0914698461244218e-16,4,-0.00027501950991950033,-0.00027082622126234704,0.0,2.2808559148746842e-17,20.022831388011152,3.044614932684412e-15,3.041143256599965e-16,1.9291403858284935e-16,4,-0.00022287563101371782,-0.0002192213620865767,0.0,3.0857533972775267e-17,10.04440390384307,2.217193007561732e-15,4.4147826566659983e-16,4.745094855297211e-16,4,-0.0001404674175351922,-0.0001388973980611741,-0.008386577314309538,-0.015695115168598877,-0.018835154116623416,1
0.04,0.0,0.0,-4.483395089669449e-18,29.9831578098931,7.458895391371752e-15,4.975390143136058e-16,4.980577932972609e-16,4,-0.0003159894807367239,-0.0003119780091876134,0.0,2.235046214641013e-17,20.092761253390258,6.156360338851134e-15,6.127938575702102e-16,7.379879890902565e-16,4,-0.0002578444743085648,-0.0002544825456739598,0.0,3.319634884730611e-17,10.078747549589634,3.172475810439022e-15,6.295377069084724e-16,6.090933756087022e-16,4,-0.00015526497063611533,-0.00015385856367374704,-0.008022943098226166,-0.014746800367440112,-0.01755961429216276,1
0.045,0.0,0.0,-8.43196630942718e-18,30.02901394028878,6.6741495482008235e-15,4.445134003715235e-16,4.448960036752261e-16,4,-0.00035492602035567394,-0.000351133121859179,0.0,1.7123814619671125e-17,20.126685746386418,5.774013151663244e-15,5.737669106996339e-16,7.104766164695806e-16,4,-0.0002897176514760416,-0.00028667542252395535,0.0,3.225952564863957e-17,10.094309856134686,3.2048347071849333e-15,6.349784686344331e-16,6.367943534035844e-16,4,-0.00016845274172583302,-0.0001672045846715311,-0.007585796992994267,-0.013670254897168211,-0.016166569005777877,1
0.05,0.0,0.0,-1.1392437113069498e-17,30.044197418994763,5.835914666951876e-15,3.8848863795990445e-16,3.887681779710319e-16,4,-0.0003915421459776622,-0.0003879904368126984,0.0,1.2426135803267726e-17,20.134994997595076,5.204925690180572e-15,5.170029285631556e-16,6.596778423546854e-16,4,-0.0003183489159879968,-0.0003156319063278377,0.0,3.0196845840487184e-17,10.096539346663697,3.0269556865263616e-15,5.996026128549858e-16,6.183944465724814e-16,4,-0.00018010285807293358,-0.0001790044126752658,-0.007103418329934082,-0.012537437650258698,-0.014734328445598117,1
