time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,7.66670831826877e-06,29.792163524214292,0.03975679587989936,0.002668943183504352,4,-3.2716165062098013e-06,0.0,-7.436511476035695e-07,19.93309773271753,0.03753391961791271,0.003765989624011703,6,-1.9346942231532327e-06,0.0,-2.538395272547061e-05,9.989257448466347,0.03619565882354931,0.007246916802430883,4,-2.0994860104733837e-06,-4.8535282306514905e-05,-0.0003803920279983808,-0.00044603045117193367,4
0.01,0.0,0.0,3.6691262551663816e-06,29.45323839435294,0.047828043280682866,0.003247727305249593,4,-3.3060292937252267e-06,0.0,-1.2261249489001973e-05,19.641387454691074,0.03863854035988826,0.003934400301304578,8,-2.470977543238273e-06,0.0,-3.1292281121316646e-05,9.822598324741438,0.024087664351533762,0.004904540235725831,4,-2.1947701621602422e-06,4.765677818860874e-06,4.8383976024977264e-05,4.703869980498594e-05,4
0.015,0.0,0.0,-4.4814190570063155e-06,29.418399564617868,0.052850450634460276,0.0035930201109937083,4,-3.284737326910564e-06,0.0,-1.8137061892183726e-05,19.6091656137794,0.050612042218933284,0.005162080143111046,8,-2.307211792430819e-06,0.0,-2.524757076104583e-05,9.804407516800223,0.03525504314660767,0.0071916723343448995,4,-2.1881691914735213e-06,2.3303204117700965e-06,2.2596112054208335e-05,2.3703476401787008e-05,4
0.02,0.0,0.0,-9.26836168511114e-06,29.425904313103302,0.0016399437213663356,0.00011146258778773175,4,-3.27949897688945e-06,0.0,-1.9891076316518632e-05,19.61606705510604,0.001000527930592292,0.00010201106345951807,8,-2.2504842136158998e-06,0.0,-1.729838302874226e-05,9.807992723727466,0.001135087365414684,0.00023146170626099348,4,-2.185815503472077e-06,3.514748822350075e-07,5.820266311554219e-06,5.934628355623706e-06,4
0.025,0.0,0.0,-9.417931400422107e-06,29.428858782820875,0.007976453941060934,0.0005420838096322782,4,-3.278898387755469e-06,0.0,-1.6287614261230194e-05,19.61887876611113,0.005447674063844278,0.0005553501939422118,8,-2.2394038890968804e-06,0.0,-9.943376090549416e-06,9.809437255051975,0.0015603962900629968,0.00031814185655948293,4,-2.185774064134005e-06,1.1113153297086168e-08,2.4959398790228137e-07,2.1463040402542993e-07,4
0.03,0.0,0.0,-3.529580017818062e-06,29.40313250908559,0.036922346633868564,0.0025114566703026983,4,-3.279240263234784e-06,0.0,-9.992389448393497e-06,19.593116121485718,0.03938392134986357,0.004020179445236417,8,-2.2501779943992495e-06,0.0,-1.1697142537460887e-05,9.788804054202128,0.028114100086361768,0.005744133794218299,6,-1.7921314666227706e-06,7.918165859219045e-07,-6.397457232751729e-06,4.747107887170128e-05,4
0.035,0.0,0.0,6.045341840486089e-06,29.51765544855095,0.051977571849224635,0.003521795417649017,4,-3.2774373382483957e-06,0.0,-1.1352384312592879e-05,19.707078215399267,0.060414917376228595,0.006131291175271218,8,-2.4923563070669563e-06,0.0,-3.351756631572703e-05,9.860811368669525,0.05746557598002472,0.011655344338622774,4,-2.010017365647321e-06,-3.2917472993859357e-06,-9.348010244110973e-07,-5.8925488100224303e-05,4
0.04,0.0,0.0,-1.1398907751340226e-06,29.493109228243625,0.04031501945292271,0.0027338602478924564,4,-3.2825724839771753e-06,0.0,-2.855401854221013e-05,19.681998885904385,0.03772135798767393,0.003833082016348325,8,-2.629473403119309e-06,0.0,-2.194695310702845e-05,9.816223540239768,0.038810287497017606,0.00790737646467037,4,-2.0823392495039617e-06,-1.7070116818539065e-06,3.994388325853183e-05,5.035044731785446e-05,4
0.045,0.0,0.0,-1.7273125603286803e-05,29.44506921165421,0.04811627157432629,0.0032682057038794197,4,-3.275390904378811e-06,0.0,-8.52180208430905e-06,19.636785451760556,0.04015982929025267,0.004090265118892166,6,-2.680647702549277e-06,0.0,1.2840353129534385e-05,9.819150600539132,0.022764104440130276,0.00463667487468425,4,-2.1472684116827234e-06,-6.440855473995536e-08,-8.012655907427868e-05,-9.153195812611268e-05,4
0.05,0.0,0.0,7.437024440604195e-06,29.443668354894857,0.03606274438868303,0.0024496094680870693,4,-3.2797676965679035e-06,0.0,-4.807336118860609e-06,19.633408171502634,0.03477943024273332,0.0035428826150739057,6,-2.927071702386874e-06,0.0,-3.0596169251869535e-05,9.817238132038394,0.025433226029933035,0.005181340350079137,4,-2.1797770755060952e-06,-3.938130399384254e-07,-2.8235260877887177e-05,-3.1017874648100214e-05,4
