time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,5.285460422259035e-08,28.095087007878533,3.0055499101247256,0.21395555096746258,4,-5.784020617807806e-06,0.0,-1.8382153955306538e-07,18.463297984846726,2.4575809744194084,0.2662125668378861,6,-6.665017306707599e-06,0.0,5.510252569291537e-07,9.06674381266578,0.9879482032462814,0.2179278964221241,4,-6.672591734133149e-06,0.0008119212289834664,0.0019363132095938688,0.0033617057961969257,7
0.01,0.0,0.0,7.960713902975666e-08,28.913604444209554,1.8663522712253218,0.12909855461477,4,-3.878371072858766e-06,0.0,1.8968999334590001e-07,19.16937241794301,1.7858641072596735,0.18632473388519077,6,-3.821798531970788e-06,0.0,2.4951108473168493e-07,9.527363235648249,1.3301141113959931,0.2792197753979076,4,-3.304582052561511e-06,0.00019955347056733216,0.0005082342468041745,0.0008665109446761928,4
0.015,0.0,0.0,1.0711772837058728e-07,29.297573156125225,0.579431438858975,0.039554910283607136,4,-3.420486947191409e-06,0.0,2.482231307797438e-07,19.503466322074402,0.5480338225479099,0.056198607313986494,6,-3.192534036570993e-06,0.0,1.7653784785997147e-07,9.737432255252592,0.39472155439622125,0.08107302706692505,4,-2.463852705421321e-06,4.743630284950093e-05,9.559201408838481e-05,0.00018515096740400377,4
0.02,0.0,0.0,1.0450815470892984e-07,29.405955544520577,0.07672261630007367,0.005218168556632396,4,-3.3127915467189017e-06,0.0,1.9762746140637057e-07,19.5996966578802,0.06767305192763397,0.006905520336247196,6,-3.149129300814013e-06,0.0,1.2492064678244292e-07,9.796268525606918,0.0396397746787708,0.008092831382715687,4,-2.2537798743532678e-06,1.1061795315341877e-05,7.819959213019038e-06,3.0160108196893254e-05,4
0.025,0.0,0.0,6.792982230328968e-08,29.427388876472037,0.07973138699683732,0.005418855701504978,4,-3.287484576883215e-06,0.0,1.1415161980935246e-07,19.61824614557072,0.07285276000152904,0.007427041078081006,6,-3.1665704767966374e-06,0.0,6.766387667392254e-08,9.808233284180423,0.04767208372989075,0.009720829908640215,4,-2.2013260579031857e-06,2.654887605920559e-06,5.910271507911826e-07,6.194443410791074e-06,4
0.03,0.0,0.0,1.6415596302558875e-08,29.42922837632915,0.012869055301637171,0.0008745764677940489,4,-3.2811974675119038e-06,0.0,2.447659584298691e-08,19.619438127766436,0.01177818506468745,0.0012006648700115788,6,-3.1684540651374937e-06,0.0,1.358468047421738e-08,9.809495221887978,0.007720983084289015,0.0015741856047926186,4,-2.188052112342409e-06,6.824472781371275e-07,9.046741600464738e-07,2.336055113314095e-06,4
0.035,0.0,0.0,-2.860142778515857e-08,29.429500763698226,0.004110793195727881,0.0002793654726755414,4,-3.2795634738805313e-06,0.0,-5.2018562076545716e-08,19.619556752267147,0.0037849725317313913,0.0003858367015650358,6,-3.1677618746103753e-06,0.0,-3.219344160506826e-08,9.809720929349767,0.0025444943562722227,0.0005187699781875209,4,-2.1846433819472377e-06,1.7598292772333418e-07,1.3137947228370267e-07,4.996001907993764e-07,4
0.04,0.0,0.0,-5.6405456404721475e-08,29.4298600839128,0.0019874565818263122,0.00013506395043398202,4,-3.2791595865888645e-06,0.0,-1.0035607538519258e-07,19.619874615211177,0.0018199024136360974,0.0001855162124456328,6,-3.1692127298241224e-06,0.0,-6.21069412862175e-08,9.809922519234961,0.0012084159182933734,0.0002463660474226892,4,-2.183770667921192e-06,4.092538188657551e-08,-3.541824289896543e-07,-2.6061146692983865e-07,4
0.045,0.0,0.0,-6.438958519295365e-08,29.430029793374587,0.0001065104884841884,7.238218189515152e-06,4,-3.2790718942563024e-06,0.0,-1.1480596534857753e-07,19.62003258309271,0.00011000598261647496,1.1213639136488601e-05,6,-3.1711587806723673e-06,0.0,-7.130174375730008e-08,9.810012760734642,8.583067133476843e-05,1.7498585053489945e-05,4,-2.1835500602918057e-06,8.61061305776383e-09,-3.434513833997475e-07,-3.1951154736058466e-07,3
0.05,0.0,0.0,-5.557991929708837e-08,29.430085124041163,0.00040133284775701776,2.7273645051687105e-05,4,-3.27905433104847e-06,0.0,-9.844726506255807e-08,19.620085807614366,0.00038855444037269555,3.9607822736626496e-05,6,-3.1724391099316462e-06,0.0,-6.14105234731029e-08,9.810041881692491,0.00027950524929091076,5.6983497657135126e-05,4,-2.1834935884507134e-06,1.384506676055766e-09,-1.7387831786019529e-07,-1.680870408410805e-07,4
