time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-2.3326636628996586e-08,28.086604709212637,1.5007557356014631,0.10686629809043476,4,-5.7898507142759015e-06,0.0,4.613415964582624e-09,18.464077889046976,1.3168380039739502,0.14263783026555668,6,-6.4359846385433905e-06,0.0,9.709182441997284e-08,9.076324491965439,0.88766472579552,0.19560004197322392,4,-6.42838130021639e-06,0.0008134276389746477,0.001917784825595908,0.0032653155770319625,8
0.01,0.0,0.0,1.4086703534010769e-08,28.940843953951145,0.5550490712574744,0.03835749034414018,4,-3.881099997580378e-06,0.0,3.0610524015271934e-08,19.19673313104933,0.5374774495188039,0.055996762141728475,6,-3.7842514244643133e-06,0.0,2.924930368569718e-08,9.54400875063842,0.3650531235834154,0.07649890797910179,4,-3.2411770049672883e-06,0.00019945151082495854,0.00048200146373086265,0.0008207166615718716,2
0.015,0.0,0.0,1.507033445607928e-08,29.30988222693929,0.22937151365328445,0.015651479721229624,4,-3.422730197152196e-06,0.0,2.6259189354892466e-08,19.515708985929756,0.21850864509579634,0.0223931034484409,6,-3.1358808825626694e-06,0.0,1.673814909977216e-08,9.744342649288619,0.14815563139025237,0.030408543033134904,4,-2.448346387962097e-06,4.771150554977004e-05,0.00011427600952311738,0.00019847081523999822,2
0.02,0.0,0.0,5.160099247989733e-09,29.401662354006305,5.8399856230970885e-05,3.972554716656234e-06,4,-3.3133181464896355e-06,0.0,1.0930808413342243e-08,19.595440597286125,0.001563517910024786,0.0001595797657380897,6,-2.9866552564983273e-06,0.0,8.720561974633592e-09,9.794362268456991,0.00102851475200143,0.00021002179086509584,4,-2.2512287940965048e-06,1.1370724895747686e-05,2.6598657991089662e-05,4.7539995884283595e-05,2
0.025,0.0,0.0,-3.3353953985981585e-09,29.42335488412856,0.019060162691740448,0.001295580518727442,4,-3.2872355464584613e-06,0.0,-4.083640136743829e-09,19.614254031852337,0.017248176587187518,0.0017587389822908937,6,-2.9509755741577437e-06,0.0,-1.1450096744152014e-09,9.806291688274543,0.011678987289793517,0.0023819375684609036,4,-2.2021576653249997e-06,2.714333022037095e-06,6.6423901426221704e-06,1.1861776687637992e-05,2
0.03,0.0,0.0,-7.2292089209788755e-09,29.42831480636836,0.0033219197446186055,0.00022576350473862226,4,-3.2809950642372077e-06,0.0,-1.2100166529227597e-08,19.618529771320308,0.0029107002847773996,0.0002967297059163381,6,-2.9408412572096143e-06,0.0,-7.508045662367676e-09,9.8090565538494,0.0019122041181444548,0.00038988543039728777,4,-2.1899108938391865e-06,6.508782933933184e-07,1.8603887118106372e-06,3.1646713842171665e-06,2
0.035,0.0,0.0,-6.532072961795995e-09,29.42950856970816,0.001801584007854057,0.00012243384924941832,4,-3.2794984092497648e-06,0.0,-1.1919354370357193e-08,19.61956031451702,0.0017712973224474893,0.0001805644259149743,6,-2.9377589166323936e-06,0.0,-8.310453713432401e-09,9.809728082905542,0.0012730830042865335,0.00025955520755055613,4,-2.1868480789000166e-06,1.5579777449785516e-07,4.882350357059779e-07,8.145944232588191e-07,2
0.04,0.0,0.0,-3.1396465087355853e-09,29.429843155550216,0.0012839826705538463,8.7257187458826e-05,4,-3.279142989805889e-06,0.0,-6.422924212383133e-09,19.61985561763317,0.0012466595852722974,0.00012708142297967507,6,-2.93727274645883e-06,0.0,-5.060716921922945e-09,9.80991478334691,0.0008936127310676667,0.0001821856256253405,4,-2.186081629357295e-06,3.649548587551911e-08,1.8828560117847937e-08,1.0049316607985173e-07,2
0.045,0.0,0.0,5.098157264871993e-10,29.42996239998736,0.00024472231014020996,1.6630827237503712e-05,4,-3.2790621650354013e-06,0.0,9.764861356809267e-11,19.619965356242798,0.0002399180744210816,2.445652375678054e-05,6,-2.9377845029432414e-06,0.0,-6.302379827040615e-10,9.80997941380061,0.0001736497796961111,3.54026797348467e-05,4,-2.185889925905571e-06,7.910561194022907e-09,-1.286043508302497e-07,-1.0819873839584791e-07,2
0.05,0.0,0.0,2.6856384439826285e-09,29.43001403221522,0.00032866663281415603,2.2335472382336276e-05,4,-3.2790462277734744e-06,0.0,4.350655714409673e-09,19.62001467445495,0.00032296117902304425,3.292160422729309e-05,6,-2.9384754904396293e-06,0.0,2.5734012025675866e-09,9.810006512992457,0.00023752118376910245,4.842426627434495e-05,4,-2.185842199589616e-06,1.3305876111353736e-09,-1.2563001382955565e-07,-1.2058316446894555e-07,2
0.055,0.0,0.0,2.908005016095823e-09,29.430031223891948,0.0005022031531542379,3.4128618439693556e-05,4,-3.2790441359363542e-06,0.0,5.189737961332707e-09,19.62003130268187,0.0004954109926702278,5.0500530302671825e-05,6,-2.938911485526885e-06,0.0,3.523679948816348e-09,9.810015441767657,0.0003655148188877244,7.451870408511052e-05,4,-2.1858305500818687e-06,1.2382642770993142e-10,-5.6634989208012495e-08,-5.542405476288669e-08,2
0.06,0.0,0.0,1.7421133410436326e-09,29.430025746360077,0.00039693714535544094,2.697497778468878e-05,4,-3.279043600007414e-06,0.0,3.4005975401000225e-09,19.620025712506074,0.0003918015000382436,3.99389384885978e-05,6,-2.9389664641735203e-06,0.0,2.5607653634448847e-09,9.810012803737996,0.0002892234834361438,5.896495534153399e-05,4,-2.185827784335903e-06,1.54280392393306e-10,1.7043246738049438e-08,1.733250015123512e-08,2
0.065,0.0,0.0,1.8744462574186826e-10,29.430009748603744,0.00015494077824449134,1.052944117708573e-05,4,-3.279042323073994e-06,0.0,6.870093263925188e-10,19.62000972656217,0.00015270133152989944,1.556587725062824e-05,6,-2.938742238937919e-06,0.0,7.71566906550696e-10,9.81000485068806,0.00011250494827117871,2.293677729696286e-05,4,-2.1858270609631525e-06,3.103788083642793e-10,5.826364826925509e-08,5.835274673737824e-08,2
0.07,0.0,0.0,-9.215499652155878e-10,29.429994761744535,7.381467903260854e-05,5.01628896846144e-06,4,-3.2790406823794693e-06,0.0,-1.4112222171513972e-09,19.619994773745677,7.319925103594151e-05,7.461699340908331e-06,6,-2.938435587018784e-06,0.0,-7.549605211196691e-10,9.809997384185136,5.4334922907439475e-05,1.1077459204022568e-05,4,-2.1858267640340046e-06,3.171698880628663e-10,5.9084537876211244e-08,5.913168020088602e-08,2
0.075,0.0,0.0,-1.236585773683895e-09,29.429987312844688,0.00019181977802405645,1.3035668414327647e-05,4,-3.2790394444946747e-06,0.0,-2.157109344189829e-09,19.61998734469039,0.00018958103032437165,1.9325295882586443e-05,6,-2.9382127424495974e-06,0.0,-1.4189683082452813e-09,9.809993671975667,0.00014015054683243788,2.8573014727381064e-05,4,-2.1858265778565422e-06,1.8925532023607392e-10,3.311991930902434e-08,3.3151399266296096e-08,2
0.08,0.0,0.0,-8.8607303420149e-10,29.429988088177478,0.0001831572039717399,1.2446977784902144e-05,4,-3.279038998698497e-06,0.0,-1.6750965045288145e-09,19.619988119466637,0.00018084393253977576,1.8434662797817427e-05,6,-2.9381447612247813e-06,0.0,-1.2152033614171314e-09,9.809994059223012,0.0001335321409602945,2.7223694561721424e-05,4,-2.185826462164364e-06,2.412751014381573e-11,1.2392615757279363e-09,1.2567926784838072e-09,2
0.085,0.0,0.0,-2.552051451615957e-10,29.429993918495462,9.465093321013781e-05,6.432276776697113e-06,4,-3.2790392635179133e-06,0.0,-6.014513735311335e-10,19.619993935969095,9.333497016352628e-05,9.514271051064539e-06,6,-2.938209076770726e-06,0.0,-5.316558844537617e-10,9.809996966470472,6.88072492683987e-05,1.4027985840072035e-05,4,-2.185826418289738e-06,-9.43806087298901e-11,-2.029903705865468e-08,-2.0295914867296173e-08,2
0.09,0.0,0.0,2.756567804215974e-10,29.430000505017976,6.440385554477015e-06,4.37674851781188e-07,4,-3.279039877394918e-06,0.0,3.775398890728712e-10,19.6200005056531,6.491680463267379e-06,6.617411106994553e-07,6,-2.9383316373296497e-06,0.0,1.5978127616781083e-10,9.810000250638463,4.914014887016627e-06,1.0018378718587308e-06,4,-2.185826438620697e-06,-1.3050912757316036e-10,-2.536019693207539e-08,-2.5368313642081996e-08,2
0.095,0.0,0.0,5.011568025331772e-10,29.430004642562643,7.007689840733434e-05,4.762275729035178e-06,4,-3.2790404475187274e-06,0.0,8.523134997731396e-10,19.620004631728722,6.928635443745275e-05,7.062827531182689e-06,6,-2.938437272483052e-06,0.0,5.441059214933937e-10,9.810002313689148,5.124596758857411e-05,1.0447697350094214e-05,4,-2.1858264948604322e-06,-9.588542811010594e-11,-1.7228617472517163e-08,-1.7240920663019377e-08,2
0.1,0.0,0.0,4.2351741581991457e-10,29.430005271143767,8.0384552497575e-05,5.462761678564317e-06,4,-3.2790407311113212e-06,0.0,7.805424412097326e-10,19.620005257454753,7.938784107662742e-05,8.092540245009717e-06,6,-2.9384838758708676e-06,0.0,5.528839338269412e-10,9.810002627079571,5.8635613540896796e-05,1.195425032385594e-05,4,-2.185826549039316e-06,-2.941904016105692e-11,-4.049675588055271e-09,-4.058831930442065e-09,2
0.105,0.0,0.0,1.8122061460468562e-10,29.430003297438773,5.0919887955641786e-05,3.460406540971963e-06,4,-3.279040696527874e-06,0.0,3.8101645450889483e-10,19.620003288184222,5.023885603072515e-05,5.1211873201856755e-06,6,-2.938470376356861e-06,0.0,3.100892550742133e-10,9.810001642905892,3.7061055554875136e-05,7.555769489942106e-06,4,-2.185826576232841e-06,2.7804096290454972e-11,6.487256588508325e-09,6.484398711870486e-09,2
0.11,0.0,0.0,-6.022226216339084e-11,29.43000050625058,8.541024898454978e-06,5.804298166179757e-07,4,-3.2790404678254004e-06,0.0,-5.4180593168027124e-11,19.620000504123276,8.37339945504336e-06,8.535575168087924e-07,6,-2.9384232961213175e-06,0.0,1.1067100453118618e-11,9.81000025114366,6.128298663123527e-06,1.2493982683454231e-06,4,-2.185826573672389e-06,5.2873109822174954e-11,1.051220781415349e-08,1.051462153223196e-08,2
0.115,0.0,0.0,-1.921876490494499e-10,29.429998442620274,2.3246905246630393e-05,1.5798101581252157e-06,4,-3.27904021507619e-06,0.0,-3.16459803187476e-10,19.619998446098695,2.2999356252405947e-05,2.3444809453569774e-06,6,-2.9383752786285577e-06,0.0,-1.8991059907726948e-10,9.809999222193987,1.702426823278469e-05,3.4707990994065022e-06,4,-2.1858265537022525e-06,4.542073155212965e-11,8.435086768324245e-09,8.439698900298086e-09,2
