time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-4.219898886936493e-10,29.80029230930792,0.07630056295694225,0.005120792921424484,4,-3.275541539584509e-06,0.0,-4.8910500692045456e-09,19.939421407506963,0.0691784417557121,0.006938861498726057,6,-2.1153061335599244e-06,0.0,-1.2798388885150587e-08,9.984110773650277,0.04368578088223222,0.008751060935246479,6,-1.7408258355389172e-06,-4.91181371604887e-05,-0.0003339074594745119,-0.0003378456908676782,2
0.01,0.0,0.0,-1.5903604351489395e-10,29.464438374465136,0.01766683257000795,0.0011991969672375373,4,-3.301137825848649e-06,0.0,-1.1053026623240483e-09,19.654555244546472,0.01749878550957514,0.0017806340862819073,6,-2.7758890747894838e-06,0.0,-1.85984687827487e-09,9.826037078329254,0.015241344114379591,0.0031022362307167512,6,-1.6767678648749174e-06,4.6841669736981495e-06,-4.721717486901526e-05,-3.6356343299270266e-05,2
0.015,0.0,0.0,1.459341108830471e-10,29.4344038623609,0.014329324714442275,0.0009736446358110775,4,-3.2852270133235106e-06,0.0,4.645136590794164e-10,19.62487593087757,0.013505502278121296,0.0013763656214378286,6,-2.8948221566030274e-06,0.0,6.996217434071172e-10,9.811999392114062,0.009844611509998534,0.002006647395007114,6,-1.6473797650878863e-06,1.7852771809696944e-06,-7.59419813312882e-06,-4.874445227068453e-06,2
0.02,0.0,0.0,7.748881773280966e-11,29.430621920716998,0.0010240249411468038,6.95890792865621e-05,4,-3.280493540862295e-06,0.0,2.629496113336019e-10,19.62075607320032,0.0009733253884883852,9.921385137832022e-05,6,-2.91628674722183e-06,0.0,3.8953984218980153e-10,9.810283354443783,0.0007791297356239037,0.00015883939484194,6,-1.6409575216286276e-06,4.4824915334821567e-07,-1.2286830556533057e-06,-7.270375302657898e-07,2
0.025,0.0,0.0,7.041350377393705e-12,29.4300864133359,0.0017738603378210382,0.00012054740940327204,4,-3.2793607410361303e-06,0.0,1.9681168744807446e-11,19.62011835698649,0.0016485005596050598,0.00016804185679318782,6,-2.9201053587321613e-06,0.0,2.988589455807641e-11,9.810044701929357,0.001100041840457473,0.00022426846643035708,6,-1.6398583921745091e-06,1.0203158469094563e-07,-1.9833865560296316e-07,-1.1615394943684279e-07,2
0.03,0.0,0.0,-5.978127259963752e-12,29.430012097405456,0.0006551198891540483,4.452053142117488e-05,4,-3.279108439568218e-06,0.0,-2.5964011297138432e-11,19.62001920744956,0.0006087098879164665,6.204987686101188e-05,6,-2.9208172169642443e-06,0.0,-4.1644054004485495e-11,9.810007451268095,0.00040936062703995565,8.345776067418572e-05,6,-1.6396472128921147e-06,2.2120211179680113e-08,-3.966327569241868e-08,-1.631683295041964e-08,2
0.035,0.0,0.0,-2.7459313261097466e-12,29.430002188795623,5.4706525150009234e-05,3.7177384356999272e-06,4,-3.279054476518911e-06,0.0,-9.590170576190168e-12,19.620003706830573,5.13106165792198e-05,5.2304390300758555e-06,6,-2.9209769257035334e-06,0.0,-1.695127486617659e-11,9.810000858845497,3.6033977387793535e-05,7.346375990436813e-06,6,-1.6395700371957256e-06,4.651859478546968e-09,-1.0722473166839828e-08,-9.020942120799894e-10,2
0.04,0.0,0.0,3.802790758996481e-13,29.430000493985197,0.00010373800829267556,7.049813561088943e-06,4,-3.279043202460835e-06,0.0,1.657595032898076e-12,19.62000080974394,9.657696227151488e-05,9.844746002615002e-06,6,-2.9210163564052927e-06,0.0,-7.287281371403853e-12,9.809999924675823,6.587088191336875e-05,1.3429333826533234e-05,6,-1.639542158010654e-06,9.665284457591818e-10,-2.494892232511867e-09,6.259036014443854e-11,2
0.045,0.0,0.0,1.2011511654824169e-13,29.430000056591435,2.1413121136333596e-05,1.455190016660411e-06,4,-3.2790408565942786e-06,0.0,5.612315058434425e-13,19.620000122193446,1.9888584621288158e-05,2.027378643977774e-06,6,-2.921023925669952e-06,0.0,-6.173513164438822e-12,9.809999959478338,1.3516408036711806e-05,2.7556387548508333e-06,6,-1.639537671425939e-06,2.020803067468515e-10,-2.843681593911438e-10,-2.96688685480833e-10,2
0.05,0.0,0.0,-2.0615480973135472e-14,29.429999979368354,8.135122711305675e-06,5.528455804966858e-07,4,-3.2790403654073264e-06,0.0,1.2818853993680143e-12,19.619999993278277,7.583874438288039e-06,7.730758859211254e-07,6,-2.921024991477117e-06,0.0,-3.9330318438193655e-12,9.810000011539598,5.166647121674628e-06,1.0533429389596433e-06,6,-1.6395387502643466e-06,4.2125373004083996e-11,-9.412315430834293e-11,-3.226880956611658e-10,2
0.055,0.0,0.0,1.178013081705771e-13,29.429999990105895,5.194206847118595e-06,3.52987213650346e-07,4,-3.2790402647205064e-06,0.0,1.9149896028146376e-13,19.619999993014513,4.832826849300615e-06,4.926429002060439e-07,6,-2.921025898473817e-06,0.0,-2.656521622804129e-12,9.810000008843247,3.285259969372867e-06,6.697777709299412e-07,6,-1.6395393693247051e-06,8.28998429104019e-12,-2.1628737127299157e-10,-2.5407065282235176e-10,2
0.06,0.0,0.0,2.0004720752595214e-14,29.430000001106166,3.3865019637481806e-07,2.3013944706903802e-08,4,-3.279040245732223e-06,0.0,-4.587452451952217e-12,19.6200000016636,3.117638385382763e-07,3.1780207799372224e-08,6,-2.921027130696474e-06,0.0,-3.0138431454750577e-12,9.809999999931819,2.0843040336596678e-07,4.249345634401945e-08,6,-1.6395393371351763e-06,1.4522352573899922e-12,-2.528527966272317e-10,-2.2756109960309569e-10,2
0.065,0.0,0.0,-2.2413313191784713e-13,29.43000000201803,6.241461202635801e-07,4.241563847915611e-08,4,-3.279040242470943e-06,0.0,-4.741023040679193e-13,19.620000002108632,5.838175742751102e-07,5.951249482287107e-08,6,-2.921028374257284e-06,0.0,-3.1416320042535927e-12,9.809999997090681,4.003383884399324e-07,8.161842784070529e-08,6,-1.6395392312615331e-06,2.5849370733596406e-13,-2.417019599287838e-10,-2.2839196831026464e-10,2
