time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,3.967138135169122e-18,29.72605112235364,6.556298375469728e-15,4.411146538424318e-16,4,-4.208814877317002e-06,0.0,1.525909521758446e-18,19.918991490683247,6.081800827044225e-15,6.106534891476689e-16,4,-3.2968421498288936e-06,0.0,-6.492422194002036e-18,9.929371831399123,2.139138977645531e-15,4.308709581971834e-16,4,-4.56944623158928e-06,0.00024243859335584716,-0.00015751322061155704,0.0005064269709419454,3
0.01,0.0,0.0,1.9514335629900996e-18,29.348307799346326,5.216837409342778e-16,3.55511973297416e-17,4,-3.4916120376683735e-06,0.0,3.2608804393828337e-18,19.56155798496004,1.8566143782318756e-15,1.898227513022571e-16,4,-4.131483856889551e-06,0.0,-2.8541968406340924e-18,9.751747730223759,7.051419878555975e-16,1.4461858681395928e-16,4,-2.7290726804587995e-06,7.142407087936864e-05,-1.4705694436407683e-06,0.00017754574357331835,3
0.015,0.0,0.0,-9.015209628946197e-19,29.412418049046064,3.787260942748897e-15,2.5752802346502274e-16,4,-3.3234715934200854e-06,0.0,4.036194153080649e-18,19.607543373119572,4.88206790675013e-15,4.979785395699359e-16,4,-4.3128510595624725e-06,0.0,1.2782303647268053e-18,9.797327851515199,1.7021509587536415e-15,3.474724913876178e-16,4,-2.303464087562157e-06,1.5079664155779454e-05,-2.7948846129228773e-06,3.608872682990108e-05,3
0.02,0.0,0.0,-1.374765627549898e-18,29.426693571956438,2.8046150113982314e-15,1.906170670884358e-16,4,-3.2883399173587458e-06,0.0,2.944463403428245e-18,19.61775874120957,2.2077240350773517e-15,2.2507403258454285e-16,4,-4.357685491090946e-06,0.0,2.526868173917406e-18,9.807489786370994,1.6348958147926301e-15,3.3339740349555457e-16,4,-2.211456970824255e-06,3.1411863598666153e-06,-1.253954038519245e-06,7.142734225576785e-06,3
0.025,0.0,0.0,-3.3036581928784886e-18,29.429384702987043,2.058314433264008e-15,1.3988158121804645e-16,4,-3.281002303387459e-06,0.0,3.1219978830650663e-18,19.619606883212512,1.02506807074493e-15,1.0449425178055205e-16,4,-4.368604246608732e-06,0.0,3.08619151204143e-18,9.809503146441767,2.284445763853699e-16,4.6576176790000695e-17,4,-2.1915625373000736e-06,6.589673044744723e-07,-3.986152761024098e-07,1.4206388632778343e-06,3
0.03,0.0,0.0,-2.5319616358712168e-18,29.429885430921566,2.0668525489721986e-15,1.404594356185013e-16,4,-3.2794575168526574e-06,0.0,-1.330012416265395e-18,19.6199321635199,3.0815417381722153e-15,3.1412358743032205e-16,4,-4.371210873564679e-06,0.0,5.304291259308898e-18,9.809900943617972,1.628535423586066e-15,3.32018729433867e-16,4,-2.1872455124652412e-06,1.3939140728526622e-07,-1.1076418068678438e-07,2.847900292164638e-07,3
0.035,0.0,0.0,-7.646317923956084e-18,29.42997862437706,2.607379256012075e-15,1.771920591102546e-16,4,-3.27912963848237e-06,0.0,1.865781161052571e-18,19.6199885351161,2.645645382361972e-15,2.6968877964701795e-16,4,-4.371823838549005e-06,0.0,5.668151345529591e-18,9.809980089995106,6.569893008512323e-16,1.3394304470021815e-16,4,-2.186305592205562e-06,2.9716631377091123e-08,-2.870626954698538e-08,5.756477601128719e-08,3
0.04,0.0,0.0,-2.891560371068837e-18,29.429996001625867,5.742450944850145e-15,3.902447655468864e-16,4,-3.27905952115376e-06,0.0,-5.7480140318219924e-18,19.619998119466377,4.92810805521018e-15,5.023556093331791e-16,4,-4.37196636795395e-06,0.0,4.593464750826618e-18,9.809995964780434,2.1637509125291846e-15,4.4113186596557654e-16,4,-2.186100351200815e-06,6.380509795306017e-09,-7.1337138576322575e-09,1.1732608618441956e-08,3
0.045,0.0,0.0,9.86816901524893e-19,29.429999249756435,1.256479183013889e-15,8.53876462823415e-17,4,-3.2790444239559624e-06,0.0,-9.23554586224588e-18,19.619999705449448,1.6385072208383229e-15,1.6702418404045418e-16,4,-4.371999227092971e-06,0.0,2.9928049524855586e-19,9.809999175373745,7.028334473196388e-16,1.432891960040072e-16,4,-2.186055422057076e-06,1.3787500475923527e-09,-1.7243737449047228e-09,2.41093267796512e-09,3
0.05,0.0,0.0,-4.057647020946733e-18,29.429999858694174,5.750977107574139e-15,3.9082413422949387e-16,4,-3.279041153519957e-06,0.0,-3.642434717184978e-18,19.619999957350316,1.6756742307752508e-15,1.7081286793249828e-16,4,-4.372006752538515e-06,0.0,4.910267291278717e-20,9.809999830107856,1.3020432549272948e-15,2.654522482112988e-16,4,-2.186045565469308e-06,2.9962101878976935e-10,-4.088349851994749e-10,4.993678941687267e-10,3
0.055,0.0,0.0,-7.409984636362155e-18,29.4299999732688,6.335581236637768e-15,4.305525818819138e-16,4,-3.279040441259845e-06,0.0,-1.410905141787406e-18,19.61999999474314,6.520760166794935e-15,6.647054198309957e-16,4,-4.372008467111443e-06,0.0,-3.3296535865204203e-19,9.809999964724415,2.2024059934923824e-15,4.49012436577364e-16,4,-2.186043399146631e-06,6.54344224524314e-11,-9.557678359870038e-11,1.0421775222792357e-10,3
0.06,0.0,0.0,-1.0320493991950694e-17,29.429999994915207,3.1581654398201214e-15,2.1462218419067456e-16,4,-3.279040285412288e-06,0.0,3.837260736593112e-18,19.619999999612332,3.110830764840346e-15,3.17108130978778e-16,4,-4.372008856147469e-06,0.0,-2.9689319890605356e-18,9.809999992620547,4.698123190856296e-16,9.578232812212847e-17,4,-2.1860429222780864e-06,1.435156806150444e-11,-2.2109687192268264e-11,2.190396177749572e-11,3
0.065,0.0,0.0,-9.657732748014586e-18,29.4299999990263,6.709179473945578e-15,4.559415205006832e-16,4,-3.279040251172316e-06,0.0,3.096520659629593e-18,19.62000000005808,1.9171647182505393e-15,1.9542963488734597e-16,4,-4.3720089441465215e-06,0.0,-1.9860167219863867e-18,9.809999998444738,2.3358822920746886e-16,4.762247283272203e-17,4,-2.186042817146905e-06,3.158526012730635e-12,-5.072407161050306e-12,4.631932637237338e-12,3
0.07,0.0,0.0,-8.215651507989475e-18,29.42999999981665,2.9916189267834754e-15,2.033040385186621e-16,4,-3.279040243626269e-06,0.0,-1.1655043466728674e-18,19.620000000044094,2.4934549485784693e-15,2.5417481636828394e-16,4,-4.372008963984819e-06,0.0,-1.754496173677219e-18,9.80999999967365,8.036529875486006e-16,1.6384362641698998e-16,4,-2.186042793970999e-06,6.975603592471084e-13,-1.154955908772591e-12,9.874381532587045e-13,3
0.075,0.0,0.0,-3.486698799393479e-18,29.429999999962867,6.5364272443089674e-15,4.442016475920635e-16,4,-3.2790402419609344e-06,0.0,-6.0583089737881896e-18,19.620000000013185,4.3707736005567764e-15,4.455426708005953e-16,4,-4.372008968439589e-06,0.0,-3.633026339020105e-18,9.809999999929778,4.785203880147007e-16,9.755767339819085e-17,4,-2.1860427888639733e-06,1.5464620117227195e-13,-2.629556573324962e-13,2.14706940908041e-13,3
0.08,0.0,0.0,-4.427929492047859e-18,29.42999999999156,4.236367205809835e-15,2.8789447542039074e-16,4,-3.279040241586234e-06,0.0,-3.5506290247982854e-18,19.620000000003113,3.5071402906970446e-15,3.5750665552461654e-16,4,-4.372008969452668e-06,0.0,-4.551114023494009e-18,9.809999999984086,1.129957108351821e-15,2.303684216827021e-16,4,-2.186042787698239e-06,3.3730479292716584e-14,-5.917732978701765e-14,4.1739522741959803e-14,3
0.085,0.0,0.0,-1.1356052438902475e-17,29.429999999999964,4.599313509928163e-15,3.125595317654209e-16,4,-3.279040241506437e-06,0.0,-3.8990269850269914e-18,19.62000000000204,5.0167379602471784e-15,5.113902100149497e-16,4,-4.372008969667773e-06,0.0,6.397556351172433e-19,9.809999999998777,2.337620648801057e-15,4.765791332928335e-16,4,-2.1860427874761945e-06,7.0593695275415216e-15,-1.3624434997437626e-14,8.718825454348551e-15,3
0.09,0.0,0.0,-7.48914600540828e-18,29.43000000000002,9.851703999545203e-16,6.69500781484553e-17,4,-3.279040241492559e-06,0.0,-6.267505933702162e-18,19.62000000000006,2.1344382895639914e-15,2.1757780729500353e-16,4,-4.372008969709407e-06,0.0,-6.049843918483518e-19,9.809999999999988,8.701789137498003e-16,1.7740650637100946e-16,4,-2.186042787448439e-06,2.028726958360012e-15,-4.687583738414966e-15,7.391886895316564e-15,3
0.095,0.0,0.0,-8.459612272694083e-18,29.42999999999989,1.1388617091841273e-14,7.739461156535043e-16,4,-3.279040241492559e-06,0.0,-1.1255832463979445e-17,19.62000000000012,2.3128842800107656e-14,2.3576802038845582e-15,4,-4.372008969709407e-06,0.0,-1.9648775130897506e-17,9.809999999999905,1.909229854868397e-14,3.892415606255689e-15,4,-2.186042787448439e-06,2.1210975140088252e-15,-4.756861655151574e-15,7.432743102622771e-15,3
0.1,0.0,0.0,-2.119955346892026e-17,29.409133347987016,1.2371323035721482e-14,8.413252365743902e-16,4,-3.2927461616136244e-06,0.0,-9.019555120988265e-18,19.59253625547516,1.1030213768377904e-14,1.1259607867557726e-15,8,-3.484761234594236e-06,0.0,2.1481195201598427e-17,9.799566691997246,7.320531413638703e-15,1.494052062448224e-15,4,-2.199748860953754e-06,9.394291404821889e-07,0.0003627383687343866,0.0003636777655845571,3
0.105,0.0,0.0,-8.30525643395537e-18,29.361913913018256,1.0123249706364335e-14,6.895497164356147e-16,4,-3.2743206793764412e-06,0.0,-5.5886916587089816e-18,19.55307913585041,5.964509046122064e-15,6.100838650201324e-16,8,-2.47973151473041e-06,0.0,5.057183654880221e-18,9.77595695458449,2.736690050859682e-15,5.598817718967749e-16,4,-2.181323250388667e-06,1.3648553761839323e-06,9.845832401078814e-05,9.982321826827476e-05,3
0.11,0.0,0.0,-1.739362813396692e-18,29.415963240848395,4.474674582523302e-15,3.0423444208752327e-16,4,-3.275129871357224e-06,0.0,-3.564266387720278e-18,19.60598763172019,4.903079543275704e-15,5.001614440828368e-16,8,-2.2494312976462094e-06,0.0,-2.5160803966849136e-18,9.802981617777462,9.35991739301005e-16,1.9096062316461096e-16,4,-2.182132346525978e-06,-6.179614179816328e-07,2.0389088101671738e-05,1.977113061960043e-05,3
0.115,0.0,0.0,-8.380767809096797e-19,29.427260763878937,7.0237809671804105e-15,4.773655980784923e-16,4,-3.2775831654147103e-06,0.0,1.6873968365795328e-18,19.617195059679734,3.598319209014899e-15,3.6685358921783024e-16,8,-2.1997464631703934e-06,0.0,-2.581294923712464e-18,9.808630381808321,1.5983835477076105e-15,3.2591370772255204e-16,4,-2.1845856596203195e-06,-3.430094548394324e-07,4.188784915246893e-06,3.845768931133509e-06,3
0.12,0.0,0.0,-1.575453932044341e-18,29.429467883461143,4.52232515342943e-15,3.073331241555271e-16,4,-3.2785996821119157e-06,0.0,6.545633161221094e-18,19.619438877202665,2.8154737418001965e-15,2.8700858973818176e-16,8,-2.189014606766848e-06,0.0,-2.7511465207332013e-18,9.809733942038944,5.96513162970784e-16,1.2161658338448255e-16,4,-2.185602204697601e-06,-1.1724109084352832e-07,8.633872511059212e-07,7.461417116796156e-07,3
0.125,0.0,0.0,8.71452877000727e-19,29.429896820613944,3.051964783390745e-15,2.0740574131085771e-16,4,-3.2789191810427e-06,0.0,8.78335369500949e-18,19.619887518515615,4.2703574565751595e-15,4.3530906612437527e-16,8,-2.186689200343872e-06,0.0,-4.845667586908582e-18,9.809948410497272,2.4466593547642942e-15,4.98811869825169e-16,4,-2.185921718377004e-06,-3.418445529566598e-08,1.786785717705771e-07,1.4449219314858224e-07,3
0.13,0.0,0.0,6.013937383991262e-18,29.429980031421426,8.146760411838513e-15,5.53636829052584e-16,4,-3.279008740735695e-06,0.0,4.402439308819667e-18,19.61997739808826,7.577236043380537e-15,7.724000787196474e-16,8,-2.1861837839406983e-06,0.0,-2.744238486453445e-18,9.809990015790003,5.069281483412061e-15,1.0334937090155293e-15,4,-2.186011283843159e-06,-9.209607304200213e-09,3.71320099035318e-08,2.7921715955758902e-08,3
0.135,0.0,0.0,1.3719035300277745e-05,29.395078019213138,0.03685149751238452,0.002507324354662215,4,-3.2804422308296832e-06,0.0,-1.016182680954515e-05,19.584999997960686,0.03434562886754773,0.0035073401961832028,8,-2.1991064193607746e-06,0.0,-8.75388775204959e-05,9.775963094742442,0.02436212313427752,0.004984086559692432,8,-1.5766700754149543e-06,1.382204118323699e-06,-1.8825818518537354e-06,0.00011621200820677078,4
0.14,0.0,0.0,-8.933038697781781e-06,29.421545047349888,0.012795854956005338,0.0008698288914067693,4,-3.2777563775225615e-06,0.0,-3.14414534147184e-05,19.611679731161935,0.01150066716486813,0.0011728385658464706,8,-2.22143044202594e-06,0.0,-5.145774214778735e-05,9.801444476820787,0.008212827269890524,0.0016758401864771773,8,-1.2860088945271242e-06,-2.3054048542952905e-08,-4.29351121610354e-06,2.2972709707758087e-05,4
0.145,0.0,0.0,-1.4035073382965872e-05,29.42871357793636,0.013999469683486478,0.0009514156741110372,4,-3.2784321842838082e-06,0.0,-2.8028670537285083e-05,19.61869655508646,0.013258502014318536,0.0013516190514584476,8,-2.2370279164699025e-06,0.0,-2.622551364843798e-05,9.808365166021478,0.009237699963197286,0.0018836370397788385,8,-1.2203886968556454e-06,-1.3354502645666605e-07,-2.403538960823448e-06,3.7277214010517956e-06,4
0.15,0.0,0.0,-6.157775997476795e-06,29.42938812214121,0.013846025075047078,0.0009409658819668097,4,-3.278841565767382e-06,0.0,-1.3652900526503306e-05,19.619373125583298,0.011933047841421797,0.001216455568181363,8,-2.24599417501109e-06,0.0,-1.3557141672528966e-05,9.809472064236274,0.006949425438862959,0.0014168806217817623,8,-1.2054590803681209e-06,-4.266814863549945e-08,-1.786212618811278e-06,-3.4480620865775765e-07,4
0.155,0.0,0.0,2.765811026921522e-06,29.42888108689175,0.010509482129987499,0.0007142291342275086,4,-3.2789201798687218e-06,0.0,-9.521269454381083e-07,19.618876598284725,0.009238753235968658,0.0009418228602117209,8,-2.2587225546530365e-06,0.0,-8.06855485073152e-06,9.809405312478113,0.005712594116647234,0.001164717724402823,8,-1.2015240505383606e-06,-1.0546663514575151e-09,-3.5118811158898365e-06,-3.0152954407678647e-06,4
0.16,0.0,0.0,7.406669939169414e-06,29.42869185405279,0.00472115667532435,0.0003208539950561325,4,-3.278899645516725e-06,0.0,2.895811899118109e-06,19.618694758518227,0.004613657428633864,0.0004703327601986022,8,-2.2851465992929088e-06,0.0,-1.0565351761921587e-05,9.809376746398017,0.00339026047438206,0.0006912285177805933,8,-1.1991824423046582e-06,2.830626383193587e-09,-6.8338451194447274e-06,-6.300073628808825e-06,4
0.165,0.0,0.0,5.345710442124131e-06,29.430457591834234,0.0055905419878570384,0.00037991539685799437,4,-3.2789673859133506e-06,0.0,-1.3370173830423967e-06,19.620464420436846,0.004738726575596925,0.00048303918541918163,8,-2.3252923965627614e-06,0.0,-1.3226648148836385e-05,9.810309715248051,0.002653854052455248,0.0005410336940393214,8,-1.195080904209389e-06,-2.9773359654022673e-08,-8.348830915096294e-06,-7.219467767166888e-06,4
0.17,0.0,0.0,-4.154724454974013e-07,29.431532962244884,0.0068894693045088475,0.00046816924645731094,4,-3.2791336464776943e-06,0.0,-6.049262350236421e-06,19.621525462526286,0.006378507173805084,0.0006501540551459088,8,-2.359622647364612e-06,0.0,-9.23302117936363e-06,9.81073573376554,0.004384995118097745,0.0008939176912096283,8,-1.1880547355000437e-06,-2.4546098703709224e-08,-5.272488717983792e-06,-3.8232093367365435e-06,4
0.17500000000000002,0.0,0.0,-2.9099670733341934e-06,29.4305005949143,0.0029931346322258096,0.00020340358279485294,4,-3.279148412669436e-06,0.0,-6.611046722317147e-06,19.62049581352066,0.002912746200815341,0.00029690852142565544,8,-2.3772623255202685e-06,0.0,-5.495575897763574e-06,9.810242747006413,0.00212290515912748,0.00043279360437340506,8,-1.1819926051329088e-06,1.1681737271857114e-08,-2.550586982990255e-06,-1.4756872249202186e-06,4
0.18,0.0,0.0,-1.6938407985467693e-06,29.430385535123147,0.002289144287440786,0.000155563323131384,4,-3.2790798900339535e-06,0.0,-5.903021810532576e-06,19.620396232421953,0.002015063676786064,0.0002054049931424166,8,-2.3902386551213906e-06,0.0,-2.419295639269004e-06,9.810784203059699,0.0018415173848890499,0.00037540676601871114,8,-1.1737500219544117e-06,4.567238603442488e-09,-3.0718528760036333e-06,-1.0824195180216762e-07,4
0.185,0.0,0.0,3.2253948674803865e-05,29.417048849322324,0.09591949956255037,0.006521354338014098,4,-3.2723077127184974e-06,0.0,-1.7291880560128534e-05,19.610543882236318,0.08928478717469114,0.009105794078007939,6,-2.656058603722755e-06,0.0,-9.98636555505418e-05,9.80938902915857,0.0648345017420663,0.013218866445064963,6,-1.3793502449607753e-06,3.6296080061428143e-07,-0.0001438802829673642,-0.00020611409879526082,4
0.19,0.0,0.0,-4.262730850527579e-05,29.538319048531193,0.06067191400331363,0.004108013993865407,4,-3.2759202735384296e-06,0.0,3.8629638835411016e-05,19.728874084507922,0.055978539421876874,0.005674782978703682,4,-3.7407882743367704e-06,0.0,4.15246462250085e-06,9.866709162227078,0.038705361819892384,0.007845647658911221,6,-1.5442521814970633e-06,-3.7972712654939904e-06,-0.000206814526944229,-0.00022547195426690924,4
0.195,0.0,0.0,6.9406035008870354e-06,29.463712244464023,0.025736837414986436,0.0017470193301811223,4,-3.2839492128296233e-06,0.0,4.3944922946961585e-05,19.65326520656577,0.021535641302026013,0.002191558611322395,4,-4.239955406437623e-06,0.0,-2.404185651118092e-05,9.827326561432962,0.01383620186640359,0.0028158628452835456,6,-1.5911502036294878e-06,8.166357836815729e-08,-4.52963829632267e-05,-4.9725389962647964e-05,4
0.2,0.0,0.0,1.784591000249347e-05,29.436540472092755,0.005581004411247113,0.0003791888803331473,4,-3.281524949938497e-06,0.0,3.470428057819662e-05,19.626593140357187,0.005090242721255997,0.0005187087422512657,4,-4.344992761216859e-06,0.0,-2.621602990533734e-05,9.813449149224578,0.001747339644418043,0.0003561112138755233,6,-1.6024872403139212e-06,4.986753470116621e-07,-8.786205471287508e-06,-9.994952900037376e-06,4
0.20500000000000002,0.0,0.0,9.809323180333208e-06,29.43127520143589,0.012396061965121484,0.0008423734194512038,4,-3.2798676005627025e-06,0.0,1.761420780344583e-05,19.621321505750018,0.010384559582498398,0.001058497469648536,4,-4.366466171738803e-06,0.0,-1.846617242329045e-05,9.810715490519314,0.004772097885861708,0.0009728338143070755,6,-1.6057940476002508e-06,2.077538296917534e-07,-1.6935898535830404e-06,-2.0365788381320162e-06,4
0.21,0.0,0.0,5.56790208701048e-07,29.430272432028737,0.010171598593852216,0.0006912337367820316,4,-3.279280339128776e-06,0.0,1.3219763721692883e-06,19.620289337375475,0.008584667028720586,0.0008750805741042064,4,-4.370872360208444e-06,0.0,-1.582766688669467e-05,9.810172467969723,0.004190363736198293,0.0008542895142526511,6,-1.6063645867023246e-06,6.500581745618162e-08,-3.2603892182493013e-07,-2.9047201566134393e-07,4
0.215,0.0,0.0,-5.022940235582589e-06,29.430062903856196,0.004426529681776929,0.00030081686853594355,4,-3.2791062702999807e-06,0.0,-8.655520906053099e-06,19.62006790838984,0.003714161910641982,0.0003786084663910618,4,-4.371778391916437e-06,0.0,-1.4823404949710642e-05,9.81004528216894,0.0017123457876380601,0.0003491004859580977,6,-1.6056111367609982e-06,1.8428837537903595e-08,-6.17028839327091e-08,1.5890757097425704e-07,4
0.22,0.0,0.0,-6.285082778630875e-06,29.42999882061512,0.0012397474007373936,8.425059126193208e-05,4,-3.279057180300554e-06,0.0,-1.1002293237717e-05,19.620000179338245,0.001152229374913914,0.00011745457333148476,4,-4.371961631943755e-06,0.0,-1.2253838271060055e-05,9.809995762928141,0.0009250030162143811,0.0001885837748697011,6,-1.6043723898642726e-06,5.282716299198416e-09,-1.0386219104104568e-08,2.361700890776174e-07,4
0.225,0.0,0.0,-4.4157565096891475e-06,29.429971100762224,0.0045066032349656724,0.0003062594400474252,4,-3.2790424782901118e-06,0.0,-7.736381745547869e-06,19.619971500456455,0.00395903158851517,0.00040357159422204703,4,-4.371995337822121e-06,0.0,-7.994915538640938e-06,9.80997074524393,0.002446330804964766,0.0004987437513309193,6,-1.6033958294900397e-06,1.6704742168580714e-09,-8.754937181962082e-10,1.370352329428425e-07,4
0.23,0.0,0.0,-1.3431381760060325e-06,29.429969850880553,0.004869435332645603,0.0003309167734332496,4,-3.2790380431607646e-06,0.0,-2.325918055333443e-06,19.619970018643482,0.004255128049600946,0.00043375479631799604,4,-4.372000640635865e-06,0.0,-3.4048575171665654e-06,9.809970043310452,0.0025574312167849097,0.0005213942969232319,6,-1.6031435030594565e-06,4.0160400084899416e-10,-1.1715764426015807e-10,-2.016548383787187e-08,4
0.23500000000000001,0.0,0.0,1.2229765985157726e-06,29.4299846790117,0.003185561542215902,0.00021648407751212445,4,-3.2790377861129094e-06,0.0,2.203359695692286e-06,19.61998474705787,0.0027828293798953145,0.0002836729401955948,4,-4.372003285783854e-06,0.0,1.1810723072991619e-07,9.809984818993648,0.0016689187336268799,0.00034024899414637115,6,-1.603582286048566e-06,-1.6180417437582793e-10,-7.73657496074532e-10,-1.3237354284489588e-07,4
0.24,0.0,0.0,2.407775604566563e-06,29.43000100121087,0.0008484941123022673,5.766184732833389e-05,4,-3.2790391590910295e-06,0.0,4.294985668908565e-06,19.620001004231476,0.0007470816355767543,7.61551067622912e-05,4,-4.372006685536556e-06,0.0,1.8721377539855714e-06,9.810000978361906,0.0004669926137582286,9.520745508349745e-05,6,-1.6043536546078707e-06,-3.1738047111006684e-10,-1.0050461385432761e-09,-1.6189661429199765e-07,4
0.245,0.0,0.0,2.2176517960911687e-06,29.430010493173953,0.0009786286154839698,6.650548872287726e-05,4,-3.2790405806171208e-06,0.0,3.952111083643431e-06,19.62001046699793,0.0008444678359171393,8.60823022839449e-05,4,-4.372009625851214e-06,0.0,1.9709382217583847e-06,9.810010393013972,0.0004703834086268456,9.589865653186687e-05,6,-1.6050836284808856e-06,-2.3622809473566194e-10,-7.129426522553336e-10,-1.2783886660061264e-07,4
0.25,0.0,0.0,1.2159405474639302e-06,29.43001263926668,0.0017511394902424858,0.00011900365193224869,4,-3.2790413662907303e-06,0.0,2.1643871816094004e-06,19.620012609840437,0.0015183409226102423,0.0001547747142475043,4,-4.3720111968514885e-06,0.0,1.0744120972590426e-06,9.810012542273247,0.0008704445921194906,0.00017746044428966346,6,-1.6055577019558065e-06,-9.095302098715439e-11,-2.7172507866738505e-10,-6.732274524567606e-08,4
0.255,0.0,0.0,8.906045378405746e-08,29.430009588577875,0.0015398498073628294,0.00010464487296398727,4,-3.279041464073623e-06,0.0,1.5666067387872488e-07,19.62000956813328,0.001336209636296727,0.0001362088669382702,4,-4.372011391792774e-06,0.0,-3.5626253116383884e-08,9.810009526025254,0.000769985464380522,0.00015697955487969825,6,-1.6057337733355048e-06,3.1606359435005915e-11,9.393155963407417e-11,-1.1483848620926886e-08,4
0.26,0.0,0.0,-6.690014209795401e-07,29.4300042989674,0.0007821576926313232,5.315375999851733e-05,4,-3.279041098893515e-06,0.0,-1.1918684627504252e-06,19.620004290809607,0.0006785909533528259,6.917337461242974e-05,4,-4.3720106709527196e-06,0.0,-7.964721033399506e-07,9.810004274322628,0.00039101929228244363,7.971847541512782e-05,6,-1.6056892099547415e-06,9.79416575783777e-11,2.9127975874983967e-10,2.2001278925379725e-08,4
