time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-2.703463772710005e-18,28.487164055795823,1.4260503859038294,0.10011880319927416,4,-5.800140879579085e-06,0.0,-5.498668376289567e-19,18.814643978039083,1.2409855208307377,0.1319169815043268,4,-7.519553028086101e-06,0.0,1.0498724871207672e-17,9.24889617975052,0.8328075961509536,0.18008799752219032,4,-6.765341957037929e-06,0.0008060466123396356,0.0018319572041011175,0.0032717326920374563,5
0.01,0.0,0.0,-6.024401163959126e-18,28.94427530900733,0.5802972342868697,0.04009754800157555,4,-3.884081403005002e-06,0.0,-6.365612742180147e-18,19.200542688797697,0.5613759461980481,0.058475008263758656,4,-5.097070032385187e-06,0.0,-3.261031685785028e-17,9.541680877504154,0.3810681181835691,0.0798744210953419,4,-3.329850726478678e-06,0.0002002333306516903,0.00044874235529042937,0.0008145001407903128,1
0.015,0.0,0.0,-5.9550198244945145e-18,29.31412953210316,0.23275955388034625,0.01588036606206855,4,-3.4239488287263198e-06,0.0,-1.3265322086880402e-17,19.519992516493783,0.2219527075703332,0.022741064821904015,4,-4.537536622474525e-06,0.0,-1.3715167210976361e-17,9.745407219751993,0.15061299522708932,0.03090953345116803,4,-2.472184445170833e-06,4.79404748880125e-05,0.0001049455054252225,0.00019624750577392663,1
0.02,0.0,0.0,-5.9993178264653556e-18,29.402351259178644,9.858495006466158e-05,6.705922883217439e-06,4,-3.3137604480877603e-06,0.0,-1.0948290709845607e-17,19.596149921787966,0.001527907736414013,0.00015593958430734495,4,-4.409529670068579e-06,0.0,-6.448895319962819e-18,9.794429960757546,0.0010630038426956844,0.00021706293208583358,4,-2.2577625204481255e-06,1.1482839475619169e-05,2.448370503582362e-05,4.7340333306601405e-05,1
0.025,0.0,0.0,-1.5588770147476482e-18,29.423402205182065,0.019502709031456095,0.0013256596837752004,4,-3.2873627618945633e-06,0.0,5.005065332286105e-18,19.614312153113975,0.017654843147190742,0.0018002000793474527,4,-4.38043772212765e-06,0.0,2.888753272214265e-17,9.806243018273705,0.011963993911199332,0.002440076977269421,4,-2.2040410023668744e-06,2.7514714675320106e-06,5.694240783110956e-06,1.1424116895473884e-05,1
0.03,0.0,0.0,2.4955700195522434e-18,29.428426605702164,0.00422392063112083,0.00028706397985289413,4,-3.2810361902009533e-06,0.0,7.533639395121922e-18,19.618644653479144,0.003803413077212307,0.00038773453970866587,4,-4.373881614019859e-06,0.0,9.574282087496695e-18,9.809093438847297,0.0025765489908580745,0.0005253388617247905,4,-2.1905685174752887e-06,6.595741661840546e-07,1.319423962773044e-06,2.7570245754955748e-06,1
0.035,0.0,0.0,3.5013136221016146e-18,29.429625090919675,0.000671640510733438,4.5643837368534365e-05,4,-3.2795192283219254e-06,0.0,6.09950487224025e-18,19.619677363415082,0.0006524726387784428,6.65120660949412e-05,4,-4.372419431707131e-06,0.0,3.434916299964025e-18,9.809781272458578,0.00044323017681165323,9.036494586399042e-05,4,-2.187185501455191e-06,1.5819542311528465e-07,3.0446020019611804e-07,6.65884677009825e-07,1
0.04,0.0,0.0,2.38385539060775e-18,29.429910669589546,0.0004783333146680228,3.250661002938709e-05,4,-3.279155274451412e-06,0.0,5.0650091547810276e-18,19.619923207965144,0.0004513209351956017,4.600639160630129e-05,4,-4.372097436408651e-06,0.0,3.4253751296730297e-18,9.809947166092455,0.00030624923690628997,6.243647019115937e-05,4,-2.1863334860455774e-06,3.7968587602346984e-08,6.993442411315694e-08,1.611441127391912e-07,1
0.045,0.0,0.0,2.413431939414303e-18,29.42997869635208,4.3692717512216594e-05,2.9692659966235323e-06,4,-3.2790678886548963e-06,0.0,4.1227320150330605e-18,19.619981706156487,4.257029359795672e-05,4.339483515889185e-06,4,-4.372027658385014e-06,0.0,1.3618575214612325e-18,9.809987205073128,2.8916729475552425e-05,5.895365380415268e-06,4,-2.18611805642005e-06,9.119920079950528e-09,1.5976967057881064e-08,3.9078290075249686e-08,1
0.05,0.0,0.0,-1.2324576259559993e-18,29.42999491678448,3.047628232089015e-05,2.071103471615549e-06,4,-3.279046891211529e-06,0.0,-1.0818198461243327e-17,19.61999563985307,2.7712972706918045e-05,2.824972361423581e-06,4,-4.3720128668975344e-06,0.0,-3.3305513889512873e-17,9.80999689493934,1.8779061108301647e-05,3.828555973955335e-06,4,-2.186063446957265e-06,2.1921817946943584e-09,3.6245086790529186e-09,9.48257239423059e-09,1
