time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.0005,0.0,0.0,0.0,0.0,0.0,nan,0.0,4,-2.4524999999997465e-06,0.0,0.0,0.0,2.7755575615628914e-13,0.0,0.0,0.0,4,-6.938893903907228e-18,-6.938893903907228e-18,0.0,0.0,0.0,0.0,nan,nan,0,6.938893903907228e-18,nan,-0.004905000000000139,-0.004904999999999862,-0.0049050000000000005,0
0.001,0.0,0.0,2.7932328027139978e-19,18.765151829298986,1.3574532746201574e-14,1.4467810193794398e-15,1.6689577658190435e-15,4,-4.9484602381300036e-06,-2.4524999999997465e-06,0.0,2.950862537895358e-18,9.128992781821097,1.310434236242332e-14,2.870928409214757e-15,3.0195147217324533e-15,4,-1.267915664196484e-07,-6.938893903907228e-18,0.0,-3.2301858181667577e-18,0.0,0.0,nan,nan,0,-2.2822481954495877e-06,nan,-0.004991920476261195,-0.005245503609089313,-0.009810000000000001,2
0.0015,0.0,0.0,9.828774773540898e-20,26.442726286595345,2.78634072213254e-15,2.1074534387515285e-16,2.1367217763829206e-16,4,-7.5389768442769844e-06,-4.9484602381300036e-06,0.0,3.471558801570639e-18,17.010951758660227,3.0552191970036974e-15,3.592061444120308e-16,3.5832491984214807e-16,4,-4.834755883559305e-07,-1.2679156641975493e-07,0.0,-2.4106333858195896e-18,8.498747052816327,2.3262915286364156e-15,5.474434088176623e-16,5.547090805030812e-16,4,-4.567860804154111e-06,-2.28224819544966e-06,-0.005181033212293636,-0.005894401256167364,-0.010465626473591838,1
0.002,0.0,0.0,-7.91631261759676e-20,26.564574990480175,1.7151586265132935e-15,1.2913126802351983e-16,1.3224288591709091e-16,4,-1.0220854029935333e-05,-7.5389768442769844e-06,0.0,3.891319531043762e-18,17.12001730852596,2.1485152222093487e-15,2.509945151912159e-16,2.4682588732533886e-16,4,-1.0599452593754166e-06,-4.834755883561493e-07,0.0,-1.9673441775734114e-18,8.554602222890033,1.7199192770566108e-15,4.0210385760649993e-16,4.1733418872004005e-16,4,-6.856176628551591e-06,-4.567860804154271e-06,-0.005363754371316525,-0.006516693713349401,-0.011093325362146822,1
0.0025,0.0,0.0,-2.492943716640845e-19,26.68295204738705,1.6078952341039887e-15,1.2051854167023796e-16,1.2325423875252658e-16,4,-1.2990958808564712e-05,-1.0220854029935333e-05,0.0,4.326061856823647e-18,17.2258624192691,2.0250806411948305e-15,2.3512095846412266e-16,2.2874429726934556e-16,4,-1.8464291528172416e-06,-1.0599452593757412e-06,0.0,-1.5430855643877173e-18,8.608829680857735,1.5901903904926159e-15,3.6943241983948236e-16,3.893919670292599e-16,4,-9.146543217340708e-06,-6.8561766285518335e-06,-0.005540209557257549,-0.0071131773441437205,-0.011693910521717955,1
0.003,0.0,0.0,-4.395926932479163e-19,26.79794473995429,1.99266751603972e-15,1.487179360489359e-16,1.5190201541173175e-16,4,-1.5846220265354483e-05,-1.2990958808564712e-05,0.0,4.6945427649454046e-18,17.328571452597572,2.4375322170583542e-15,2.8133100570075736e-16,2.724000763406119e-16,4,-2.8334811569205587e-06,-1.8464291528176685e-06,0.0,-1.026226414512289e-18,8.661470607916907,1.9915688547868205e-15,4.598685246282432e-16,4.84540771487368e-16,4,-1.1438317365324024e-05,-9.14654321734103e-06,-0.005710522913579191,-0.0076846269218033905,-0.012268175217759502,1
0.0035,0.0,0.0,-6.328750470831008e-19,26.9096382744704,1.9974011837861733e-15,1.484524736760315e-16,1.515756164115141e-16,4,-1.8783628820989717e-05,-1.5846220265354483e-05,0.0,5.117016496487769e-18,17.428226669855494,2.462400892320212e-15,2.825761839073704e-16,2.7119354124330945e-16,4,-4.011970700178169e-06,-2.8334811569210855e-06,0.0,-4.907319264947434e-19,8.712565221792994,1.959802868936207e-15,4.498796437205646e-16,4.79333268271659e-16,4,-1.3730865569876183e-05,-1.143831736532442e-05,-0.0058748171112717375,-0.008231796197772142,-0.012816892606863006,1
0.004,0.0,0.0,-8.178550174435592e-19,27.01811582928341,2.0479112505988444e-15,1.515954157231963e-16,1.5461916990282236e-16,4,-2.1800235490164466e-05,-1.8783628820989717e-05,0.0,5.546750608673388e-18,17.524908283439082,2.49132949171525e-15,2.843186910221424e-16,2.708764453070732e-16,4,-5.3730732585341445e-06,-4.011970700178791e-06,0.0,8.765543261663246e-20,8.76215279805385,1.990866893897174e-15,4.544241443357078e-16,4.881718353221701e-16,4,-1.6023564446250582e-05,-1.373086556987665e-05,-0.006033213338349573,-0.008755418455079525,-0.013340816207836082,1
0.0045000000000000005,0.0,0.0,-9.809804535029537e-19,27.123458602076994,2.7358194096896634e-15,2.0173086698317792e-16,2.0463526829338645e-16,4,-2.4893151135556985e-05,-2.1800235490164466e-05,0.0,6.079352258070663e-18,17.618694506947996,3.1499268449576386e-15,3.5756642964840027e-16,3.4226474480609493e-16,4,-6.908261136695515e-06,-5.373073258534857e-06,0.0,7.506737153180279e-19,8.810271690976885,2.3967764126385604e-15,5.440868333477705e-16,5.816783198723881e-16,4,-1.8315801103868656e-05,-1.6023564446251118e-05,-0.006185831290785073,-0.009256207047093968,-0.013840680362347639,1
0.005,0.0,0.0,-1.1336621910620019e-18,27.225745856041588,3.0631026458319007e-15,2.250151501470933e-16,2.280166085802511e-16,4,-2.805954571796429e-05,-2.4893151135556985e-05,0.0,6.605071444471105e-18,17.709661604105012,3.4640832514851047e-15,3.9120829397238705e-16,3.7347716415085274e-16,4,-8.609294515300736e-06,-6.908261136696316e-06,0.0,1.412818858110477e-18,8.856959353978317,2.599675074384283e-15,5.870355661543319e-16,6.286174784342471e-16,4,-2.060697348554158e-05,-1.8315801103869256e-05,-0.006332789164816784,-0.00973485592203062,-0.01431720068535848,1
