time_s,ground_bottom_contacts,ground_bottom_Fn_N,ground_bottom_gap_m,ground_bottom_phi_min_m,bottom_middle_contacts,bottom_middle_Fn_N,bottom_middle_gap_m,bottom_middle_phi_min_m,middle_top_contacts,middle_top_Fn_N,middle_top_gap_m,middle_top_phi_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations,line_search_iterations,truncated_contacts
0.0005,4,0.8750646738608129,-3.1259655952457777e-06,0.0,4,3.5659880734022993,1.5488266944876927e-06,-0.00010000169277191162,1,0.05577384094350372,-8.577108383187038e-07,0.0,-0.006250462029129267,-0.003149893134832382,-0.004877113271504641,-1,-1,0
0.001,4,1.5764350151924154,-8.309707045555531e-06,-3.1348317861557007e-06,0,0.0,1.7667561769477147e-06,nan,4,3.751140524584736,1.5184283256447495e-07,-0.00010092556476593018,-0.010367244482040405,-0.009930463507771492,-0.007906543090939522,-1,-1,0
0.0015,4,2.3088641786977964,-1.5369132161140858e-05,-8.326023817062378e-06,0,0.0,1.409128308295371e-06,nan,0,0.0,1.1613965034476537e-06,nan,-0.014117812737822533,-0.014835463836789131,-0.012811543419957161,-1,-1,0
0.002,4,3.0634964809673435,-2.41142511367802e-05,-1.539289951324463e-05,0,0.0,2.8222799301064194e-07,nan,0,0.0,2.1746754646292943e-06,nan,-0.017491064965724945,-0.01974046416580677,-0.0177165437489748,-1,-1,0
0.0025,4,3.8317769237534653,-3.4355074167252e-05,-2.4145469069480896e-05,0,0.0,-1.800209283829568e-06,nan,0,0.0,3.187954425810935e-06,nan,-0.02048017643392086,-0.02464546449482441,-0.02262154407799244,-1,-1,0
0.003,4,4.892512205686307,-4.692047834396404e-05,-3.439374268054962e-05,4,4.383974556382393,-2.9140710830696803e-06,-0.00010194629430770874,0,0.0,3.105998039244773e-06,nan,-0.02513090707361698,-0.02735847793519497,-0.02752654440701008,-1,-1,0
0.0035,4,5.962034812153865,-6.151057779789013e-05,-4.696287214756012e-05,4,4.2506992429953545,-3.3927708864220363e-06,-0.00010308623313903809,0,0.0,1.962333917616965e-06,nan,-0.029180239886045456,-0.030138129368424416,-0.03243154287338257,-1,-1,0
0.004,4,7.0324721513347,-7.78385251760487e-05,-6.155483424663544e-05,4,4.1772331980737425,-3.541782498360513e-06,-0.00010357797145843506,0,0.0,-2.318620681771022e-07,nan,-0.03265761956572533,-0.032954514026641846,-0.03733654320240021,-1,-1,0
0.0045000000000000005,4,8.114609068231527,-9.569942951202434e-05,-7.7882781624794e-05,4,4.433453840199361,-4.583001136780618e-06,-0.000103730708360672,4,4.327439695543124,-1.371800899506448e-06,-0.00010065734386444092,-0.0357220433652401,-0.03780650720000267,-0.040077824145555496,-1,-1,0
0.005,4,9.203584941218313,-0.00011489771306514782,-9.573996067047119e-05,4,4.7441491995836165,-6.585344672203897e-06,-0.0001047775149345398,4,4.127174370519745,-1.62884593010032e-06,-0.00010181963443756104,-0.038397327065467834,-0.04240301996469498,-0.04291923716664314,-1,-1,0
0.0055,4,10.294996655351602,-0.00013525083661079448,-0.00011493265628814697,4,5.106141651552455,-9.597241878510354e-06,-0.00010677799582481384,4,3.9428171952771347,-1.1892616748818141e-06,-0.00010208040475845337,-0.04070790112018585,-0.04672635719180107,-0.04585282877087593,-1,-1,0
0.006,4,11.384990093118832,-0.00015658929944038433,-0.00013527832925319672,4,5.515965469911338,-1.3639181852341531e-05,-0.00010977312922477722,4,3.7820833718797053,-2.3931264877402603e-07,-0.00010164827108383179,-0.04267838969826698,-0.05076441541314125,-0.04886678606271744,-1,-1,0
0.006500000000000001,4,12.470223030985055,-0.00017875663936138195,-0.00015660561621189117,4,5.97014158911771,-1.8726065754891275e-05,-0.0001137852668762207,4,3.650742350201499,1.0421872138968724e-06,-0.00010067224502563477,-0.04433334991335869,-0.054509714245796204,-0.05194641649723053,-1,-1,0
0.007,4,13.533526612778704,-0.00020155355334281963,-0.00017876364290714264,4,6.24652453121574,-2.4073719978333352e-05,-0.0001188516616821289,0,0.0,7.627904415122289e-07,nan,-0.045594848692417145,-0.056291453540325165,-0.05685141682624817,-1,-1,0
0.0075,4,14.571432191021673,-0.0002248012274503712,-0.00020155496895313263,4,6.5618471056948415,-2.9782727360726235e-05,-0.0001241825520992279,0,0.0,-1.1557340621956569e-06,nan,-0.04649505764245987,-0.05791553109884262,-0.06175641715526581,-1,-1,0
0.008,4,15.599258677168292,-0.0002483990788459782,-0.00022481195628643036,4,7.188105993592805,-3.691479563713157e-05,-0.00012986361980438232,4,4.462284030959058,-2.6421248912819606e-06,-0.00010153651237487793,-0.047194480895996094,-0.061457619071006775,-0.06443027406930923,-1,-1,0
0.0085,4,16.616173512869143,-0.00027225770056247753,-0.0002484191209077835,4,7.849042610665528,-4.5387968420983194e-05,-0.00013697147369384766,4,4.448397057225826,-3.86774539947593e-06,-0.000102996826171875,-0.047715917229652405,-0.06466230005025864,-0.067111074924469,-1,-1,0
0.009000000000000001,4,17.621448492381337,-0.00029629699885845226,-0.000272287055850029,4,8.53901793639307,-5.511470139026725e-05,-0.00014542043209075928,4,4.4694320355404145,-4.992783069611428e-06,-0.00010420382022857666,-0.048079703003168106,-0.0675325095653534,-0.0697813555598259,-1,-1,0
0.0095,4,18.614392533134616,-0.00032044805586338085,-0.0002963356673717499,4,9.25256341624726,-6.599999964237296e-05,-0.0001551210880279541,4,4.528233923865447,-6.166249513626931e-06,-0.00010530650615692139,-0.048303790390491486,-0.07007534801959991,-0.07242223620414734,-1,-1,0
0.01,4,19.59450396138106,-0.0003446494042873387,-0.0003204941749572754,4,9.985487899683044,-7.794886827468955e-05,-0.00016601383686065674,4,4.626648655696014,-7.522255182267068e-06,-0.00010645389556884766,-0.048404283821582794,-0.07230092585086823,-0.0750139132142067,-1,-1,0
0.0105,4,20.56131884354193,-0.00036884702742099804,-0.0003447011113166809,4,10.733615136184058,-9.086258709430778e-05,-0.00017798691987991333,4,4.764994275180161,-9.176284074784158e-06,-0.0001077800989151001,-0.04839543253183365,-0.07422161847352982,-0.07753641903400421,-1,-1,0
0.011,4,21.514435930160964,-0.00039299249649047893,-0.00036890432238578796,4,11.49317996278386,-0.00010464429855346763,-0.00019091367721557617,4,4.943577203156124,-1.1236369609833596e-05,-0.00010940432548522949,-0.04828980565071106,-0.07585182040929794,-0.0799696296453476,-1,-1,0
0.0115,4,22.45348566394581,-0.0004170411080121998,-0.00039305537939071655,4,12.261068756297416,-0.00011920087039470756,-0.00020471960306167603,4,5.161627072471022,-1.3780742883683084e-05,-0.00011144578456878662,-0.048098597675561905,-0.07720710337162018,-0.08229381591081619,-1,-1,0
0.012,4,23.378061369363873,-0.0004409574717283253,-0.0004171077162027359,4,13.034221046292386,-0.0001344373077154168,-0.0002192854881286621,4,5.417365714479927,-1.6872733831406472e-05,-0.00011396408081054688,-0.04783167690038681,-0.07830367237329483,-0.08449013531208038,-1,-1,0
0.0125,4,24.287957988097105,-0.00046470619738102,-0.0004410259425640106,4,13.809988785672319,-0.00015026606619358146,-0.00023453682661056519,4,5.708417840805114,-2.056822180748069e-05,-0.00011703372001647949,-0.047497693449258804,-0.07915788888931274,-0.08654092997312546,-1,-1,0
0.013000000000000001,4,25.1828336381029,-0.00048825748264789623,-0.00046477653086185455,4,14.586068821176543,-0.00016660891473293388,-0.0002503693103790283,4,6.032751670963343,-2.488583326339805e-05,-0.00012070685625076294,-0.04710431024432182,-0.07978623360395432,-0.08842955529689789,-1,-1,0
0.0135,4,26.06247750959882,-0.000511587113142014,-0.0004883278161287308,4,15.360942828312856,-0.00018338203430175865,-0.0002667270600795746,4,6.386532740587031,-2.985164523124778e-05,-0.000125005841255188,-0.04665854200720787,-0.08020403236150742,-0.09014128893613815,-1,-1,0
0.014,4,26.926718591377238,-0.0005346708744764332,-0.0005116555839776993,4,16.131804127997192,-0.00020051278173923576,-0.00028349459171295166,4,6.767205697015195,-3.5465657711029885e-05,-0.00012997537851333618,-0.046166084706783295,-0.08042673021554947,-0.0916626825928688,-1,-1,0
0.0145,4,27.7753224810329,-0.0005574864149093632,-0.0005347374826669693,4,16.89751456952512,-0.00021793037652969444,-0.00030062347650527954,4,7.170498789447504,-4.17241454124459e-05,-0.00013555586338043213,-0.04563217982649803,-0.08046822249889374,-0.09298243373632431,-1,-1,0
0.015,4,28.608036860642304,-0.0005800169706344609,-0.0005575511604547501,4,17.65650674758878,-0.0002355696260929116,-0.00031804293394088745,4,7.593744146611565,-4.859730601310813e-05,-0.00014180690050125122,-0.04506141319870949,-0.08034183830022812,-0.09409055858850479,-1,-1,0
0.0155,4,29.424728897088542,-0.0006022457778453831,-0.0005800779908895493,4,18.407157864314144,-0.0002533690631389626,-0.0003356747329235077,4,8.03254130782921,-5.6059062480927346e-05,-0.00014866143465042114,-0.044457629323005676,-0.08005952835083008,-0.09497928619384766,-1,-1,0
0.016,4,30.225170853708406,-0.0006241579353809361,-0.000602303072810173,4,19.147877125451856,-0.0002712728083133706,-0.0003534741699695587,4,8.483847783809876,-6.406098604202354e-05,-0.0001561194658279419,-0.043823983520269394,-0.07963251322507858,-0.09564236551523209,-1,-1,0
0.0165,4,31.009173179266064,-0.0006457404047250752,-0.0006242115050554276,4,19.877971413828988,-0.0002892268449068078,-0.0003713741898536682,4,8.943318630878386,-7.256582379341209e-05,-0.000164128839969635,-0.04316338151693344,-0.07907018810510635,-0.09607570618391037,-1,-1,0
0.017,4,31.776503911538157,-0.0006669801473617558,-0.000645788386464119,4,20.59553414204387,-0.0003071771562099465,-0.0003893226385116577,4,9.408134961974522,-8.15139710903176e-05,-0.00017261505126953125,-0.04247789829969406,-0.0783814862370491,-0.09627664089202881,-1,-1,0
0.0175,4,32.52688953114023,-0.0006878641247749333,-0.0006670244038105011,4,21.299684981041572,-0.00032508090138435447,-0.00040725991129875183,4,9.874465277486943,-9.084954857826316e-05,-0.00018155574798583984,-0.04176929593086243,-0.07757387310266495,-0.09624440968036652,-1,-1,0
0.018000000000000002,4,33.26000686732684,-0.0007083830237388615,-0.0006879027932882309,4,21.989410492886666,-0.0003428877890110024,-0.00042515993118286133,4,10.339734019911749,-0.00010051295161247337,-0.00019088387489318848,-0.04103899747133255,-0.07665403187274933,-0.09597954154014587,-1,-1,0
0.0185,4,33.97559459972626,-0.0007285275310277943,-0.0007084161043167114,4,22.663191926518902,-0.0003605587035417565,-0.00044295936822891235,4,10.80034720484192,-0.00011044085025787437,-0.00020053237676620483,-0.040287796407938004,-0.07562761008739471,-0.09548436850309372,-1,-1,0
0.019,4,34.67335010391037,-0.0007482864707708363,-0.0007285550236701965,4,23.320138324863194,-0.0003780489414930352,-0.0004606321454048157,4,11.25420905808063,-0.00012056991457939231,-0.0002104640007019043,-0.03951619192957878,-0.07449964433908463,-0.09476226568222046,-1,-1,0
0.0195,4,35.352842710771846,-0.0007676486670970921,-0.0007483083754777908,4,23.95905443310584,-0.0003953249752521523,-0.0004781000316143036,4,11.698754685904998,-0.0001308405399322518,-0.00022058188915252686,-0.038724299520254135,-0.07327449321746826,-0.09381788969039917,-1,-1,0
0.02,4,36.01362762058841,-0.0007866048067808155,-0.0007676649838685989,4,24.57929641747991,-0.00041234768927097404,-0.0004953742027282715,4,12.131955119335322,-0.000141189396381379,-0.0002308487892150879,-0.03791213408112526,-0.07195582240819931,-0.09265691041946411,-1,-1,0
0.0205,4,36.65525790098375,-0.0008051437139511113,-0.0007866155356168747,4,25.179324634217853,-0.0004290835559368142,-0.0005123838782310486,4,12.551151642515043,-0.0001515568792819985,-0.00024119019508361816,-0.03707916662096977,-0.07054673880338669,-0.09128633141517639,-1,-1,0
0.021,4,37.27722273202567,-0.0008232560753822331,-0.0008051488548517227,4,25.758775036098683,-0.0004454971849918374,-0.0005291104316711426,4,12.955362606880055,-0.00016189083456993186,-0.00025156140327453613,-0.03622494265437126,-0.06905003637075424,-0.08971364796161652,-1,-1,0
0.021500000000000002,4,37.879043088442195,-0.0008409307152032856,-0.0008232556283473969,4,26.31655618400868,-0.00046155504882335746,-0.0005455203354358673,4,13.34261482181827,-0.00017213165760040366,-0.00026188790798187256,-0.03534869849681854,-0.0674680694937706,-0.08794733881950378,-1,-1,0
0.022,4,38.46014622351962,-0.0008581545948982243,-0.0008409358561038971,4,26.851826823956007,-0.0004772329330444344,-0.0005615651607513428,4,13.71217091682096,-0.00018222719430923545,-0.00027213990688323975,-0.034449540078639984,-0.06580324470996857,-0.08599625527858734,-1,-1,0
0.0225,4,39.01986514069275,-0.0008749184012413029,-0.0008581634610891342,4,27.363630158565133,-0.0004924991726875314,-0.0005772337317466736,4,14.06273756646372,-0.00019212901592254722,-0.00028223544359207153,-0.03352642431855202,-0.06405779719352722,-0.08386988937854767,-1,-1,0
0.023,4,39.55770068139893,-0.0008912072330713276,-0.0008749309927225113,4,27.851744190011377,-0.000507327690720559,-0.0005924999713897705,4,14.393689146510262,-0.0002018035948276528,-0.00029215216636657715,-0.032578445971012115,-0.06223376840353012,-0.08157804608345032,-1,-1,0
0.0235,4,40.07290632260531,-0.0009070099145174031,-0.0008912254124879837,4,28.315083227617016,-0.0005216924101114281,-0.0006073303520679474,4,14.704017081421657,-0.00021119877696037376,-0.0003018230199813843,-0.03160453587770462,-0.060333237051963806,-0.07913103699684143,-1,-1,0
0.024,4,40.56490090634402,-0.0009223115444183354,-0.0009070318192243576,4,28.753288383517184,-0.000535570979118348,-0.0006217062473297119,4,14.9933379153598,-0.00022028475999832237,-0.00031122565269470215,-0.03060372918844223,-0.05835826322436333,-0.07653936743736267,-1,-1,0
0.0245,4,41.032971384519215,-0.0009370990842580799,-0.0009223371744155884,4,29.165904858136905,-0.0005489391833543786,-0.0006355941295623779,4,15.261680516849939,-0.00022903919219970786,-0.0003203079104423523,-0.029575197026133537,-0.05631115287542343,-0.0738135278224945,-1,-1,0
0.025,4,41.476476802701264,-0.0009513576328754429,-0.0009371265769004822,4,29.552243540831547,-0.0005617783963680276,-0.0006489604711532593,4,15.509223409678347,-0.00023742109537124717,-0.0003290697932243347,-0.028518080711364746,-0.05419464409351349,-0.07096391916275024,-1,-1,0
0.025500000000000002,4,41.894741995793716,-0.0009650741517543797,-0.0009513888508081436,4,29.912216354753017,-0.0005740681290626534,-0.000661805272102356,4,15.735464414862687,-0.000245411843061448,-0.000337451696395874,-0.02743181772530079,-0.05201127007603645,-0.06800118833780289,-1,-1,0
0.026000000000000002,4,42.28717735638086,-0.0009782318770885472,-0.0009651072323322296,4,30.245386352948962,-0.0005857916176319131,-0.0006740987300872803,4,15.940458135860947,-0.0002530002593994149,-0.00034543871879577637,-0.026315921917557716,-0.04976380616426468,-0.06493595987558365,-1,-1,0
0.0265,4,42.65308642876754,-0.0009908177703619007,-0.0009782686829566956,4,30.551659329982016,-0.0005969320982694634,-0.0006858259439468384,4,16.12535879136373,-0.00026016399264335716,-0.00035303831100463867,-0.025170208886265755,-0.04745565727353096,-0.06177828088402748,-1,-1,0
0.027,4,42.99193851711948,-0.0010028150677680973,-0.0009908564388751984,4,30.830742602575647,-0.0006074802577495583,-0.0006969720125198364,4,16.289395573952053,-0.00026688441634178245,-0.0003602057695388794,-0.02399461157619953,-0.04508998245000839,-0.05853858217597008,-1,-1,0
0.0275,4,43.303085751901634,-0.001014208868145943,-0.001002853736281395,4,31.082446453716805,-0.0006174211949110039,-0.0007075220346450806,4,16.433253790713817,-0.0002731615304946908,-0.00036691874265670776,-0.02278929203748703,-0.04267038777470589,-0.05522695556282997,-1,-1,0
0.028,4,43.586030372947384,-0.0010249861329793934,-0.00101424939930439,4,31.3073531111707,-0.0006267455965280541,-0.0007174685597419739,4,16.557896397509783,-0.0002789878845214852,-0.0003731921315193176,-0.02155495434999466,-0.04020065814256668,-0.051853008568286896,-1,-1,0
0.0285,4,43.84032821381886,-0.0010351319611072544,-0.0010250285267829895,4,31.504715594939714,-0.0006354422867298135,-0.000726792961359024,4,16.66353509483094,-0.0002843597531318673,-0.000379025936126709,-0.020292147994041443,-0.03768506646156311,-0.04842624068260193,-1,-1,0
0.029,4,44.06554270368867,-0.0010446333140134816,-0.0010351743549108505,4,31.67527659713601,-0.0006435056775808343,-0.0007354915142059326,4,16.750465211984594,-0.00028927341103553855,-0.000384405255317688,-0.01900201477110386,-0.0351276621222496,-0.044956009835004807,-1,-1,0
