time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005,0.0,-3.6287601640166544e-34,3.6287601640166544e-34,0.0,-3.6287601640166544e-34,7.257520328033309e-34,-3.6287601640166544e-34,8
0.001,0.0,-6.3699046037875615e-21,6.397660179403191e-21,0.0,-6.3699046037875615e-21,1.2767564783190753e-20,-6.397660179403191e-21,8
0.0015,0.0,-3.3834046675452736e-20,8.271161533458505e-21,-9.631184738623234e-21,-3.3834046675452736e-20,4.2105208208911244e-20,-1.7902346272081737e-20,12
0.002,0.0,-4.597711100729075e-20,2.4841240176002395e-21,-3.913536161803677e-20,-4.597711100729075e-20,4.846123502489099e-20,-4.1619485635637005e-20,12
0.0025,0.0,-5.084821452783399e-20,-9.70057367766049e-21,-8.278100427361323e-20,-5.084821452783399e-20,4.1147640850173496e-20,-7.308043059595274e-20,12
0.003,0.0,-5.258293800381116e-20,-2.6006974351842113e-20,-1.3473944182607057e-19,-5.258293800381116e-20,2.6575963651969046e-20,-1.0873246747422846e-19,12
0.0035,0.0,-5.3207438455163175e-20,-4.4644843377736565e-20,-1.903616153597909e-19,-5.3207438455163175e-20,8.56259507742661e-21,-1.4571677198205433e-19,12
0.004,0.0,-5.349887199912764e-20,-6.408762409648426e-20,-2.457339887129706e-19,-5.349887199912764e-20,-1.0588752097356614e-20,-1.8164636461648634e-19,12
0.0045000000000000005,0.0,-5.3873572269938996e-20,-8.323897127126785e-20,-2.986499936241671e-19,-5.3873572269938996e-20,-2.936539900132885e-20,-2.1541102235289929e-19,12
0.005,0.0,-5.430378369198161e-20,-1.0144662887512005e-19,-3.4765246237355996e-19,-5.430378369198161e-20,-4.714284518313844e-20,-2.4620583349843993e-19,12
0.0055,0.0,-5.487277299210237e-20,-1.1830814106161424e-19,-3.921446500854131e-19,-5.487277299210237e-20,-6.343536806951187e-20,-2.738365090237989e-19,12
0.006,0.0,-5.552502901907001e-20,-1.3357370765020979e-19,-4.3201553445726406e-19,-5.552502901907001e-20,-7.804867863113977e-20,-2.9844182680705427e-19,12
0.006500000000000001,0.0,-5.620504062165329e-20,-1.4721557306529103e-19,-4.673206266403441e-19,-5.620504062165329e-20,-9.101053244363774e-20,-3.20105053575053e-19,12
0.007,0.0,-5.696831895108345e-20,-1.593447596093205e-19,-4.982819712395781e-19,-5.696831895108345e-20,-1.0237644065823705e-19,-3.389372116302576e-19,12
0.0075,0.0,-5.750955267558858e-20,-1.7011392294818417e-19,-5.252465129501616e-19,-5.750955267558858e-20,-1.126043702725956e-19,-3.5513259000197736e-19,12
0.008,0.0,-5.807854197570933e-20,-1.79523063081882e-19,-5.486305854063289e-19,-5.807854197570933e-20,-1.2144452110617268e-19,-3.691075223244469e-19,12
0.0085,0.0,-5.861977570021446e-20,-1.875583022226062e-19,-5.690309334838161e-19,-5.861977570021446e-20,-1.2893852652239175e-19,-3.8147263126120993e-19,12
