time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005,0.0,2.8837593e-07,1.3186283e-06,-9.840019e-07,2.8837593e-07,1.0302524e-06,-2.30263e-06,9
0.001,0.0,3.1070974e-07,2.6381326e-06,-1.9688798e-06,3.1070974e-07,2.3274229e-06,-4.6070127e-06,8
0.0015,0.0,2.791371e-07,3.957637e-06,-2.9537578e-06,2.791371e-07,3.6785e-06,-6.911395e-06,8
0.002,0.0,3.767753e-07,4.512254e-06,-3.938636e-06,3.767753e-07,4.1354783e-06,-8.45089e-06,8
0.0025,0.0,3.521883e-07,5.0668705e-06,-4.923514e-06,3.521883e-07,4.7146823e-06,-9.990385e-06,4
0.003,0.0,3.0685575e-07,5.4401303e-06,-5.7270354e-06,3.0685575e-07,5.1332745e-06,-1.1167165e-05,8
0.0035,0.0,2.627901e-07,5.81339e-06,-6.5305567e-06,2.627901e-07,5.5506e-06,-1.2343947e-05,4
0.004,0.0,2.240161e-07,6.18665e-06,-7.334078e-06,2.240161e-07,5.9626336e-06,-1.3520728e-05,4
0.0045000000000000005,0.0,1.3548937e-07,6.4196356e-06,-8.137599e-06,1.3548937e-07,6.2841464e-06,-1.4557235e-05,8
0.005,0.0,1.02850024e-07,6.6526213e-06,-8.9411205e-06,1.02850024e-07,6.549771e-06,-1.5593741e-05,4
0.0055,0.0,8.475091e-08,6.885607e-06,-9.744642e-06,8.475091e-08,6.800856e-06,-1.6630249e-05,4
0.006,0.0,7.149201e-08,7.1185927e-06,-1.0548163e-05,7.149201e-08,7.0471006e-06,-1.7666756e-05,4
0.006500000000000001,0.0,6.07761e-08,7.1101003e-06,-1.1110206e-05,6.07761e-08,7.0493243e-06,-1.8220308e-05,8
0.007,0.0,5.173126e-08,7.101608e-06,-1.16722495e-05,5.173126e-08,7.049877e-06,-1.8773857e-05,4
0.0075,0.0,-6.433585e-08,7.187597e-06,-1.2234293e-05,-6.433585e-08,7.251933e-06,-1.942189e-05,8
0.008,0.0,-7.9299355e-08,7.273586e-06,-1.2796336e-05,-7.9299355e-08,7.3528854e-06,-2.0069921e-05,4
0.0085,0.0,-7.305203e-08,7.144823e-06,-1.3143626e-05,-7.305203e-08,7.217875e-06,-2.028845e-05,8
0.009000000000000001,0.0,-1.8507822e-07,7.208766e-06,-1.3490917e-05,-1.8507822e-07,7.393844e-06,-2.0699683e-05,8
0.0095,0.0,-1.8530194e-07,7.272709e-06,-1.3838207e-05,-1.8530194e-07,7.4580107e-06,-2.1110916e-05,4
0.01,0.0,-1.6397328e-07,7.156319e-06,-1.4005165e-05,-1.6397328e-07,7.3202923e-06,-2.1161484e-05,8
0.0105,0.0,-1.4096396e-07,7.039929e-06,-1.4172123e-05,-1.4096396e-07,7.180893e-06,-2.1212052e-05,4
0.011,0.0,-2.4256082e-07,7.140197e-06,-1.4339081e-05,-2.4256082e-07,7.3827578e-06,-2.1479278e-05,8
0.0115,0.0,-2.3411751e-07,7.2404646e-06,-1.45060385e-05,-2.3411751e-07,7.474582e-06,-2.1746502e-05,4
0.012,0.0,-2.0553536e-07,7.3407323e-06,-1.4672996e-05,-2.0553536e-07,7.5462676e-06,-2.2013728e-05,4
0.0125,0.0,-1.762964e-07,7.275963e-06,-1.4674918e-05,-1.762964e-07,7.4522595e-06,-2.195088e-05,8
0.013000000000000001,0.0,-1.5036731e-07,7.211194e-06,-1.467684e-05,-1.5036731e-07,7.361561e-06,-2.1888034e-05,4
0.0135,0.0,-2.264957e-07,7.3304723e-06,-1.46787615e-05,-2.264957e-07,7.556968e-06,-2.2009233e-05,8
0.014,0.0,-2.1507698e-07,7.4497507e-06,-1.4680683e-05,-2.1507698e-07,7.6648275e-06,-2.2130434e-05,4
0.0145,0.0,-1.8806978e-07,7.569029e-06,-1.4682605e-05,-1.8806978e-07,7.7570985e-06,-2.2251634e-05,4
0.015,0.0,-1.611746e-07,7.5626185e-06,-1.4558837e-05,-1.611746e-07,7.723793e-06,-2.2121456e-05,8
0.0155,0.0,-1.3741523e-07,7.556208e-06,-1.443507e-05,-1.3741523e-07,7.693623e-06,-2.1991278e-05,4
0.016,0.0,-1.882455e-07,7.685249e-06,-1.4311302e-05,-1.882455e-07,7.873495e-06,-2.1996551e-05,8
0.0165,0.0,-1.7635381e-07,7.81429e-06,-1.4187534e-05,-1.7635381e-07,7.990644e-06,-2.2001825e-05,4
0.017,0.0,-1.5376628e-07,7.853844e-06,-1.397428e-05,-1.5376628e-07,8.007611e-06,-2.1828124e-05,8
0.0175,0.0,-1.3169596e-07,7.893398e-06,-1.3761025e-05,-1.3169596e-07,8.025094e-06,-2.1654423e-05,4
0.018000000000000002,0.0,-1.6459819e-07,8.033604e-06,-1.354777e-05,-1.6459819e-07,8.1982025e-06,-2.1581374e-05,8
0.0185,0.0,-1.5193568e-07,8.17381e-06,-1.3334516e-05,-1.5193568e-07,8.3257455e-06,-2.1508326e-05,4
0.019,0.0,-1.3199202e-07,8.314016e-06,-1.3121261e-05,-1.3199202e-07,8.446008e-06,-2.1435277e-05,4
0.0195,0.0,-1.1290112e-07,8.389738e-06,-1.2843522e-05,-1.1290112e-07,8.502639e-06,-2.123326e-05,8
0.02,0.0,-9.622951e-08,8.465459e-06,-1.2565783e-05,-9.622951e-08,8.561688e-06,-2.1031243e-05,4
0.0205,0.0,-1.0971599e-07,8.593409e-06,-1.2288045e-05,-1.0971599e-07,8.703125e-06,-2.0881453e-05,8
0.021,0.0,-9.964658e-08,8.721358e-06,-1.2010306e-05,-9.964658e-08,8.821005e-06,-2.0731664e-05,4
0.021500000000000002,0.0,-8.621637e-08,8.849308e-06,-1.1732567e-05,-8.621637e-08,8.935524e-06,-2.0581876e-05,4
0.022,0.0,-7.374956e-08,8.942282e-06,-1.1419854e-05,-7.374956e-08,9.016032e-06,-2.0362135e-05,8
0.0225,0.0,-6.286427e-08,9.035256e-06,-1.110714e-05,-6.286427e-08,9.09812e-06,-2.0142397e-05,4
0.023,0.0,-6.1745496e-08,9.143643e-06,-1.0794427e-05,-6.1745496e-08,9.205389e-06,-1.993807e-05,8
0.0235,0.0,-5.44444e-08,9.25203e-06,-1.0481714e-05,-5.44444e-08,9.306475e-06,-1.9733743e-05,4
0.024,0.0,-4.6809628e-08,9.350058e-06,-1.015864e-05,-4.6809628e-08,9.396867e-06,-1.9508698e-05,8
0.0245,0.0,-3.996956e-08,9.448085e-06,-9.835567e-06,-3.996956e-08,9.488054e-06,-1.9283652e-05,4
0.025,0.0,-3.048212e-08,9.540547e-06,-9.512493e-06,-3.048212e-08,9.571028e-06,-1.905304e-05,8
0.025500000000000002,0.0,-2.5218487e-08,9.633009e-06,-9.18942e-06,-2.5218487e-08,9.658227e-06,-1.882243e-05,4
0.026000000000000002,0.0,-2.1305265e-08,9.725471e-06,-8.866346e-06,-2.1305265e-08,9.7467755e-06,-1.8591818e-05,4
0.0265,0.0,-1.8081574e-08,9.823206e-06,-8.548546e-06,-1.8081574e-08,9.8412875e-06,-1.8371753e-05,8
0.027,0.0,-1.5420213e-08,9.920941e-06,-8.230746e-06,-1.5420213e-08,9.9363615e-06,-1.8151688e-05,4
0.0275,0.0,2.6310534e-09,9.991384e-06,-7.912946e-06,2.6310534e-09,9.988753e-06,-1.790433e-05,8
0.028,0.0,5.787509e-09,1.0061827e-05,-7.595146e-06,5.787509e-09,1.005604e-05,-1.7656974e-05,4
0.0285,0.0,5.6435465e-09,1.013227e-05,-7.2773464e-06,5.6435465e-09,1.0126627e-05,-1.7409617e-05,4
0.029,0.0,4.971411e-09,1.0224291e-05,-6.9811244e-06,4.971411e-09,1.021932e-05,-1.7205415e-05,8
0.029500000000000002,0.0,4.1976014e-09,1.0316312e-05,-6.6849025e-06,4.1976014e-09,1.0312115e-05,-1.7001214e-05,4
0.03,0.0,2.793862e-08,1.0366302e-05,-6.3886805e-06,2.793862e-08,1.0338364e-05,-1.6754982e-05,8
0.0305,0.0,2.9292794e-08,1.0416293e-05,-6.0924585e-06,2.9292794e-08,1.0387e-05,-1.6508751e-05,4
0.031,0.0,2.6116929e-08,1.0499457e-05,-5.82941e-06,2.6116929e-08,1.047334e-05,-1.6328868e-05,8
0.0315,0.0,2.2498208e-08,1.0582621e-05,-5.5663613e-06,2.2498208e-08,1.0560123e-05,-1.6148982e-05,4
0.032,0.0,4.8621533e-08,1.0613727e-05,-5.3033127e-06,4.8621533e-08,1.0565105e-05,-1.591704e-05,8
0.0325,0.0,4.8072803e-08,1.0644832e-05,-5.040264e-06,4.8072803e-08,1.0596759e-05,-1.5685097e-05,4
0.033,0.0,4.238263e-08,1.0675938e-05,-4.7772155e-06,4.238263e-08,1.0633556e-05,-1.5453154e-05,4
0.0335,0.0,3.6346616e-08,1.0746108e-05,-4.553231e-06,3.6346616e-08,1.0709761e-05,-1.529934e-05,8
0.034,0.0,3.0995704e-08,1.08162785e-05,-4.3292466e-06,3.0995704e-08,1.0785283e-05,-1.5145525e-05,4
0.0345,0.0,5.8130684e-08,1.0831996e-05,-4.105262e-06,5.8130684e-08,1.0773866e-05,-1.4937259e-05,8
0.035,0.0,5.670345e-08,1.0847714e-05,-3.8812777e-06,5.670345e-08,1.0791011e-05,-1.4728992e-05,4
0.035500000000000004,0.0,4.9877578e-08,1.0863432e-05,-3.6572933e-06,4.9877578e-08,1.0813555e-05,-1.4520725e-05,4
0.036000000000000004,0.0,4.2763663e-08,1.0922273e-05,-3.4764312e-06,4.2763663e-08,1.0879509e-05,-1.4398704e-05,8
0.0365,0.0,3.6453358e-08,1.09811135e-05,-3.295569e-06,3.6453358e-08,1.094466e-05,-1.4276682e-05,4
0.037,0.0,6.3350925e-08,1.0984809e-05,-3.114707e-06,6.3350925e-08,1.0921458e-05,-1.4099516e-05,8
0.0375,0.0,6.1233855e-08,1.0988504e-05,-2.9338448e-06,6.1233855e-08,1.09272705e-05,-1.3922348e-05,4
0.038,0.0,5.3738134e-08,1.1036036e-05,-2.7968194e-06,5.3738134e-08,1.0982298e-05,-1.3832856e-05,8
0.0385,0.0,4.6065633e-08,1.1083568e-05,-2.659794e-06,4.6065633e-08,1.1037502e-05,-1.3743362e-05,4
0.039,0.0,7.146898e-08,1.1074391e-05,-2.5227687e-06,7.146898e-08,1.1002922e-05,-1.359716e-05,8
0.0395,0.0,6.809757e-08,1.10652145e-05,-2.3857433e-06,6.809757e-08,1.0997117e-05,-1.3450957e-05,4
0.04,0.0,5.960857e-08,1.1056038e-05,-2.248718e-06,5.960857e-08,1.0996429e-05,-1.3304756e-05,4
0.0405,0.0,5.1100432e-08,1.1089314e-05,-2.1541462e-06,5.1100432e-08,1.1038213e-05,-1.3243461e-05,8
