time_s,cube_z_m,finger_half_gap_m,finger_z_m,contacts
0.000000000000000000e+00,2.099999971687793732e-02,4.499999999999999833e-02,4.100000000000000172e-02,0.000000000000000000e+00
1.000000000000000021e-03,2.099018916487693787e-02,4.497999999999999915e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.000000000000000042e-03,2.097056992352008820e-02,4.495999999999999996e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.000000000000000062e-03,2.094114013016223907e-02,4.494000000000000078e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.000000000000000083e-03,2.090189978480339050e-02,4.492000000000000159e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.000000000000000104e-03,2.085284888744354248e-02,4.489999999999999547e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.000000000000000125e-03,2.079398930072784424e-02,4.487999999999999629e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.000000000000000146e-03,2.072531916201114655e-02,4.485999999999999710e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.000000000000000167e-03,2.064683847129344940e-02,4.483999999999999792e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.000000000000001055e-03,2.055854909121990204e-02,4.481999999999999873e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.000000000000000021e-02,2.046044915914535522e-02,4.479999999999999954e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.099999999999999936e-02,2.035253867506980896e-02,4.478000000000000036e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.200000000000000025e-02,2.023481950163841248e-02,4.476000000000000117e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.300000000000000114e-02,2.010728977620601654e-02,4.473999999999999505e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.400000000000000029e-02,1.996994949877262115e-02,4.471999999999999587e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.499999999999999944e-02,1.995967142283916473e-02,4.469999999999999668e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.600000000000000033e-02,1.995881833136081696e-02,4.467999999999999750e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.700000000000000122e-02,1.995866559445858002e-02,4.465999999999999831e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.800000000000000211e-02,1.995856687426567078e-02,4.463999999999999913e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.899999999999999953e-02,1.995847374200820923e-02,4.461999999999999994e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.000000000000000042e-02,1.995838247239589691e-02,4.460000000000000075e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.100000000000000130e-02,1.995829306542873383e-02,4.458000000000000157e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.199999999999999872e-02,1.995820552110671997e-02,4.455999999999999545e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.299999999999999961e-02,1.995811797678470612e-02,4.453999999999999626e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.400000000000000050e-02,1.995803229510784149e-02,4.451999999999999708e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.500000000000000139e-02,1.995794847607612610e-02,4.449999999999999789e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.600000000000000228e-02,1.995786651968955994e-02,4.447999999999999871e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.699999999999999969e-02,1.995778456330299377e-02,4.445999999999999952e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.800000000000000058e-02,1.995770446956157684e-02,4.444000000000000034e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.900000000000000147e-02,1.995762623846530914e-02,4.442000000000000115e-02,4.100000000000000172e-02,6.400000000000000000e+01
2.999999999999999889e-02,1.995754800736904144e-02,4.439999999999999503e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.099999999999999978e-02,1.995747163891792297e-02,4.437999999999999584e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.200000000000000067e-02,1.995739713311195374e-02,4.435999999999999666e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.300000000000000155e-02,1.995732262730598450e-02,4.433999999999999747e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.400000000000000244e-02,1.995724998414516449e-02,4.431999999999999829e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.500000000000000333e-02,1.995717920362949371e-02,4.429999999999999910e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.600000000000000422e-02,1.995710842311382294e-02,4.427999999999999992e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.699999999999999817e-02,1.995703950524330139e-02,4.426000000000000073e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.799999999999999906e-02,1.995697245001792908e-02,4.424000000000000155e-02,4.100000000000000172e-02,6.400000000000000000e+01
3.899999999999999994e-02,1.995690539479255676e-02,4.421999999999999542e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.000000000000000083e-02,1.995684020221233368e-02,4.419999999999999624e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.100000000000000172e-02,1.995677500963211060e-02,4.417999999999999705e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.200000000000000261e-02,1.995671167969703674e-02,4.415999999999999787e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.300000000000000350e-02,1.995665021240711212e-02,4.413999999999999868e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.399999999999999745e-02,1.995658874511718750e-02,4.411999999999999950e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.499999999999999833e-02,1.995652914047241211e-02,4.410000000000000031e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.599999999999999922e-02,1.995646953582763672e-02,4.408000000000000113e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.700000000000000011e-02,1.995641179382801056e-02,4.405999999999999500e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.800000000000000100e-02,1.995635405182838440e-02,4.403999999999999582e-02,4.100000000000000172e-02,6.400000000000000000e+01
4.900000000000000189e-02,1.995629817247390747e-02,4.401999999999999663e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.000000000000000278e-02,1.995624229311943054e-02,4.399999999999999745e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.100000000000000366e-02,1.995618827641010284e-02,4.397999999999999826e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.200000000000000455e-02,1.995613425970077515e-02,4.395999999999999908e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.299999999999999850e-02,1.995608210563659668e-02,4.393999999999999989e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.399999999999999939e-02,1.995602995157241821e-02,4.392000000000000071e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.500000000000000028e-02,1.995597966015338898e-02,4.390000000000000152e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.600000000000000117e-02,1.995592936873435974e-02,4.387999999999999540e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.700000000000000205e-02,1.995587907731533051e-02,4.385999999999999621e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.800000000000000294e-02,1.995583064854145050e-02,4.383999999999999703e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.900000000000000383e-02,1.995578221976757050e-02,4.381999999999999784e-02,4.100000000000000172e-02,6.400000000000000000e+01
5.999999999999999778e-02,1.995573565363883972e-02,4.379999999999999866e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.099999999999999867e-02,1.995568908751010895e-02,4.377999999999999947e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.199999999999999956e-02,1.995564438402652740e-02,4.376000000000000029e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.300000000000000044e-02,1.995559968054294586e-02,4.374000000000000110e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.400000000000000133e-02,1.995555497705936432e-02,4.371999999999999498e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.500000000000000222e-02,1.995551213622093201e-02,4.369999999999999579e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.600000000000000311e-02,1.995546929538249969e-02,4.367999999999999661e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.700000000000000400e-02,1.995542645454406738e-02,4.365999999999999742e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.800000000000000488e-02,1.995538547635078430e-02,4.363999999999999824e-02,4.100000000000000172e-02,6.400000000000000000e+01
6.900000000000000577e-02,1.995534449815750122e-02,4.361999999999999905e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.000000000000000666e-02,1.995530538260936737e-02,4.359999999999999987e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.100000000000000755e-02,1.995526626706123352e-02,4.358000000000000068e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.200000000000000844e-02,1.995522715151309967e-02,4.356000000000000150e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.299999999999999545e-02,1.995518989861011505e-02,4.353999999999999537e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.399999999999999634e-02,1.995515264570713043e-02,4.351999999999999619e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.499999999999999722e-02,1.995511539280414581e-02,4.349999999999999700e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.599999999999999811e-02,1.995508000254631042e-02,4.347999999999999782e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.699999999999999900e-02,1.995504461228847504e-02,4.345999999999999863e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.799999999999999989e-02,1.995500922203063965e-02,4.343999999999999945e-02,4.100000000000000172e-02,6.400000000000000000e+01
7.900000000000000078e-02,1.995497569441795349e-02,4.342000000000000026e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.000000000000000167e-02,1.995494216680526733e-02,4.340000000000000108e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.100000000000000255e-02,1.995490863919258118e-02,4.338000000000000189e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.200000000000000344e-02,1.995487511157989502e-02,4.335999999999999577e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.300000000000000433e-02,1.995484344661235809e-02,4.333999999999999658e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.400000000000000522e-02,1.995481178164482117e-02,4.331999999999999740e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.500000000000000611e-02,1.995478011667728424e-02,4.329999999999999821e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.600000000000000699e-02,1.995475031435489655e-02,4.327999999999999903e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.700000000000000788e-02,1.995472051203250885e-02,4.325999999999999984e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.799999999999999489e-02,1.995469070971012115e-02,4.324000000000000066e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.899999999999999578e-02,1.995466090738773346e-02,4.322000000000000147e-02,4.100000000000000172e-02,6.400000000000000000e+01
8.999999999999999667e-02,1.995463296771049500e-02,4.319999999999999535e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.099999999999999756e-02,1.995460502803325653e-02,4.317999999999999616e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.199999999999999845e-02,1.995457708835601807e-02,4.315999999999999698e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.299999999999999933e-02,1.995454914867877960e-02,4.313999999999999779e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.400000000000000022e-02,1.995452307164669037e-02,4.311999999999999861e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.500000000000000111e-02,1.995449699461460114e-02,4.309999999999999942e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.600000000000000200e-02,1.995447091758251190e-02,4.308000000000000024e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.700000000000000289e-02,1.995444484055042267e-02,4.306000000000000105e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.800000000000000377e-02,1.995441876351833344e-02,4.303999999999999493e-02,4.100000000000000172e-02,6.400000000000000000e+01
9.900000000000000466e-02,1.995439454913139343e-02,4.301999999999999574e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.000000000000000056e-01,1.995437033474445343e-02,4.299999999999999656e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.010000000000000064e-01,1.995434612035751343e-02,4.297999999999999737e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.020000000000000073e-01,1.995432190597057343e-02,4.295999999999999819e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.030000000000000082e-01,1.995429955422878265e-02,4.293999999999999900e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.040000000000000091e-01,1.995427720248699188e-02,4.291999999999999982e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.049999999999999961e-01,1.995425485074520111e-02,4.290000000000000063e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.059999999999999970e-01,1.995423249900341034e-02,4.288000000000000145e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.069999999999999979e-01,1.995421014726161957e-02,4.285999999999999532e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.079999999999999988e-01,1.995418965816497803e-02,4.283999999999999614e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.089999999999999997e-01,1.995416916906833649e-02,4.281999999999999695e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.100000000000000006e-01,1.995414867997169495e-02,4.279999999999999777e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.110000000000000014e-01,1.995412819087505341e-02,4.277999999999999858e-02,4.100000000000000172e-02,6.400000000000000000e+01
1.120000000000000023e-01,1.995410770177841187e-02,4.275999999999999940e-02,4.100000000000000172e-02,6.400000000000000000e+01
