engine,dt_ms,v0_m_s,mu,mass_kg,k_pair_nominal_N_m,solver,integrator,cone,margin_mm,gap_mm,a_gt_m_s2,a_mean_m_s2,a_relative_error,t_stop_gt_s,t_near_stop_s,t_stop_relative_error,x_stop_gt_m,x_at_gt_stop_m,x_stop_relative_error,v_at_gt_stop_m_s,velocity_rmse_m_s,position_rmse_mm,mean_Fn_N_while_moving,mean_Ft_x_N_while_moving,mean_abs_friction_ratio,wall_s,normal_gate_Fn_mean_N,normal_gate_Fn_cv,normal_gate_Fn_relative_error,normal_gate_contact_points_mean,normal_gate_contact_duty,normal_gate_vz_rms_mm_s,normal_gate_pass
mujoco,0.1,0.25,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.390827767002353,0.10482614332265998,0.0509683995922528,0.0854,0.6755480000000001,0.0063710499490316,0.006465027938035097,0.014750785153988824,0.026344235309606008,0.00998370190310568,0.074756509963913,11.234615265165782,-5.038397023457211,0.8817722284358772,0.2979094589827582,9.810000108668474,2.520713675232115e-08,1.1077316343619618e-08,4.0,1.0,1.0916410934027861e-05,True
mujoco,0.1,0.5,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.635008335156944,0.055044172241193935,0.1019367991845056,0.127,0.2458700000000001,0.0254841997961264,0.02552902865134857,0.0017590842789179937,0.027862470499434553,0.012827310439783964,0.12301459412257669,13.755393272237079,-6.527085037391354,0.9300992185348131,0.265006582980277,9.810000108668474,2.520713675232115e-08,1.1077316343619618e-08,4.0,1.0,1.0916410934027861e-05,True
mujoco,0.1,1.0,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.874533599602433,0.0062112946784031,0.2038735983690112,0.2185,0.07174250000000007,0.1019367991845056,0.10193593177848967,8.509253016281416e-06,0.02716684970539392,0.01688767992436621,0.18006742860919048,19.120458756421314,-9.517304063335043,0.9913265245586333,0.24880341600510292,9.810000108668474,2.520713675232115e-08,1.1077316343619618e-08,4.0,1.0,1.0916410934027861e-05,True
mujoco,0.25,0.25,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.398963408691636,0.10316750077642486,0.0509683995922528,0.08525,0.6726050000000002,0.0063710499490316,0.006463553770875894,0.014519399876680366,0.026341651646786996,0.010198934110573264,0.07828084767338608,11.315214162340446,-5.085557499058397,0.8837165354931223,0.08740962500451133,9.81000009769791,2.257441607024898e-08,9.959012253446168e-09,4.0,1.0,9.828301008845011e-06,True
mujoco,0.25,0.5,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.64464590879336,0.053079325424391435,0.1019367991845056,0.12675,0.2434175000000001,0.0254841997961264,0.025508675521755304,0.0009604274736781806,0.027353439781317202,0.012655818867765319,0.13791039749888478,13.836081871149792,-6.572473428029933,0.9309738330986708,0.09701095800846815,9.81000009769791,2.257441607024898e-08,9.959012253446168e-09,4.0,1.0,9.828301008845011e-06,True
mujoco,0.25,1.0,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.887797242883944,0.0035071879951184977,0.2038735983690112,0.21825,0.07051625000000007,0.1019367991845056,0.10186241576944688,0.0007297013017260513,0.026807763703200514,0.017483615177935338,0.2165699262092722,19.2402532440136,-9.584570212855892,0.9927240124679146,0.10098887499771081,9.81000009769791,2.257441607024898e-08,9.959012253446168e-09,4.0,1.0,9.828301008845011e-06,True
mujoco,0.5,0.25,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.422335662049602,0.09840251538234415,0.0509683995922528,0.085,0.6677000000000002,0.0063710499490316,0.006406980609701633,0.005639676498768447,0.025839236547722137,0.009667912369760555,0.09344319090987328,11.281469847544761,-5.0992690803771135,0.8889642732189709,0.04252437499235384,9.810000076246732,1.7508576038450537e-08,7.77234776708663e-09,4.0,1.0,7.687104128819494e-06,True
mujoco,0.5,0.5,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.665188869815435,0.04889115803966664,0.1019367991845056,0.126,0.2360600000000001,0.0254841997961264,0.025421320769732827,0.002467372995683811,0.026374290603789177,0.012637157716693468,0.17249532429286277,13.844643617218226,-6.594107862705354,0.933232607738074,0.04674212500685826,9.810000076246732,1.7508576038450537e-08,7.77234776708663e-09,4.0,1.0,7.687104128819494e-06,True
mujoco,0.5,1.0,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.897606066475304,0.0015074278337810793,0.2038735983690112,0.218,0.06929000000000006,0.1019367991845056,0.10172122255346004,0.0021148067505569255,0.025935209803129397,0.015237997661605532,0.274124095492425,19.334185301983016,-9.63391302178383,0.993145094411456,0.049621041980572045,9.810000076246732,1.7508576038450537e-08,7.77234776708663e-09,4.0,1.0,7.687104128819494e-06,True
mujoco,1.0,0.25,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.454416354795936,0.09186210911397846,0.0509683995922528,0.084,0.6480800000000002,0.0063710499490316,0.006374529943897221,0.0005462199941078905,0.025558225422194276,0.009979868468966218,0.1118340940908169,11.468126831509151,-5.2251975820768175,0.8963824386176493,0.023891249991720542,9.810000020871236,4.737431189785397e-09,2.12754693237681e-09,4.0,1.0,2.1121700743356537e-06,True
mujoco,1.0,0.5,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.667606049727348,0.04839835887311978,0.1019367991845056,0.127,0.2458700000000001,0.0254841997961264,0.02534575182919583,0.0054326982223555755,0.02824826841639377,0.013257842353261825,0.23354673349712446,14.15558684153454,-6.766759190996802,0.9400884649016004,0.02462158299749717,9.810000020871236,4.737431189785397e-09,2.12754693237681e-09,4.0,1.0,2.1121700743356537e-06,True
mujoco,1.0,1.0,0.5,1.0,10000.0,Newton,implicitfast,elliptic,0.0,0.0,-4.905,-4.90933936422045,0.0008846817982569041,0.2038735983690112,0.218,0.06929000000000006,0.1019367991845056,0.10153443998881728,0.003947143709702397,0.02625113308916812,0.02125194597046282,0.41959840581895674,19.732042335819525,-9.839779240186264,0.9947560273248204,0.027381416002754122,9.810000020871236,4.737431189785397e-09,2.12754693237681e-09,4.0,1.0,2.1121700743356537e-06,True
