engine,device,contact_preset,dt_ms,v0_m_s,mu,mass_kg,k_pair_N_m,ke_shape_N_m,tau_pair_ms,tau_shape_ms,rigid_gap_mm,a_gt_m_s2,a_mean_m_s2,a_relative_error,t_stop_gt_s,t_near_stop_s,t_stop_relative_error,x_stop_gt_m,x_at_gt_stop_m,x_stop_relative_error,v_at_gt_stop_m_s,velocity_rmse_m_s,position_rmse_mm,mean_Fn_N_while_moving,mean_Ft_x_N_while_moving,mean_abs_friction_ratio,wall_s,normal_gate_Fn_mean_N,normal_gate_Fn_cv,normal_gate_Fn_relative_error,normal_gate_contact_points_mean,normal_gate_contact_duty,normal_gate_vz_rms_mm_s,normal_gate_pass
sap_warp,cpu,drake,0.1,0.25,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.808591114300669,0.019655226442269323,0.0509683995922528,0.051500000000000004,0.010430000000000147,0.0063710499490316,0.006347127258777618,0.003754905462264949,0.0046041435562074184,0.009635141233568996,0.09346887754421823,11.535547161796634,-5.755868217400663,0.9975728155339806,45.52509666699916,9.80999866420654,3.6433751563016426e-06,1.3616650966815298e-07,4.0,1.0,8.833174632608602e-05,True
sap_warp,cpu,drake,0.1,0.5,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.867758375263041,0.007592584044232194,0.1019367991845056,0.1018,0.001341999999999919,0.0254841997961264,0.025445803999900818,0.0015066510438918412,0.004256070591509342,0.015160631750347505,0.1518945245546074,15.609257359687264,-7.7965744852685726,0.9983579652107512,48.58485416698386,9.80999866420654,3.6433751563016426e-06,1.3616650966815298e-07,4.0,1.0,8.833174632608602e-05,True
sap_warp,cpu,drake,0.1,1.0,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.889866239549202,0.0030853741999588074,0.2038735983690112,0.2026,0.006246999999999924,0.1019367991845056,0.10187388211488724,0.0006172164529561342,0.0035242971498519182,0.022295360321130532,0.2539048358661393,23.603450309494914,-11.795632011584281,0.998757768016634,53.5955490830238,9.80999866420654,3.6433751563016426e-06,1.3616650966815298e-07,4.0,1.0,8.833174632608602e-05,True
sap_warp,cpu,drake,0.25,0.25,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.818207832362184,0.017694631526568094,0.0509683995922528,0.051500000000000004,0.010430000000000147,0.0063710499490316,0.006327090319246054,0.006899903491139347,0.004803756717592478,0.009808582679912255,0.10459552587006628,11.573605741438975,-5.757075521517034,0.9939393939393939,17.534851375006838,9.809995963612009,3.7047576666895243e-06,4.114564721555467e-07,4.0,1.0,3.6744568895378274e-05,True
sap_warp,cpu,drake,0.25,0.5,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.8773260216931895,0.0056419935385954596,0.1019367991845056,0.10200000000000001,0.0006200000000001375,0.0254841997961264,0.025408398360013962,0.002974448353052074,0.003909195773303509,0.015338381776277653,0.16866908525364335,15.80145942413131,-7.8803769626116935,0.995850622406639,18.801708000013605,9.809995963612009,3.7047576666895243e-06,4.114564721555467e-07,4.0,1.0,3.6744568895378274e-05,True
sap_warp,cpu,drake,0.25,1.0,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.899993137156395,0.0010207671444659118,0.2038735983690112,0.20275,0.005511249999999869,0.1019367991845056,0.10179850459098816,0.001356669962406093,0.004578395746648312,0.022861844082359518,0.2860571586114497,24.213192781539515,-12.090975350206628,0.9968152892144829,21.279210708016763,9.809995963612009,3.7047576666895243e-06,4.114564721555467e-07,4.0,1.0,3.6744568895378274e-05,True
sap_warp,cpu,drake,0.5,0.25,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.832698125392198,0.014740443345117751,0.0509683995922528,0.052000000000000005,0.020240000000000157,0.0063710499490316,0.006294233724474907,0.012057074606418545,0.005147330928593874,0.010079949288806636,0.12193281796645442,11.68699383767368,-5.783679690516833,0.9878048780487805,8.793307708983775,9.80999498744593,3.6429283862688476e-06,5.109637177748012e-07,4.0,1.0,2.4823840204332682e-05,True
sap_warp,cpu,drake,0.5,0.5,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.8950067436208515,0.002037361137441125,0.1019367991845056,0.10200000000000001,0.0006200000000001375,0.0254841997961264,0.02534562349319458,0.005437734127044612,0.004044541157782078,0.016042245392758007,0.20591613754027094,15.988794616773518,-7.953178823884024,0.9915966454903153,9.269926375010982,9.80999498744593,3.6429283862688476e-06,5.109637177748012e-07,4.0,1.0,2.4823840204332682e-05,True
sap_warp,cpu,drake,0.5,1.0,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.924192776282625,0.003912900363430207,0.2038735983690112,0.203,0.004284999999999867,0.1019367991845056,0.10167020559310913,0.002615283131599361,0.00397864356637001,0.023568449389190817,0.3490043980138678,25.563002488470232,-12.748581776829184,0.9932885960627351,10.23081175002153,9.80999498744593,3.6429283862688476e-06,5.109637177748012e-07,4.0,1.0,2.4823840204332682e-05,True
sap_warp,cpu,drake,1.0,0.25,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.853988774120807,0.010399842177205604,0.0509683995922528,0.052000000000000005,0.020240000000000157,0.0063710499490316,0.006226078141480684,0.022754774913191732,0.006176033057272434,0.01121059010754521,0.16052917774586184,11.926055684367777,-5.840402541509183,0.975,4.375174582994077,9.809995720962855,3.474563162585181e-06,4.3619135024963354e-07,4.0,1.0,3.7172635926324894e-05,True
sap_warp,cpu,drake,1.0,0.5,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.9310950468284895,0.005320091096531965,0.1019367991845056,0.10300000000000001,0.010430000000000147,0.0254841997961264,0.02521546557545662,0.010545130819082196,0.0050309794023633,0.01459354037536869,0.26659837470975567,16.547830647003813,-8.1893461506228,0.9827586206896551,4.695064625004306,9.809995720962855,3.474563162585181e-06,4.3619135024963354e-07,4.0,1.0,3.7172635926324894e-05,True
sap_warp,cpu,drake,1.0,1.0,0.5,1.0,10000.0,20000.0,3.0,1.5,0.0,-4.905,-4.960370732423588,0.01128863046352446,0.2038735983690112,0.203,0.004284999999999867,0.1019367991845056,0.10141830891370773,0.005086389556527073,0.0048032826744019985,0.023027778880016888,0.47358167813244845,27.1643849791674,-13.512121090872526,0.9857143089527857,5.098456709005404,9.809995720962855,3.474563162585181e-06,4.3619135024963354e-07,4.0,1.0,3.7172635926324894e-05,True
