tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
m0.1_mu0.1,True,success,3.0,0.75,0.1943970496490183,0.573286156727961,0.08234674959075926,0.22406461339541892,0.0906053383900135,0.5648780487804878,0.8905923329875804
m0.1_mu0.15,True,success,3.0,0.75,0.19998448220427723,0.43354534727907035,0.05177265581972166,0.18758935143965363,0.07777390011507576,0.5651219512195121,1.0107185840024613
m0.1_mu0.2,True,success,3.0,0.75,0.19727136613205531,0.46945521870555984,0.035671720316511266,0.22585056649969784,0.0774131152311956,0.5653658536585365,0.9630679169786163
m0.1_mu0.25,True,success,3.0,0.75,0.19609445980069115,0.3116928146145072,0.039345069088507864,0.22921484440781847,0.07794462216295611,0.5653658536585365,0.9218747090199031
m0.1_mu0.3,True,success,3.0,0.75,0.1949384331592005,0.3930266733976757,0.044509371419496374,0.22248875942031757,0.078994735773562,0.5656097560975609,0.9145581250195391
m0.2_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954343,1.5054159352566119,3.4492207141643583,0.979281317805671,0.07588927400373736,0.19841463414634147,0.8188901669927873
m0.2_mu0.15,False,transfer_slip,3.0,0.75,0.01999861663995437,1.8523963968118415,3.2605336579782054,1.3878466876613977,0.08572883735423951,0.4852439024390244,0.9624446670059115
m0.2_mu0.2,True,success,3.0,0.75,0.18974080461354512,0.5897602220671584,0.09265745440684418,0.15781209760384254,0.1018888970501421,0.5651219512195121,0.9039031660067849
m0.2_mu0.25,True,success,3.0,0.75,0.19270861237781375,0.5634229696781684,0.10255617512724398,0.21426366087074802,0.09865383265669393,0.5651219512195121,0.8999659170513041
m0.2_mu0.3,True,success,3.0,0.75,0.19148925771490174,0.580105862629591,0.09874289220697045,0.19136644731988703,0.08708912336834523,0.5651219512195121,0.8789874590002
m0.3_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954354,1.3636887985978344e-11,0.0,0.44642909476630177,0.07577216866059085,0.10170731707317072,0.7697618749807589
m0.3_mu0.15,False,normal_contact_instability,3.0,0.75,0.01999861663995438,1.8258281165432932,3.456282134771694,2.0119366971433994,0.0923969305078961,0.24707317073170731,0.8139494169736281
m0.3_mu0.2,False,normal_contact_instability,3.0,0.75,0.019998616639954354,1.9555366992437926,5.24961247182032,2.2137428829435364,0.07748498144799036,0.31365853658536585,0.862428332970012
m0.3_mu0.25,False,transfer_slip,3.0,0.75,0.019998616639954357,1.5913910761217172,5.292848685530351,1.8396758425537367,0.08503111813764246,0.37853658536585366,0.8702646659803577
m0.3_mu0.3,False,transfer_slip,3.0,0.75,0.01999861663995437,1.9237672169583548,4.905278175549731,3.1784216272621513,0.08281406179740824,0.47280487804878046,0.8705189999891445
m0.4_mu0.1,False,normal_contact_instability,3.0,0.75,0.01999861663995435,9.965643193302098e-12,0.0,0.3066439667490464,0.07578577412174861,0.09890243902439025,0.770064958021976
m0.4_mu0.15,False,normal_contact_instability,3.0,0.75,0.019998616639954333,1.0402417981187894e-11,0.0,0.6605292768942916,0.07573761134541152,0.1075609756097561,0.7756807499681599
m0.4_mu0.2,False,normal_contact_instability,3.0,0.75,0.01999861663995438,1.1321162328206895,3.418288179334825,1.8113440070437579,0.0761634411381484,0.17170731707317075,0.7897571250214241
m0.4_mu0.25,False,normal_contact_instability,3.0,0.75,0.01999861663995434,1.8722092460448299,5.1847382982546435,1.94040917535204,0.10230882768426017,0.2596341463414634,0.9601782499812543
m0.4_mu0.3,False,normal_contact_instability,3.0,0.75,0.019998616639954354,1.8052384725596842,5.343246720522279,1.3760712337750127,0.07994773531967096,0.28341463414634144,0.8243908750009723
m0.5_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954336,1.696574175108458e-11,0.0,0.3461062751192341,0.07578959633497515,0.10121951219512196,0.7610242909868248
m0.5_mu0.15,False,normal_contact_instability,3.0,0.75,0.019998616639954357,2.0341031065027668e-11,0.0,0.5143673644970406,0.0757747924706328,0.09939024390243903,0.7869606250314973
m0.5_mu0.2,False,normal_contact_instability,3.0,0.75,0.019998616639954336,1.241825521186349e-11,0.0,0.6469462624272784,0.07568764834329411,0.11170731707317073,0.7579609159729443
m0.5_mu0.25,False,normal_contact_instability,3.0,0.75,0.019998616639954378,1.7940141085631036,4.730110338578762,1.533385230551085,0.12321255432381567,0.25439024390243903,0.7948598330258392
m0.5_mu0.3,False,normal_contact_instability,3.0,0.75,0.019998616639954395,1.3607420286675247,1.2774730046799763,1.3661748494952992,0.07692662301496166,0.21060975609756097,0.7827986660413444
m0.6_mu0.1,False,normal_contact_instability,3.0,0.75,0.01999861663995436,1.473611968808368e-11,0.0,0.23339808816124363,0.07579215798898706,0.09878048780487805,0.7583670410094783
m0.6_mu0.15,False,normal_contact_instability,3.0,0.75,0.01999861663995436,2.6221252854341776e-11,0.0,0.4628509620045294,0.07578258177102253,0.10121951219512196,0.7603933329810388
m0.6_mu0.2,False,normal_contact_instability,3.0,0.75,0.01999861663995434,1.465339310534365e-11,0.0,0.3516451524701094,0.07572624881777558,0.10207317073170731,0.752663416962605
m0.6_mu0.25,False,normal_contact_instability,3.0,0.75,0.019998616639954357,1.8835486589296618e-11,0.0,0.6891482750267773,0.07563967231116245,0.1171951219512195,0.7821502090082504
m0.6_mu0.3,False,normal_contact_instability,3.0,0.75,0.01999861663995438,0.5721468372967317,2.9004384023293666,0.9584692062707808,0.07604841796592901,0.14268292682926828,0.8028217080282047
