tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
nominal,True,success,3.0,0.75,0.21326373952168468,0.3540029269648457,0.039244785251585826,0.3826494321838825,0.30037024337620877,0.5654878048780487,0.8182680000318214
mu_0.2,True,success,3.0,0.75,0.19727136613205531,0.46945521870555984,0.035671720316511266,0.22585056649969784,0.0774131152311956,0.5653658536585365,0.8554469590308145
mu_0.6,True,success,3.0,0.75,0.1938521684605583,0.574446926301318,0.05337942133189465,0.29714156332946634,0.09510268991896445,0.5647560975609756,0.8423439580365084
mu_1,False,normal_contact_instability,3.0,0.75,0.01999861663995433,0.18706452685594702,0.36751509410088024,1.6828125588527831,0.07857097923917877,0.11073170731707317,0.71738304203609
mass_0.05kg,True,success,3.0,0.75,0.19896890043437054,0.4119431391128236,0.04413924222804208,0.30771393593555646,0.14977212745727184,0.5656097560975609,0.8167912500211969
mass_0.2kg,True,success,3.0,0.75,0.19693113201969537,0.5898275054493318,0.140181152248966,0.2820398589235766,0.16261391367975944,0.5641463414634146,0.8474173330469057
mass_0.5kg,False,normal_contact_instability,3.0,0.75,0.01999861663995438,1.7296534499755275e-11,0.0,0.23386604212625353,0.07582520638347286,0.08621951219512194,0.720079833001364
offset_x_plus_5mm,True,success,3.0,0.75,0.19468196000694307,0.5746057233208298,0.12077773139544726,0.34183124970242396,0.15395434754129528,0.5647560975609756,0.9001564159989357
offset_y_plus_5mm,True,success,3.0,0.75,0.21110047615228325,0.37076131955200353,0.03849413142978226,0.28043748179911887,0.30344107226874234,0.5648780487804878,0.8184315419639461
offset_z_plus_5mm,True,success,3.0,0.75,0.21326373954976932,0.3540029274672766,0.039244785251585826,0.38264942306117894,0.30037024333089996,0.5654878048780487,0.8162135000457056
transfer_slow,True,success,3.0,0.75,0.21287930034582614,0.22336377098848278,0.021832168052001374,0.3826494321838825,0.2956041272701425,0.6209574468085106,1.019839333021082
transfer_fast,True,success,3.0,0.75,0.2134143994355005,0.6207783726174744,0.07229551383196428,0.3826494321838825,0.3070503740840537,0.5311842105263158,0.7262495830073021
