tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
offset_x_-5mm,True,success,3.0,0.75,0.21079390990783406,1.739378305508184,1.5045117891954676,0.35510341676182855,0.3033459575287967,0.5636585365853658,0.8216628750087693
offset_x_-2.5mm,True,success,3.0,0.75,0.2130119033167556,1.661351737070938,0.8363721873472761,0.32411889295241003,0.2978328544613287,0.5656097560975609,0.8144939579651691
offset_x_+2.5mm,True,success,3.0,0.75,0.21319221795849405,2.133048683550761,4.03664185448445,0.4374553326010112,0.300028802310897,0.564390243902439,0.8258962919935584
offset_x_+5mm,False,static_slip,3.0,0.75,0.19468196000694307,14.298193019702136,8.321671627407374,0.34183124970242396,0.15395434754129528,0.5647560975609756,0.8926454579923302
offset_y_-5mm,True,success,3.0,0.75,0.21161364484165562,2.211170200444879,4.292424949439544,0.41707209708721604,0.3006689463229228,0.5665853658536585,0.8172167500015348
offset_y_-2.5mm,True,success,3.0,0.75,0.21151610105314408,1.771174457032478,2.489495832190689,0.3814541727837795,0.3025204989393581,0.5636585365853658,0.8101598329958506
offset_y_+2.5mm,True,success,3.0,0.75,0.2120559504255954,1.8739751286583115,3.08258928926057,0.34057905632226865,0.300966423600664,0.5642682926829268,0.8132295410032384
offset_y_+5mm,True,success,3.0,0.75,0.21110047615228325,1.678123428622246,1.8413514632848593,0.28043748179911887,0.30344107226874234,0.5648780487804878,0.8099088330054656
offset_z_-5mm,True,success,3.0,0.75,0.21326373798215512,1.664616922386582,1.820077877066243,4.999999999999999,0.30037024580367094,0.5654878048780487,0.8157614999799989
offset_z_-2.5mm,True,success,3.0,0.75,0.21326373946696278,1.664616815541584,1.8200770322322206,2.4999999999999987,0.3003702434815716,0.5654878048780487,0.8149497080012225
offset_z_+2.5mm,True,success,3.0,0.75,0.21326373954954278,1.6646168513303323,1.8200773145039963,0.38264942308228705,0.3003702433312085,0.5654878048780487,0.8411500829970464
offset_z_+5mm,True,success,3.0,0.75,0.21326373954976932,1.664616851390216,1.820077314992681,0.38264942306117894,0.30037024333089996,0.5654878048780487,0.8169559169909917
yaw_-30deg,True,success,3.0,0.75,0.21130739124300682,1.6732705753209962,1.8986656385360923,0.33287280175722267,0.3026332804126408,0.5710975609756097,0.8102384579833597
yaw_-20deg,True,success,3.0,0.75,0.21125931815905266,1.625004967831031,1.4884382853980225,0.26362155960044265,0.30055577856743515,0.5668292682926829,0.8109234999865294
yaw_-10deg,True,success,3.0,0.75,0.21363121940911492,1.6270804198860416,1.5732618457976133,0.23721086650229575,0.29987108540167,0.5645121951219512,0.8145135840168223
yaw_+10deg,False,static_slip,3.0,0.75,0.20290430648695792,14.153505445737663,3.381828602247237,0.9484576459747143,0.13122235339694138,0.5657317073170731,0.8831777910236269
yaw_+20deg,False,static_slip,3.0,0.75,0.19758338426451433,11.9014675574758,7.102559234029272,1.328911615351257,0.14384772518316316,0.5689024390243902,0.8935514579643495
yaw_+30deg,False,normal_contact_instability,3.0,0.75,0.019998616639954402,295.6021015194177,38.14562923115341,1.182648185834127,0.07584686535197224,0.05146341463414634,0.717927583027631
eccentric_x5_y5_yaw20,False,rotation_or_torque_failure,3.0,0.75,0.20982020758411504,6.882360747509796,16.703818631831034,0.8804695866872608,0.304643612675828,0.5671951219512195,0.8158377499785274
