tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
nominal,True,success,3.0,0.75,0.17013687526008456,0.32386050966245905,0.030073809358119093,0.7273974174126039,0.8673813890103034,0.5640243902439024,0.8147964579984546
mu_0.2,True,success,3.0,0.75,0.16813006421878454,0.3614743483212863,0.08232252302499263,0.7444258506157764,0.8751165838576568,0.5642682926829268,0.8951135000097565
mu_0.6,True,success,3.0,0.75,0.16925918992485942,0.32310062095728637,0.03223905481278939,0.7405753704612756,0.8696740723456181,0.564390243902439,0.8171534999855794
mu_1,False,normal_contact_instability,3.0,0.75,0.01999861663995428,2.8645532407872684e-13,0.0,2.289884718840137,0.07753184278577921,0.09304878048780488,0.7100144159630872
mass_0.05kg,True,success,3.0,0.75,0.19329053225225584,0.35193308723922406,0.026089199090267485,0.9144881132253201,0.7671824593469247,0.562439024390244,0.8137055420083925
mass_0.2kg,True,success,3.0,0.75,0.15761296720536322,0.4275765345213194,0.08687243422330018,0.6453557842938727,0.8898023473796468,0.563170731707317,0.8213136660051532
mass_0.5kg,False,normal_contact_instability,3.0,0.75,0.019998616639954347,1.319835260969856e-11,0.0,1.8473508226001065,0.0788845242203331,0.10109756097560976,0.7093067499808967
offset_x_plus_5mm,True,success,3.0,0.75,0.16764604826367036,0.32519382513466644,0.06792996861788879,0.7433906006631427,0.8920321650947222,0.564390243902439,0.816807167022489
offset_y_plus_5mm,True,success,3.0,0.75,0.1706008907563327,0.29756403710105855,0.033515056509569444,0.7239579637051399,0.8619884191733226,0.563170731707317,0.819576041016262
offset_z_plus_5mm,True,success,3.0,0.75,0.1701368753510821,0.32386050941248656,0.03007380955202322,0.7273974172506005,0.8673813885765096,0.5640243902439024,0.8145978749962524
transfer_slow,True,success,3.0,0.75,0.16963587664586172,0.22779135771632913,0.025998411063278035,0.7273974174126039,0.8883241393896034,0.6196808510638298,1.0127359160105698
transfer_fast,True,success,3.0,0.75,0.17030156293327295,0.5191772329042852,0.04881747851063811,0.7273974174126039,0.8514132440431353,0.5296052631578947,0.7219860829645768
