tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
offset_x_-5mm,True,success,3.0,0.75,0.21079390990783406,0.42245867656369784,0.03305493675020388,0.35510341676182855,0.3033459575287967,0.5636585365853658,0.8455467919702642
offset_x_-2.5mm,True,success,3.0,0.75,0.2130119033167556,0.5749190374887716,0.035535023624300555,0.32411889295241003,0.2978328544613287,0.5656097560975609,0.8536992500303313
offset_x_+2.5mm,True,success,3.0,0.75,0.21319221795849405,0.36537106617397813,0.03891380442129743,0.4374553326010112,0.300028802310897,0.564390243902439,0.8421932079945691
offset_x_+5mm,True,success,3.0,0.75,0.19468196000694307,0.5746057233208298,0.12077773139544726,0.34183124970242396,0.15395434754129528,0.5647560975609756,0.9191151250270195
offset_y_-5mm,True,success,3.0,0.75,0.21161364484165562,0.5044630118520632,0.032655277880852714,0.41707209708721604,0.3006689463229228,0.5665853658536585,0.8203758749878034
offset_y_-2.5mm,True,success,3.0,0.75,0.21151610105314408,0.40837150979991543,0.03611788877763441,0.3814541727837795,0.3025204989393581,0.5636585365853658,0.8213709160336293
offset_y_+2.5mm,True,success,3.0,0.75,0.2120559504255954,0.457569352287264,0.0324853411698179,0.34057905632226865,0.300966423600664,0.5642682926829268,0.8206448340206407
offset_y_+5mm,True,success,3.0,0.75,0.21110047615228325,0.37076131955200353,0.03849413142978226,0.28043748179911887,0.30344107226874234,0.5648780487804878,0.8173841250245459
offset_z_-5mm,True,success,3.0,0.75,0.21326373798215512,0.3540029042906692,0.03924478493582918,4.999999999999999,0.30037024580367094,0.5654878048780487,0.8222233339911327
offset_z_-2.5mm,True,success,3.0,0.75,0.21326373946696278,0.3540029265345611,0.039244785251585826,2.4999999999999987,0.3003702434815716,0.5654878048780487,0.8308008330059238
offset_z_+2.5mm,True,success,3.0,0.75,0.21326373954954278,0.35400292745920225,0.039244785251585826,0.38264942308228705,0.3003702433312085,0.5654878048780487,0.8763349159853533
offset_z_+5mm,True,success,3.0,0.75,0.21326373954976932,0.3540029274672766,0.039244785251585826,0.38264942306117894,0.30037024333089996,0.5654878048780487,0.824443457997404
yaw_-30deg,True,success,3.0,0.75,0.21130739124300682,0.4322133451685577,0.03337046964297589,0.33287280175722267,0.3026332804126408,0.5710975609756097,0.8223599170451052
yaw_-20deg,True,success,3.0,0.75,0.21125931815905266,0.5891844292716304,0.036026203035232074,0.26362155960044265,0.30055577856743515,0.5668292682926829,0.8417199159739539
yaw_-10deg,True,success,3.0,0.75,0.21363121940911492,0.354932388374523,0.038177348093563726,0.23721086650229575,0.29987108540167,0.5645121951219512,0.8415578750427812
yaw_+10deg,True,success,3.0,0.75,0.20290430648695792,0.7647126706970927,0.12100822467671098,0.9484576459747143,0.13122235339694138,0.5657317073170731,0.905124666984193
yaw_+20deg,True,success,3.0,0.75,0.19758338426451433,0.6889710297135173,0.10217782208278871,1.328911615351257,0.14384772518316316,0.5689024390243902,0.8941715830005705
yaw_+30deg,False,normal_contact_instability,3.0,0.75,0.019998616639954402,2.9837243786801097e-13,0.0,1.182648185834127,0.07584686535197224,0.05146341463414634,0.7228517499752343
eccentric_x5_y5_yaw20,True,success,3.0,0.75,0.20982020758411504,0.33505446798333083,0.03773391106276555,0.8804695866872608,0.304643612675828,0.5671951219512195,0.8256479999981821
