solref_timeconst_s,solref_dampratio,stable,final_cube_z_m,peak_cube_z_m,lifted_above_0_10_m,stable_grasp_at_6_s,max_penetration_m,max_arm_tracking_error_rad,max_contacts
0.008,1.0,True,0.09029352849416106,0.14736840088460154,True,False,0.007021256384524014,1.3695709328287575,17
0.008,1.25,True,0.10617416670400381,0.10617416670400381,True,True,0.003170053988709959,1.70952517688036,14
0.008,1.5,True,0.019979360395610164,0.03418488354724591,False,False,0.01024757012575328,0.36795635769746043,9
0.006,1.0,True,0.03140225853123611,0.10357871011122036,True,False,0.0012886313047547116,2.4059998591347234,12
0.006,1.25,True,0.02160048893523544,0.06155393892756439,False,False,0.001681216967531814,1.4308986818112488,12
0.006,1.5,True,0.06579298941778765,0.16051473054868717,True,False,0.0028713470242020716,1.0038939570813723,20
0.005,1.0,True,0.09377274356812808,0.12574724901787698,True,False,0.0013417615240000308,1.4302709801015159,12
0.005,1.25,True,0.15541324566978074,0.15581285379875362,True,True,0.0033417760393247907,2.790210231296318,13
0.005,1.5,True,0.13439797723796887,0.13439797723796887,True,True,0.0017003712012705094,1.197436624501346,12
0.004,1.0,True,0.11501328859640854,0.11540281664286682,True,True,0.0012129265788328996,0.9761657271392874,12
0.004,1.25,True,0.07796175676697141,0.20006340752166715,True,False,0.0009527265043977084,1.3751109725812625,12
0.004,1.5,True,0.019992423276837413,0.1309949125402579,True,False,0.010879261713628371,1.4315347839792991,12
0.004,2.0,True,0.09977269295381738,0.09977269295381738,False,False,0.0019164984648580153,1.242897872938241,12
