time_s,cube_z_m,contacts
1.000000000000000021e-03,1.999985904678465085e-02,4.000000000000000000e+00
2.000000000000000042e-03,1.999963809932655406e-02,4.000000000000000000e+00
3.000000000000000062e-03,1.999937421627115755e-02,4.000000000000000000e+00
4.000000000000000083e-03,1.999908982709370370e-02,4.000000000000000000e+00
5.000000000000000104e-03,1.999879841132232161e-02,4.000000000000000000e+00
6.000000000000000125e-03,1.999850797725333251e-02,4.000000000000000000e+00
7.000000000000000146e-03,1.999822319259086587e-02,4.000000000000000000e+00
8.000000000000000167e-03,1.999794668923676744e-02,4.000000000000000000e+00
9.000000000000001055e-03,1.999767986216182195e-02,4.000000000000000000e+00
1.000000000000000194e-02,1.999742335835704918e-02,4.000000000000000000e+00
1.100000000000000283e-02,1.999717737593905906e-02,4.000000000000000000e+00
1.200000000000000372e-02,1.999694184696963403e-02,4.000000000000000000e+00
1.300000000000000461e-02,1.999671654905393892e-02,4.000000000000000000e+00
1.400000000000000550e-02,1.999650117332435126e-02,4.000000000000000000e+00
1.500000000000000638e-02,1.999629536572208877e-02,4.000000000000000000e+00
1.600000000000000727e-02,1.999609875193670769e-02,4.000000000000000000e+00
1.700000000000000816e-02,1.999591095234971860e-02,4.000000000000000000e+00
1.800000000000000905e-02,1.999573159086950186e-02,4.000000000000000000e+00
1.900000000000000994e-02,1.999556030003822593e-02,4.000000000000000000e+00
2.000000000000001082e-02,1.999539672386866501e-02,4.000000000000000000e+00
2.100000000000001171e-02,1.999524051930342411e-02,4.000000000000000000e+00
2.200000000000001260e-02,1.999509135684276323e-02,4.000000000000000000e+00
2.300000000000001349e-02,1.999494892067507287e-02,4.000000000000000000e+00
2.400000000000001438e-02,1.999481290851411880e-02,4.000000000000000000e+00
2.500000000000001527e-02,1.999468303126755719e-02,4.000000000000000000e+00
2.600000000000001615e-02,1.999455901261256927e-02,4.000000000000000000e+00
2.700000000000001704e-02,1.999444058852452646e-02,4.000000000000000000e+00
2.800000000000001793e-02,1.999432750678643844e-02,4.000000000000000000e+00
2.900000000000001882e-02,1.999421952649569484e-02,4.000000000000000000e+00
3.000000000000001971e-02,1.999411641757787780e-02,4.000000000000000000e+00
3.100000000000002059e-02,1.999401796031315126e-02,4.000000000000000000e+00
3.200000000000002148e-02,1.999392394487833208e-02,4.000000000000000000e+00
3.300000000000002237e-02,1.999383417090607948e-02,4.000000000000000000e+00
3.400000000000002326e-02,1.999374844706183763e-02,4.000000000000000000e+00
3.500000000000002415e-02,1.999366659063854176e-02,4.000000000000000000e+00
3.600000000000002504e-02,1.999358842716877221e-02,4.000000000000000000e+00
3.700000000000002592e-02,1.999351379005392601e-02,4.000000000000000000e+00
3.800000000000002681e-02,1.999344252020979901e-02,4.000000000000000000e+00
3.900000000000002770e-02,1.999337446572795399e-02,4.000000000000000000e+00
4.000000000000002859e-02,1.999330948155226065e-02,4.000000000000000000e+00
4.100000000000002948e-02,1.999324742916993441e-02,4.000000000000000000e+00
4.200000000000003036e-02,1.999318817631648079e-02,4.000000000000000000e+00
4.300000000000003125e-02,1.999313159669389994e-02,4.000000000000000000e+00
4.400000000000003214e-02,1.999307756970160332e-02,4.000000000000000000e+00
4.500000000000003303e-02,1.999302598017943869e-02,4.000000000000000000e+00
4.600000000000003392e-02,1.999297671816229957e-02,4.000000000000000000e+00
4.700000000000003481e-02,1.999292967864580578e-02,4.000000000000000000e+00
4.800000000000003569e-02,1.999288476136254142e-02,4.000000000000000000e+00
4.900000000000003658e-02,1.999284187056838899e-02,4.000000000000000000e+00
5.000000000000003747e-02,1.999280091483848429e-02,4.000000000000000000e+00
5.100000000000003836e-02,1.999276180687239307e-02,4.000000000000000000e+00
5.200000000000003925e-02,1.999272446330805850e-02,4.000000000000000000e+00
5.300000000000004013e-02,1.999268880454414810e-02,4.000000000000000000e+00
5.400000000000004102e-02,1.999265475457040822e-02,4.000000000000000000e+00
5.500000000000004191e-02,1.999262224080567210e-02,4.000000000000000000e+00
5.600000000000004280e-02,1.999259119394317802e-02,4.000000000000000000e+00
5.700000000000004369e-02,1.999256154780285066e-02,4.000000000000000000e+00
5.800000000000004458e-02,1.999253323919026118e-02,4.000000000000000000e+00
5.900000000000004546e-02,1.999250620776193976e-02,4.000000000000000000e+00
6.000000000000004635e-02,1.999248039589677020e-02,4.000000000000000000e+00
