case,geometry,initial_offset_mm,final_center_mm,entered_cavity,max_contacts,max_phi0_penetration_mm,final_phi0_penetration_mm,truncated_contacts,stepping_wall_s,end_to_end_wall_s
convex_centered,convex_decomposition,0.0,"[-8.885701186954975, 1.1436191853135824, 59.46950986981392]",False,14,0.01904006967379246,0.015572066331515089,0,58.666643354999906,59.481084472001385
convex_offset_1mm,convex_decomposition,1.0,"[-25.98249725997448, -5.6771812960505486, 50.59291049838066]",False,8,0.06579608452739194,0.011534859368111938,0,43.262935402999574,43.46500688100059
square_centered_ke_1000,analytic_square,0.0,"[1.3700796053228714e-07, 1.3657461273020033e-07, 35.0019708275795]",True,4,0.0980272889137268,0.0980272889137268,0,17.253607626998928,17.347844599999007
square_centered_ke_10000,analytic_square,0.0,"[4.379623053107906e-08, 4.379623053107906e-08, 35.090263932943344]",True,4,0.009734183549880981,0.009734183549880981,0,16.84065032699982,16.93524429900026
square_centered_ke_100000,analytic_square,0.0,"[2.685421156278789e-08, 2.685421156278789e-08, 35.098373889923096]",True,4,0.0016242265701293945,0.0016242265701293945,0,16.57313453000097,16.664644344000408
square_centered_tau_0.001,analytic_square,0.0,"[3.7706512912016876e-07, 3.676333404367682e-07, 35.090185701847076]",True,4,0.04101172089576721,0.009812414646148682,0,15.670398719999866,15.76208942700032
square_centered_tau_0.003,analytic_square,0.0,"[1.1764542118264387e-07, 1.1764542118264387e-07, 35.09020805358887]",True,4,0.00979006290435791,0.00979006290435791,0,16.610476366000512,16.70224563100055
square_centered_tau_0.03,analytic_square,0.0,"[1.5535885078410416e-08, 1.5535885078410416e-08, 35.09041294455528]",True,4,0.009585171937942505,0.009585171937942505,0,23.273543397999674,23.3691395980004
square_offset_1mm_ke_1000,analytic_square,1.0,"[-130.6246966123581, -1.3436911394819617, -13521.768569946289]",False,12,0.0824045782792382,0.0,0,26.43870652000078,26.538264345999778
square_offset_1mm_ke_10000,analytic_square,1.0,"[-70.16133517026901, 5.979289300739765, -13465.215682983398]",False,12,0.0,0.0,0,23.09610804300064,23.190525210000487
square_offset_1mm_ke_100000,analytic_square,1.0,"[-202.9758095741272, 6.55757961794734, -13732.303619384766]",False,9,0.0,0.0,0,25.820794164999825,25.910368175998883
square_offset_1mm_tau_0.001,analytic_square,1.0,"[-675.6740212440491, -0.24402311828453094, -15363.944053649902]",False,9,0.09254621545551345,0.0,0,21.567033514000286,21.65640430700114
square_offset_1mm_tau_0.003,analytic_square,1.0,"[-577.0958065986633, 1.4142363797873259, -15143.630027770996]",False,11,0.020466277419473045,0.0,0,23.596112186000028,23.693821019000097
square_offset_1mm_tau_0.03,analytic_square,1.0,"[-596.0240960121155, -25.487404316663742, -14281.031608581543]",False,8,0.0,0.0,0,25.981827650000923,26.249779244999445
