time_s,x_m,y_m,z_m
0.000000000000000000e+00,1.000000047497451305e-03,1.974173098614695811e-39,1.199975460767745972e-01
5.000000000000000104e-03,1.000000047497451305e-03,1.302953656540344219e-37,1.198381260037422180e-01
1.000000000000000021e-02,1.000000047497451305e-03,4.560338638670283362e-37,1.194334626197814941e-01
1.499999999999999944e-02,1.000000047497451305e-03,9.791892515519525341e-37,1.187835484743118286e-01
2.000000000000000042e-02,1.000000047497451305e-03,1.699761674443847306e-36,1.178883835673332214e-01
2.500000000000000139e-02,1.000000047497451305e-03,2.617750370236348058e-36,1.167479753494262695e-01
2.999999999999999889e-02,1.000000047497451305e-03,3.733155249246353074e-36,1.153623163700103760e-01
3.500000000000000333e-02,1.000000047497451305e-03,5.045976311473862354e-36,1.137314066290855408e-01
4.000000000000000083e-02,1.000000047497451305e-03,6.556213556918875898e-36,1.118552535772323608e-01
4.499999999999999833e-02,1.000000047497451305e-03,8.263869496708241777e-36,1.097338497638702393e-01
5.000000000000000278e-02,1.000000047497451305e-03,1.016894377210955312e-35,1.073671802878379822e-01
5.500000000000000028e-02,1.000000047497451305e-03,1.227143638312280993e-35,1.047552675008773804e-01
5.999999999999999778e-02,1.000000047497451305e-03,1.457134876467763968e-35,1.018981114029884338e-01
6.500000000000000222e-02,1.000000047497451305e-03,1.706867876437960116e-35,9.879569709300994873e-02
7.000000000000000666e-02,1.000000047497451305e-03,1.976342638222869437e-35,9.544803947210311890e-02
7.499999999999999722e-02,1.000000047497451305e-03,2.265559305315454679e-35,9.185513854026794434e-02
8.000000000000000167e-02,1.000000047497451305e-03,2.574517447236827600e-35,8.801697939634323120e-02
8.500000000000000611e-02,1.000000047497451305e-03,2.903217350972913694e-35,8.393357694149017334e-02
8.999999999999999667e-02,1.000000047497451305e-03,3.251658155565936480e-35,7.960493117570877075e-02
9.500000000000000111e-02,1.000000047497451305e-03,3.619840434987746946e-35,7.503102719783782959e-02
1.000000000000000056e-01,1.000000047497451305e-03,4.007764189238345091e-35,7.021187990903854370e-02
1.049999999999999961e-01,6.758323870599269867e-04,5.969840458419639617e-06,6.641675531864166260e-02
1.100000000000000006e-01,-5.149930948391556740e-04,1.344061638519633561e-05,6.573888659477233887e-02
1.150000000000000050e-01,-1.756505458615720272e-03,-4.346525020082481205e-05,6.512206047773361206e-02
1.199999999999999956e-01,-3.018320770934224129e-03,-1.067590783350169659e-04,6.439765542745590210e-02
1.250000000000000000e-01,-4.297116771340370178e-03,-1.757157733663916588e-04,6.352628767490386963e-02
1.300000000000000044e-01,-5.595369730144739151e-03,-2.477242378517985344e-04,6.256607919931411743e-02
1.350000000000000089e-01,-6.729787215590476990e-03,-3.275022027082741261e-04,6.191705167293548584e-02
1.400000000000000133e-01,-7.609031628817319870e-03,-4.081956576555967331e-04,6.163151562213897705e-02
1.449999999999999900e-01,-8.405623026192188263e-03,-4.857935127802193165e-04,6.130392849445343018e-02
1.499999999999999944e-01,-9.134555235505104065e-03,-5.577364936470985413e-04,6.095083430409431458e-02
1.549999999999999989e-01,-9.809673763811588287e-03,-6.234569009393453598e-04,6.058517470955848694e-02
1.600000000000000033e-01,-1.043942105025053024e-02,-6.858320557512342930e-04,6.020826473832130432e-02
1.650000000000000078e-01,-1.103253383189439774e-02,-7.458513136953115463e-04,5.983131006360054016e-02
1.700000000000000122e-01,-1.159554906189441681e-02,-8.030176977626979351e-04,5.945619568228721619e-02
1.750000000000000167e-01,-1.213393453508615494e-02,-8.578347042202949524e-04,5.908006057143211365e-02
1.799999999999999933e-01,-1.265823934227228165e-02,-9.132540435530245304e-04,5.871189385652542114e-02
1.849999999999999978e-01,-1.316705066710710526e-02,-9.636049508117139339e-04,5.834824591875076294e-02
1.900000000000000022e-01,-1.366194151341915131e-02,-1.016707275994122028e-03,5.798382684588432312e-02
1.950000000000000067e-01,-1.415228657424449921e-02,-1.072858227416872978e-03,5.761972814798355103e-02
2.000000000000000111e-01,-1.464574318379163742e-02,-1.120503526180982590e-03,5.725461617112159729e-02
2.050000000000000155e-01,-1.514453068375587463e-02,-1.173793803900480270e-03,5.688612163066864014e-02
2.099999999999999922e-01,-1.565774716436862946e-02,-1.225573709234595299e-03,5.651222541928291321e-02
2.149999999999999967e-01,-1.618823595345020294e-02,-1.276053371839225292e-03,5.612808465957641602e-02
2.200000000000000011e-01,-1.674002967774868011e-02,-1.330159022472798824e-03,5.572772398591041565e-02
2.250000000000000056e-01,-1.732265390455722809e-02,-1.384743605740368366e-03,5.530572310090065002e-02
2.300000000000000100e-01,-1.794574782252311707e-02,-1.440081861801445484e-03,5.485548824071884155e-02
2.350000000000000144e-01,-1.861905492842197418e-02,-1.496640383265912533e-03,5.436900258064270020e-02
2.399999999999999911e-01,-1.935152895748615265e-02,-1.554969348944723606e-03,5.383610725402832031e-02
2.449999999999999956e-01,-2.014457248151302338e-02,-1.615454675629734993e-03,5.324615165591239929e-02
2.500000000000000000e-01,-2.095973305404186249e-02,-1.677433145232498646e-03,5.259381607174873352e-02
2.550000000000000044e-01,-2.174641005694866180e-02,-1.737489830702543259e-03,5.188705027103424072e-02
2.600000000000000089e-01,-2.253250405192375183e-02,-1.793732400983572006e-03,5.130725353956222534e-02
2.650000000000000133e-01,-2.301597036421298981e-02,-1.845479360781610012e-03,5.127460882067680359e-02
2.700000000000000178e-01,-2.315702475607395172e-02,-1.894524903036653996e-03,5.128264799714088440e-02
2.750000000000000222e-01,-2.321822568774223328e-02,-1.934105064719915390e-03,5.116051062941551208e-02
2.800000000000000266e-01,-2.321171201765537262e-02,-1.961820758879184723e-03,5.093308910727500916e-02
2.850000000000000311e-01,-2.319126948714256287e-02,-1.986510353162884712e-03,5.073333159089088440e-02
2.899999999999999800e-01,-2.317096665501594543e-02,-2.011077711358666420e-03,5.057352408766746521e-02
2.949999999999999845e-01,-2.315278351306915283e-02,-2.034916076809167862e-03,5.044629052281379700e-02
2.999999999999999889e-01,-2.314271405339241028e-02,-2.058516489341855049e-03,5.034374818205833435e-02
3.049999999999999933e-01,-2.313614450395107269e-02,-2.080396981909871101e-03,5.025969073176383972e-02
3.099999999999999978e-01,-2.313102036714553833e-02,-2.101580146700143814e-03,5.019542947411537170e-02
3.150000000000000022e-01,-2.312682569026947021e-02,-2.121799858286976814e-03,5.014592036604881287e-02
3.200000000000000067e-01,-2.312334254384040833e-02,-2.140606753528118134e-03,5.010773241519927979e-02
3.250000000000000111e-01,-2.312033250927925110e-02,-2.158136107027530670e-03,5.007877945899963379e-02
3.300000000000000155e-01,-2.311807312071323395e-02,-2.175072673708200455e-03,5.005729943513870239e-02
3.350000000000000200e-01,-2.311615459620952606e-02,-2.191294683143496513e-03,5.004063621163368225e-02
3.400000000000000244e-01,-2.311426773667335510e-02,-2.206955570727586746e-03,5.002756789326667786e-02
3.450000000000000289e-01,-2.311241067945957184e-02,-2.222290495410561562e-03,5.001716688275337219e-02
3.500000000000000333e-01,-2.311008609831333160e-02,-2.237456152215600014e-03,5.000754818320274353e-02
3.549999999999999822e-01,-2.310795895755290985e-02,-2.252778271213173866e-03,5.000000074505805969e-02
3.599999999999999867e-01,-2.310587279498577118e-02,-2.268471522256731987e-03,4.999416321516036987e-02
3.649999999999999911e-01,-2.310397848486900330e-02,-2.284753369167447090e-03,4.998967424035072327e-02
3.699999999999999956e-01,-2.310203388333320618e-02,-2.301836153492331505e-03,4.998594895005226135e-02
3.750000000000000000e-01,-2.310005761682987213e-02,-2.320018596947193146e-03,4.998298361897468567e-02
3.800000000000000044e-01,-2.309809252619743347e-02,-2.339578000828623772e-03,4.998049139976501465e-02
3.850000000000000089e-01,-2.309607900679111481e-02,-2.360752783715724945e-03,4.997836425900459290e-02
3.900000000000000133e-01,-2.309385687112808228e-02,-2.383779967203736305e-03,4.997662082314491272e-02
3.950000000000000178e-01,-2.309156395494937897e-02,-2.408977830782532692e-03,4.997544363141059875e-02
4.000000000000000222e-01,-2.308969013392925262e-02,-2.434701658785343170e-03,4.997500404715538025e-02
4.050000000000000266e-01,-2.308763004839420319e-02,-2.460399409756064415e-03,4.997472837567329407e-02
4.100000000000000311e-01,-2.308548241853713989e-02,-2.486207056790590286e-03,4.997459799051284790e-02
4.150000000000000355e-01,-2.308335155248641968e-02,-2.512236358597874641e-03,4.997428134083747864e-02
4.199999999999999845e-01,-2.308117225766181946e-02,-2.538449363783001900e-03,4.997399821877479553e-02
4.249999999999999889e-01,-2.307895943522453308e-02,-2.564939903095364571e-03,4.997367784380912781e-02
4.299999999999999933e-01,-2.307676710188388824e-02,-2.591941040009260178e-03,4.997389018535614014e-02
4.349999999999999978e-01,-2.307453565299510956e-02,-2.619117498397827148e-03,4.997429996728897095e-02
4.400000000000000022e-01,-2.307230979204177856e-02,-2.646102337166666985e-03,4.997441545128822327e-02
4.450000000000000067e-01,-2.307007648050785065e-02,-2.672630362212657928e-03,4.997440055012702942e-02
4.500000000000000111e-01,-2.306798845529556274e-02,-2.698162337765097618e-03,4.997429996728897095e-02
4.550000000000000155e-01,-2.306603454053401947e-02,-2.722721779718995094e-03,4.997424781322479248e-02
4.600000000000000200e-01,-2.306419238448143005e-02,-2.746565965935587883e-03,4.997421801090240479e-02
4.650000000000000244e-01,-2.306246943771839142e-02,-2.769933780655264854e-03,4.997422173619270325e-02
4.700000000000000289e-01,-2.306086383759975433e-02,-2.792908111587166786e-03,4.997433349490165710e-02
4.750000000000000333e-01,-2.305934578180313110e-02,-2.815586049109697342e-03,4.997442290186882019e-02
4.799999999999999822e-01,-2.305780351161956787e-02,-2.838095184415578842e-03,4.997451975941658020e-02
4.849999999999999867e-01,-2.305626310408115387e-02,-2.860589185729622841e-03,4.997459799051284790e-02
4.899999999999999911e-01,-2.305477298796176910e-02,-2.883252454921603203e-03,4.997460544109344482e-02
4.949999999999999956e-01,-2.305324003100395203e-02,-2.906247507780790329e-03,4.997459426522254944e-02
5.000000000000000000e-01,-2.305169031023979187e-02,-2.929731737822294235e-03,4.997453093528747559e-02
5.050000000000000044e-01,-2.305011823773384094e-02,-2.953764749690890312e-03,4.997441172599792480e-02
5.100000000000000089e-01,-2.304846048355102539e-02,-2.977628726512193680e-03,4.997432976961135864e-02
5.150000000000000133e-01,-2.304682880640029907e-02,-3.000811673700809479e-03,4.997421428561210632e-02
5.200000000000000178e-01,-2.304520271718502045e-02,-3.022150835022330284e-03,4.997396469116210938e-02
5.250000000000000222e-01,-2.304366417229175568e-02,-3.041195217519998550e-03,4.997361451387405396e-02
5.300000000000000266e-01,-2.304249256849288940e-02,-3.056508954614400864e-03,4.997352138161659241e-02
5.350000000000000311e-01,-2.304161526262760162e-02,-3.068257821723818779e-03,4.997345060110092163e-02
5.400000000000000355e-01,-2.304097637534141541e-02,-3.076426917687058449e-03,4.997346550226211548e-02
5.450000000000000400e-01,-2.304061874747276306e-02,-3.081158734858036041e-03,4.997348040342330933e-02
