time_s,x_m,y_m,z_m
0.000000000000000000e+00,-2.213072066006647925e-39,-1.607341186623745199e-39,1.199975460767745972e-01
5.000000000000000104e-03,-1.460627647642295490e-37,-1.060844930937948253e-37,1.198381260037422180e-01
1.000000000000000021e-02,-5.112196878851911361e-37,-3.712957314334757457e-37,1.194334626197814941e-01
1.499999999999999944e-02,-1.097683856843174517e-36,-7.972412509861530477e-37,1.187835484743118286e-01
2.000000000000000042e-02,-1.905455249217404262e-36,-1.383920659388256720e-36,1.178883835673332214e-01
2.500000000000000139e-02,-2.934534223740287238e-36,-2.131333979060562193e-36,1.167479753494262695e-01
2.999999999999999889e-02,-4.184920242313213146e-36,-3.039481210003069465e-36,1.153623163700103760e-01
3.500000000000000333e-02,-5.656613125569978550e-36,-4.108362083166473386e-36,1.137314066290855408e-01
4.000000000000000083e-02,-7.349612694144380019e-36,-5.337977316015587692e-36,1.118552535772323608e-01
4.499999999999999833e-02,-9.263918589304010684e-36,-6.728326191085598646e-36,1.097338497638702393e-01
5.000000000000000278e-02,-1.139952865865442934e-35,-8.279409067108913118e-36,1.073671802878379822e-01
5.500000000000000028e-02,-1.375644505459007720e-35,-9.991226302817937973e-36,1.047552675008773804e-01
5.999999999999999778e-02,-1.633466777711095425e-35,-1.186377789821267321e-35,1.018981114029884338e-01
6.500000000000000222e-02,-1.913419539128743303e-35,-1.389706528822274630e-35,9.879569709300994873e-02
7.000000000000000666e-02,-2.215502933204914100e-35,-1.609108703791852978e-35,9.544803947210311890e-02
7.499999999999999722e-02,-2.539716672953682324e-35,-1.844584386476483737e-35,9.185513854026794434e-02
8.000000000000000167e-02,-2.886061045360973467e-35,-2.096133720369129655e-35,8.801697939634323120e-02
8.500000000000000611e-02,-3.254536337412713024e-35,-2.363756418483865238e-35,8.393357694149017334e-02
8.999999999999999667e-02,-3.645142262122975500e-35,-2.647453198285504220e-35,7.960493117570877075e-02
9.500000000000000111e-02,-4.057879393463611883e-35,-2.947222911830344626e-35,7.503102719783782959e-02
1.000000000000000056e-01,-4.492747731434622173e-35,-3.263066133090237445e-35,7.021187990903854370e-02
1.049999999999999961e-01,-4.949747276036006371e-35,-3.594982575079257181e-35,6.514748185873031616e-02
1.100000000000000006e-01,-1.130346427089534700e-04,-2.393478935118764639e-04,6.490600109100341797e-02
1.150000000000000050e-01,-2.453618508297950029e-04,-5.177130806259810925e-04,6.467826664447784424e-02
1.199999999999999956e-01,-3.453897370491176844e-04,-7.181316032074391842e-04,6.427360326051712036e-02
1.250000000000000000e-01,-4.154458874836564064e-04,-8.583336020819842815e-04,6.371250003576278687e-02
1.300000000000000044e-01,-4.613790952134877443e-04,-9.547492372803390026e-04,6.318129599094390869e-02
1.350000000000000089e-01,-4.374926211312413216e-04,-8.422030950896441936e-04,6.301813572645187378e-02
1.400000000000000133e-01,-4.318072169553488493e-04,-8.058510720729827881e-04,6.266777217388153076e-02
1.449999999999999900e-01,-4.477668262552469969e-04,-8.468633168376982212e-04,6.213925033807754517e-02
1.499999999999999944e-01,-4.746412159875035286e-04,-9.379918919876217842e-04,6.152652576565742493e-02
1.549999999999999989e-01,-4.784282646141946316e-04,-1.020181574858725071e-03,6.093314662575721741e-02
1.600000000000000033e-01,-4.609901807270944118e-04,-1.063249772414565086e-03,6.037712469696998596e-02
1.650000000000000078e-01,-4.429453401826322079e-04,-1.081848982721567154e-03,5.982435122132301331e-02
1.700000000000000122e-01,-4.196229856461286545e-04,-1.075639971531927586e-03,5.927095562219619751e-02
1.750000000000000167e-01,-3.883681201841682196e-04,-1.041244715452194214e-03,5.871508270502090454e-02
1.799999999999999933e-01,-3.476296260487288237e-04,-9.761716937646269798e-04,5.815062299370765686e-02
1.849999999999999978e-01,-2.978519187308847904e-04,-8.778470801189541817e-04,5.757155269384384155e-02
1.900000000000000022e-01,-2.416102506686002016e-04,-7.522691739723086357e-04,5.697611346840858459e-02
1.950000000000000067e-01,-1.898772316053509712e-04,-6.129760295152664185e-04,5.636815354228019714e-02
2.000000000000000111e-01,-1.561149547342211008e-04,-4.623629210982471704e-04,5.575983971357345581e-02
2.050000000000000155e-01,-1.073444072972051799e-04,-3.091755206696689129e-04,5.514751374721527100e-02
2.099999999999999922e-01,-5.918223178014159203e-05,-1.592423359397798777e-04,5.453511327505111694e-02
2.149999999999999967e-01,-9.715487067296635360e-06,-8.114572665363084525e-06,5.392033979296684265e-02
2.200000000000000011e-01,4.497958070714958012e-05,1.267339393962174654e-04,5.331992357969284058e-02
2.250000000000000056e-01,7.364751945715397596e-05,1.711458317004144192e-04,5.276245251297950745e-02
2.300000000000000100e-01,7.747458585072308779e-05,1.714151730993762612e-04,5.217076092958450317e-02
2.350000000000000144e-01,6.349619798129424453e-05,1.484609529143199325e-04,5.156195536255836487e-02
2.399999999999999911e-01,4.802064358955249190e-05,1.232586364494636655e-04,5.095414072275161743e-02
2.449999999999999956e-01,8.639768202556297183e-05,8.703359344508498907e-05,5.046577379107475281e-02
2.500000000000000000e-01,3.217838238924741745e-04,5.333969966159202158e-05,5.030443891882896423e-02
2.550000000000000044e-01,4.945122054778039455e-04,7.488528353860601783e-05,4.998022317886352539e-02
2.600000000000000089e-01,5.637321737594902515e-04,1.373104751110076904e-04,4.956290498375892639e-02
2.650000000000000133e-01,5.696972948499023914e-04,1.951130834640935063e-04,4.908706620335578918e-02
2.700000000000000178e-01,5.322886281646788120e-04,2.276575251016765833e-04,4.855800420045852661e-02
2.750000000000000222e-01,4.621722036972641945e-04,2.312049327883869410e-04,4.797204583883285522e-02
2.800000000000000266e-01,3.721350803971290588e-04,2.098474797094240785e-04,4.736823588609695435e-02
2.850000000000000311e-01,2.691051049623638391e-04,1.746615453157573938e-04,4.676258563995361328e-02
2.899999999999999800e-01,1.619742106413468719e-04,1.051613726303912699e-04,4.614675045013427734e-02
2.949999999999999845e-01,6.210934952832758427e-05,1.663814509811345488e-05,4.553573578596115112e-02
2.999999999999999889e-01,-3.097562148468568921e-05,-1.728741881379391998e-05,4.494072869420051575e-02
3.049999999999999933e-01,-3.545299114193767309e-05,-9.322856385551858693e-06,4.433872550725936890e-02
3.099999999999999978e-01,-3.358800313435494900e-05,-8.502140190103091300e-06,4.372959956526756287e-02
3.150000000000000022e-01,-2.990249231515917927e-05,-9.734769264468923211e-06,4.312181100249290466e-02
3.200000000000000067e-01,-2.566959847172256559e-05,-1.022573542286409065e-05,4.251534491777420044e-02
3.250000000000000111e-01,-2.130194661731366068e-05,-1.056750988936983049e-05,4.190891608595848083e-02
3.300000000000000155e-01,-1.772422729118261486e-05,-1.049787624651798978e-05,4.130246862769126892e-02
3.350000000000000200e-01,-1.459019222238566726e-05,-9.984940334106795490e-06,4.069593548774719238e-02
3.400000000000000244e-01,-1.175786564999725670e-05,-9.244903594662901014e-06,4.008953273296356201e-02
3.450000000000000289e-01,-9.297475116909481585e-06,-8.410616828768979758e-06,3.948319703340530396e-02
