sweep,ke,tau_s,kd_shape,clearance_mm,max_pen_mm,max_contacts,stepping_wall_s,end_to_end_wall_s,final_xyz_mm,entered
ke,1000.0,0.01,10.0,2.0,0.09236235371349484,22,35.44039239599988,35.96905984900013,"[-23.16645346581936, -4.245401360094547, 49.923837184906006]",False
ke,10000.0,0.01,100.0,2.0,0.004513128532433725,22,32.9557194869999,33.15465868299998,"[-23.117130622267723, -1.5388218453153968, 49.97530207037926]",False
ke,100000.0,0.01,1000.0,2.0,0.009184348278715318,21,34.06241903399996,34.25969767300012,"[-23.09226430952549, -1.1599399149417877, 49.97490346431732]",False
tau,10000.0,0.001,10.0,2.0,0.020858810893808918,29,34.94952754499991,35.14810239600001,"[-22.86660671234131, 1.6373267862945795, 49.970947206020355]",False
tau,10000.0,0.003,30.0,2.0,0.025845396415525176,42,36.09686616599993,36.29602582799998,"[-8.044368587434292, -4.624941851943731, 55.04804849624634]",False
tau,10000.0,0.01,100.0,2.0,0.02344050068634375,23,34.71056807700006,34.91612832200008,"[-22.815844044089317, 7.6110162772238255, 49.975182861089706]",False
tau,10000.0,0.03,300.0,2.0,0.004565074949831231,16,30.434145179000097,30.794112172999576,"[-22.528426721692085, -1.26619020011276, 49.974773079156876]",False
clearance_baseline,10000.0,0.01,100.0,2.0,0.008012510573095686,22,30.825144077999994,31.014473542999895,"[-23.030143231153488, -3.0793403275310993, 49.97257888317108]",False
clearance_baseline,10000.0,0.01,100.0,1.4999999999999996,0.004591461734394838,21,30.975709251000353,31.169917668999915,"[-23.293722420930862, 4.984190221875906, 50.47374218702316]",False
clearance_baseline,10000.0,0.01,100.0,1.0000000000000009,0.022807337663104114,43,35.29185844499989,35.48194077900007,"[-10.167770087718964, -0.91471680207178, 58.42231586575508]",False
clearance_baseline,10000.0,0.01,100.0,0.5000000000000004,0.014728278613264735,35,32.86092008700007,33.04948103200013,"[-9.118704125285149, 0.6140302284620702, 60.47337129712105]",False
clearance_baseline,10000.0,0.01,100.0,0.2500000000000002,0.023747459780198432,37,34.24517813199964,34.43689370099992,"[-9.06528439372778, -0.35545381251722574, 61.547741293907166]",False
