time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.000000000000000000e+00,1.000000047497451305e-03,-5.742679453529569061e-39,1.199975460767745972e-01,-7.966630279816567842e-30,8.726535364985466003e-03,-5.695536261655009142e-31,9.999619126319885254e-01
5.000000000000000104e-03,1.000000047497451305e-03,-3.790168411303546294e-37,1.198381260037422180e-01,-5.257976044864245538e-28,8.726535364985466003e-03,-3.759053838652757968e-29,9.999619126319885254e-01
1.000000000000000021e-02,1.000000047497451305e-03,-1.326558719748486911e-36,1.194334626197814941e-01,-1.840291350887118585e-27,8.726535364985466003e-03,-1.315668708111516074e-28,9.999619126319885254e-01
1.499999999999999944e-02,1.000000047497451305e-03,-2.848368852005238250e-36,1.187835484743118286e-01,-3.951447415082802407e-27,8.726535364985466003e-03,-2.824985579530036890e-28,9.999619126319885254e-01
2.000000000000000042e-02,1.000000047497451305e-03,-4.944446789485100063e-36,1.178883835673332214e-01,-6.859266519297205166e-27,8.726535364985466003e-03,-4.903856750437222772e-28,9.999619126319885254e-01
2.500000000000000139e-02,1.000000047497451305e-03,-7.614791994089462048e-36,1.167479753494262695e-01,-1.056374808575134355e-26,8.726535364985466003e-03,-7.552281980091830670e-28,9.999619126319885254e-01
2.999999999999999889e-02,1.000000047497451305e-03,-1.085940464518452764e-35,1.153623163700103760e-01,-1.506489365518917306e-26,8.726535364985466003e-03,-1.077026247220007583e-27,9.999619126319885254e-01
3.500000000000000333e-02,1.000000047497451305e-03,-1.467828689516473804e-35,1.137314066290855408e-01,-2.036270014612278268e-26,8.726535364985466003e-03,-1.455779533786704166e-27,9.999619126319885254e-01
4.000000000000000083e-02,1.000000047497451305e-03,-1.907143874403009325e-35,1.118552535772323608e-01,-2.645716832892415016e-26,8.726535364985466003e-03,-1.891488154005770037e-27,9.999619126319885254e-01
4.499999999999999833e-02,1.000000047497451305e-03,-2.403886234417503448e-35,1.097338497638702393e-01,-3.334829974433723102e-26,8.726535364985466003e-03,-2.384152396766696853e-27,9.999619126319885254e-01
5.000000000000000278e-02,1.000000047497451305e-03,-2.958054621616254196e-35,1.073671802878379822e-01,-4.103609439236202526e-26,8.726535364985466003e-03,-2.933771973179992956e-27,9.999619126319885254e-01
5.500000000000000028e-02,1.000000047497451305e-03,-3.569651762365553762e-35,1.047552675008773804e-01,-4.952054919151062185e-26,8.726535364985466003e-03,-3.540346883245658346e-27,9.999619126319885254e-01
5.999999999999999778e-02,1.000000047497451305e-03,-4.238674786806147206e-35,1.018981114029884338e-01,-5.880167954922257590e-26,8.726535364985466003e-03,-4.203877126963693023e-27,9.999619126319885254e-01
6.500000000000000222e-02,1.000000047497451305e-03,-4.965123981923960024e-35,9.879569709300994873e-02,-6.887948238400997638e-26,8.726535364985466003e-03,-4.924362511741102549e-27,9.999619126319885254e-01
7.000000000000000666e-02,1.000000047497451305e-03,-5.749000208676768697e-35,9.544803947210311890e-02,-7.975394845140909023e-26,8.726535364985466003e-03,-5.701802652391898046e-27,9.999619126319885254e-01
7.499999999999999722e-02,1.000000047497451305e-03,-6.590305188980126186e-35,9.185513854026794434e-02,-9.142508391439573950e-26,8.726535364985466003e-03,-6.536198704474046146e-27,9.999619126319885254e-01
8.000000000000000167e-02,1.000000047497451305e-03,-7.489036052974777554e-35,8.801697939634323120e-02,-1.038928826099941021e-25,8.726535364985466003e-03,-7.427549897615569095e-27,9.999619126319885254e-01
8.500000000000000611e-02,1.000000047497451305e-03,-8.445193948604424777e-35,8.393357694149017334e-02,-1.171573568641558222e-25,8.726535364985466003e-03,-8.375855461444489137e-27,9.999619126319885254e-01
8.999999999999999667e-02,1.000000047497451305e-03,-9.458779449840918842e-35,7.960493117570877075e-02,-1.312184943509292557e-25,8.726535364985466003e-03,-9.381116166332784027e-27,9.999619126319885254e-01
9.500000000000000111e-02,1.000000047497451305e-03,-1.052979026079685580e-34,7.503102719783782959e-02,-1.460762950703144026e-25,8.726535364985466003e-03,-1.044333278265243152e-26,9.999619126319885254e-01
1.000000000000000056e-01,1.000000047497451305e-03,-1.165823039927519256e-34,7.021187990903854370e-02,-1.617307713482629069e-25,8.726535364985466003e-03,-1.156250376965947611e-26,9.999619126319885254e-01
1.049999999999999961e-01,7.871967973187565804e-04,-4.220386244924156927e-07,6.602947413921356201e-02,-3.053587352042086422e-05,4.776707384735345840e-03,1.774826341716106981e-05,9.999886751174926758e-01
1.100000000000000006e-01,-3.211454313714057207e-04,-4.077005087310681120e-06,6.539826095104217529e-02,8.040329703362658620e-05,-1.550136134028434753e-02,2.210441743955016136e-05,9.998798966407775879e-01
1.150000000000000050e-01,-1.447669463232159615e-03,-3.800224249062011950e-06,6.473403424024581909e-02,1.533652102807536721e-04,-3.620162606239318848e-02,-8.636319398647174239e-05,9.993445277214050293e-01
