time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.000000000000000000e+00,1.000000047497451305e-03,-1.266607057232379979e-39,1.199975460767745972e-01,-9.544782415230540475e-29,8.726535364985466003e-03,-4.203664847354104017e-30,9.999619126319885254e-01
5.000000000000000104e-03,1.000000047497451305e-03,-8.359605176435243536e-38,1.198381260037422180e-01,-6.299556225533286580e-27,8.726535364985466003e-03,-2.774418603651448674e-28,9.999619126319885254e-01
1.000000000000000021e-02,1.000000047497451305e-03,-2.925859625726730891e-37,1.194334626197814941e-01,-2.204844813751746410e-26,8.726535364985466003e-03,-9.710463668332612069e-28,9.999619126319885254e-01
1.499999999999999944e-02,1.000000047497451305e-03,-6.282356878784084301e-37,1.187835484743118286e-01,-4.734212829067026387e-26,8.726535364985466003e-03,-2.085017535583454696e-27,9.999619126319885254e-01
2.000000000000000042e-02,1.000000047497451305e-03,-1.090546068460637053e-36,1.178883835673332214e-01,-8.218060169240954129e-26,8.726535364985466003e-03,-3.619355462912222555e-27,9.999619126319885254e-01
2.500000000000000139e-02,1.000000047497451305e-03,-1.679516969794706384e-36,1.167479753494262695e-01,-1.265638698834792519e-25,8.726535364985466003e-03,-5.574060341412559221e-27,9.999619126319885254e-01
2.999999999999999889e-02,1.000000047497451305e-03,-2.395147226000294103e-36,1.153623163700103760e-01,-1.804919421083431287e-25,8.726535364985466003e-03,-7.949132556270453573e-27,9.999619126319885254e-01
3.500000000000000333e-02,1.000000047497451305e-03,-3.237435850563281326e-36,1.137314066290855408e-01,-2.439647752261704174e-25,8.726535364985466003e-03,-1.074457133711392786e-26,9.999619126319885254e-01
4.000000000000000083e-02,1.000000047497451305e-03,-4.206384278413295521e-36,1.118552535772323608e-01,-3.169823815629127622e-25,8.726535364985466003e-03,-1.396037745431495982e-26,9.999619126319885254e-01
4.499999999999999833e-02,1.000000047497451305e-03,-5.301993944479964159e-36,1.097338497638702393e-01,-3.995447364666668749e-25,8.726535364985466003e-03,-1.759655167824552723e-26,9.999619126319885254e-01
5.000000000000000278e-02,1.000000047497451305e-03,-6.524264848763287237e-36,1.073671802878379822e-01,-4.916518399374327554e-25,8.726535364985466003e-03,-2.165309169778969681e-26,9.999619126319885254e-01
5.500000000000000028e-02,1.000000047497451305e-03,-7.873199143657705960e-36,1.047552675008773804e-01,-5.933037166271136919e-25,8.726535364985466003e-03,-2.612999751294746857e-26,9.999619126319885254e-01
5.999999999999999778e-02,1.000000047497451305e-03,-9.348798264092847795e-36,1.018981114029884338e-01,-7.045003665357096845e-25,8.726535364985466003e-03,-3.102727066446279802e-26,9.999619126319885254e-01
6.500000000000000222e-02,1.000000047497451305e-03,-1.095106436246315395e-35,9.879569709300994873e-02,-8.252417403594141568e-25,8.726535364985466003e-03,-3.634491115233568515e-26,9.999619126319885254e-01
7.000000000000000666e-02,1.000000047497451305e-03,-1.267999528637418321e-35,9.544803947210311890e-02,-9.555280846172599904e-25,8.726535364985466003e-03,-4.208291281359030793e-26,9.999619126319885254e-01
7.499999999999999722e-02,1.000000047497451305e-03,-1.453559175329074932e-35,9.185513854026794434e-02,-1.095358807663568269e-24,8.726535364985466003e-03,-4.824128181120248839e-26,9.999619126319885254e-01
8.000000000000000167e-02,1.000000047497451305e-03,-1.651785376321285228e-35,8.801697939634323120e-02,-1.244734550447824486e-24,8.726535364985466003e-03,-5.482000890070849347e-26,9.999619126319885254e-01
8.500000000000000611e-02,1.000000047497451305e-03,-1.862678131614049209e-35,8.393357694149017334e-02,-1.403654918539576030e-24,8.726535364985466003e-03,-6.181910948954787829e-26,9.999619126319885254e-01
8.999999999999999667e-02,1.000000047497451305e-03,-2.086237441207366874e-35,7.960493117570877075e-02,-1.572120109154049206e-24,8.726535364985466003e-03,-6.923857433325690977e-26,9.999619126319885254e-01
9.500000000000000111e-02,1.000000047497451305e-03,-2.322463305101238224e-35,7.503102719783782959e-02,-1.750130516721696625e-24,8.726535364985466003e-03,-7.707839726885976587e-26,9.999619126319885254e-01
1.000000000000000056e-01,1.000000047497451305e-03,-2.571355436309737765e-35,7.021187990903854370e-02,-1.937685155166386760e-24,8.726535364985466003e-03,-8.533858445933226864e-26,9.999619126319885254e-01
1.049999999999999961e-01,7.872176938690245152e-04,1.795216689970402513e-06,6.602948904037475586e-02,-6.768640741938725114e-05,4.782970994710922241e-03,-4.812085990124614909e-06,9.999885559082031250e-01
1.100000000000000006e-01,-3.201926010660827160e-04,5.629834959108848125e-06,6.539727747440338135e-02,-1.528850261820480227e-04,-1.544567663222551346e-02,-1.125835842685773969e-04,9.998807311058044434e-01
1.150000000000000050e-01,-1.445340691134333611e-03,1.366989818052388728e-05,6.473332643508911133e-02,-2.673843118827790022e-04,-3.610135614871978760e-02,-2.625954803079366684e-04,9.993481040000915527e-01
1.199999999999999956e-01,-2.579977503046393394e-03,1.867685205070301890e-05,6.392519921064376831e-02,-4.924527020193636417e-04,-5.705084651708602905e-02,-3.154246369376778603e-04,9.983711838722229004e-01
1.250000000000000000e-01,-3.585253842175006866e-03,2.697431773412972689e-05,6.321775913238525391e-02,-7.227499736472964287e-04,-8.156459778547286987e-02,8.580375288147479296e-05,9.966678619384765625e-01
1.300000000000000044e-01,-4.532602615654468536e-03,3.425084287300705910e-05,6.248782947659492493e-02,-9.510993259027600288e-04,-1.052034050226211548e-01,2.284584625158458948e-04,9.944502711296081543e-01
1.350000000000000089e-01,-5.251872353255748749e-03,3.306905637145973742e-05,6.201395392417907715e-02,-1.370108337141573429e-03,-1.252648085355758667e-01,5.384307005442678928e-04,9.921222925186157227e-01
1.400000000000000133e-01,-5.872296169400215149e-03,3.991647827206179500e-05,6.155040487647056580e-02,-1.569600077345967293e-03,-1.437000483274459839e-01,5.493756616488099098e-04,9.896199107170104980e-01
1.449999999999999900e-01,-6.395769305527210236e-03,4.046311369165778160e-05,6.113027408719062805e-02,-1.666796393692493439e-03,-1.600553840398788452e-01,3.445075708441436291e-04,9.871066212654113770e-01
1.499999999999999944e-01,-6.833618972450494766e-03,4.169155727140605450e-05,6.072865799069404602e-02,-1.659985980950295925e-03,-1.744310557842254639e-01,1.467374240746721625e-04,9.846679568290710449e-01
1.549999999999999989e-01,-7.207248825579881668e-03,4.199446630082093179e-05,6.032645329833030701e-02,-1.658321591094136238e-03,-1.872713565826416016e-01,-3.001897857757285237e-05,9.823067784309387207e-01
