time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.000000000000000000e+00,1.000000047497451305e-03,0.000000000000000000e+00,1.199975460767745972e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000104e-03,1.000000047497451305e-03,0.000000000000000000e+00,1.198381260037422180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.194334626197814941e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.499999999999999944e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.187835484743118286e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.178883835673332214e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000139e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.167479753494262695e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.153623163700103760e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000333e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.137314066290855408e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.118552535772323608e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.499999999999999833e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.097338497638702393e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.073671802878379822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000028e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.047552675008773804e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.018981114029884338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000222e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.879569709300994873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000666e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.544803947210311890e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.499999999999999722e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.185513854026794434e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000167e-02,1.000000047497451305e-03,0.000000000000000000e+00,8.801697939634323120e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000611e-02,1.000000047497451305e-03,0.000000000000000000e+00,8.393357694149017334e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.999999999999999667e-02,1.000000047497451305e-03,0.000000000000000000e+00,7.960493117570877075e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000111e-02,1.000000047497451305e-03,0.000000000000000000e+00,7.503102719783782959e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000047497451305e-03,0.000000000000000000e+00,7.021187990903854370e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.049999999999999961e-01,1.000000047497451305e-03,0.000000000000000000e+00,6.514748185873031616e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000006e-01,1.000000047497451305e-03,0.000000000000000000e+00,5.983783304691314697e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000050e-01,1.000000047497451305e-03,0.000000000000000000e+00,5.428293347358703613e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,1.000000047497451305e-03,0.000000000000000000e+00,4.848278686404228210e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e-01,1.000000047497451305e-03,0.000000000000000000e+00,4.243739321827888489e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e-01,1.000000047497451305e-03,0.000000000000000000e+00,3.614674881100654602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000089e-01,9.999995818361639977e-04,-1.243278036078265814e-09,3.535089641809463501e-02,-1.597868282132708373e-09,-6.109314443225599689e-11,1.938517061987349993e-14,1.000000000000000000e+00
1.400000000000000133e-01,9.999995818361639977e-04,-1.691116247037882658e-09,3.527179732918739319e-02,-1.318207876188637329e-09,-8.711627252910858488e-11,2.027171257191952985e-14,1.000000000000000000e+00
1.449999999999999900e-01,9.999995818361639977e-04,-2.057171988312234134e-09,3.521005064249038696e-02,-1.331234344981169215e-09,-1.035580510233558016e-10,2.027003544668396634e-14,1.000000000000000000e+00
1.499999999999999944e-01,9.999995818361639977e-04,-2.391023823378191082e-09,3.516183793544769287e-02,-1.110010749982848210e-09,-1.231453966576978587e-10,2.155178772532580223e-14,1.000000000000000000e+00
1.549999999999999989e-01,9.999995818361639977e-04,-2.527229314708279162e-09,3.512420132756233215e-02,-1.051436382404347114e-09,-1.445503994279562221e-10,2.193015734286429819e-14,1.000000000000000000e+00
1.600000000000000033e-01,9.999995818361639977e-04,-2.653558706100511699e-09,3.509703278541564941e-02,-9.610584550401313209e-10,1.642439795279670989e-10,2.206409866281362070e-14,1.000000000000000000e+00
1.650000000000000078e-01,9.999995818361639977e-04,-2.656116215860038210e-09,3.509550541639328003e-02,-8.843309418082867523e-10,4.435211642395131548e-10,2.215075352144952464e-14,1.000000000000000000e+00
1.700000000000000122e-01,9.999995818361639977e-04,-2.655164976772539376e-09,3.509433940052986145e-02,-8.836148479574035264e-10,4.443212464622092739e-10,2.215078909683330932e-14,1.000000000000000000e+00
1.750000000000000167e-01,9.999995818361639977e-04,-2.654435116156150798e-09,3.509343042969703674e-02,-8.828668351945623272e-10,4.450693424917773200e-10,2.215078909683330932e-14,1.000000000000000000e+00
1.799999999999999933e-01,9.999995818361639977e-04,-2.653878450331603744e-09,3.509272262454032898e-02,-8.820693064848228460e-10,4.458668434459411856e-10,2.215078909683330932e-14,1.000000000000000000e+00
1.849999999999999978e-01,9.999995818361639977e-04,-2.653457231716060960e-09,3.509216755628585815e-02,-8.812338636587924157e-10,4.467022862719716159e-10,2.215078909683330932e-14,1.000000000000000000e+00
1.900000000000000022e-01,9.999995818361639977e-04,-2.653141928377067416e-09,3.509173542261123657e-02,-8.803683892999458749e-10,4.475677606308181566e-10,2.215078909683330932e-14,1.000000000000000000e+00
1.950000000000000067e-01,9.999995818361639977e-04,-2.652909225631105983e-09,3.509139642119407654e-02,-8.794798223021871308e-10,4.484563831397281319e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.000000000000000111e-01,9.999995818361639977e-04,-2.652741137865177734e-09,3.509113192558288574e-02,-8.785733807137319218e-10,4.493628802393345723e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.050000000000000155e-01,9.999995818361639977e-04,-2.652623454224567467e-09,3.509092703461647034e-02,-8.776514515140831918e-10,4.502848094389833022e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.099999999999999922e-01,9.999995818361639977e-04,-2.652545072479028931e-09,3.509076684713363647e-02,-8.767186976399443665e-10,4.512175355575465119e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.149999999999999967e-01,9.999995818361639977e-04,-2.652497999022784825e-09,3.509064018726348877e-02,-8.757782277157843964e-10,4.521580054817064820e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.200000000000000011e-01,9.999995818361639977e-04,-2.652474684339267696e-09,3.509053960442543030e-02,-8.748315405426865254e-10,4.531047204103799686e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.250000000000000056e-01,9.999995818361639977e-04,-2.652469799357959346e-09,3.509046509861946106e-02,-8.738771373195675096e-10,4.540591236334989844e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.300000000000000100e-01,9.999995818361639977e-04,-2.652480235454390822e-09,3.509040176868438721e-02,-8.729217348957263312e-10,4.550145538129157785e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.350000000000000144e-01,9.999995818361639977e-04,-2.652501329691858700e-09,3.509036451578140259e-02,-8.719584498884103141e-10,4.559778388202317956e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.399999999999999911e-01,9.999995818361639977e-04,-2.652529973445894029e-09,3.509032726287841797e-02,-8.709953314145479908e-10,4.569410960719721970e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.449999999999999956e-01,9.999995818361639977e-04,-2.652566610805706659e-09,3.509029000997543335e-02,-8.700322129406856675e-10,4.579042145458345203e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.500000000000000000e-01,9.999995818361639977e-04,-2.652610797682086741e-09,3.509026393294334412e-02,-8.690679287326474878e-10,4.588683044648433906e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.550000000000000044e-01,9.999995818361639977e-04,-2.652657427049120997e-09,3.509026393294334412e-02,-8.680970386976127884e-10,4.598389169441219337e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.600000000000000089e-01,9.999995818361639977e-04,-2.652704056416155254e-09,3.509026393294334412e-02,-8.671261486625780890e-10,4.608095294234004768e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.650000000000000133e-01,9.999995818361639977e-04,-2.652750685783189510e-09,3.509026393294334412e-02,-8.661552586275433896e-10,4.617801419026790199e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.700000000000000178e-01,9.999995818361639977e-04,-2.652797315150223767e-09,3.509026393294334412e-02,-8.651843685925086902e-10,4.627507543819575631e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.750000000000000222e-01,9.999995818361639977e-04,-2.652843944517258024e-09,3.509026393294334412e-02,-8.642134785574739908e-10,4.637213668612361062e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.800000000000000266e-01,9.999995818361639977e-04,-2.652890573884292280e-09,3.509026393294334412e-02,-8.632425885224392914e-10,4.646919793405146493e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.850000000000000311e-01,9.999995818361639977e-04,-2.652937203251326537e-09,3.509026393294334412e-02,-8.622716984874045920e-10,4.656626195753688080e-10,2.215078909683330932e-14,1.000000000000000000e+00
2.899999999999999800e-01,9.999995818361639977e-04,-2.652983832618360793e-09,3.509026393294334412e-02,-8.613008084523698926e-10,4.666335096104035074e-10,2.215078909683330932e-14,1.000000000000000000e+00
