time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.000000000000000000e+00,1.000000047497451305e-03,0.000000000000000000e+00,1.199901849031448364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.193525418639183044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.177338957786560059e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.151342391967773438e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.115535870194435120e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.069919466972351074e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.014492958784103394e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000666e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.492564201354980469e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000167e-02,1.000000047497451305e-03,0.000000000000000000e+00,8.742099255323410034e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.999999999999999667e-02,1.000000047497451305e-03,0.000000000000000000e+00,7.893535494804382324e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000047497451305e-03,0.000000000000000000e+00,6.946872174739837646e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000006e-01,1.000000047497451305e-03,0.000000000000000000e+00,5.902108922600746155e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,1.000000047497451305e-03,0.000000000000000000e+00,4.759245738387107849e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e-01,1.000000047497451305e-03,0.000000000000000000e+00,3.518283367156982422e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000133e-01,9.999955072999000549e-04,-6.290030274413993538e-09,3.505952283740043640e-02,3.090918632153716317e-09,-4.320425794901439076e-09,-3.955808188069349918e-14,1.000000000000000000e+00
1.499999999999999944e-01,9.999955072999000549e-04,-6.328066515237651402e-09,3.508389368653297424e-02,3.431436912393337479e-09,-4.439087764041005357e-09,-3.975542700487659509e-14,1.000000000000000000e+00
1.600000000000000033e-01,9.999955072999000549e-04,-6.333569224636903527e-09,3.508889675140380859e-02,3.454371011457624263e-09,-4.417400223388767699e-09,-3.975613512442049968e-14,1.000000000000000000e+00
1.700000000000000122e-01,9.999955072999000549e-04,-6.334960556131363774e-09,3.508992493152618408e-02,3.463475284348760397e-09,-4.408299947300520216e-09,-3.975620966331985806e-14,1.000000000000000000e+00
1.799999999999999933e-01,9.999955072999000549e-04,-6.335516111732886202e-09,3.509013354778289795e-02,3.469863507632453548e-09,-4.401911724016827065e-09,-3.975625709716490430e-14,1.000000000000000000e+00
1.900000000000000022e-01,9.999955072999000549e-04,-6.335901137077826206e-09,3.509017825126647949e-02,3.475699283939093220e-09,-4.396076391799397243e-09,-3.975629097848279447e-14,1.000000000000000000e+00
2.000000000000000111e-01,9.999955072999000549e-04,-6.336256408445706256e-09,3.509017825126647949e-02,3.481410937311579801e-09,-4.390364516382305737e-09,-3.975632485980068465e-14,1.000000000000000000e+00
2.099999999999999922e-01,9.999955072999000549e-04,-6.336611679813586306e-09,3.509017825126647949e-02,3.487117483658153105e-09,-4.384657970035732433e-09,-3.975635874111857482e-14,1.000000000000000000e+00
2.200000000000000011e-01,9.999955072999000549e-04,-6.336966951181466357e-09,3.509017825126647949e-02,3.492824030004726410e-09,-4.378951423689159128e-09,-3.975639262243646499e-14,1.000000000000000000e+00
2.300000000000000100e-01,9.999955072999000549e-04,-6.337322222549346407e-09,3.509017825126647949e-02,3.498530576351299715e-09,-4.373244877342585823e-09,-3.975642650375435516e-14,1.000000000000000000e+00
2.399999999999999911e-01,9.999955072999000549e-04,-6.337677493917226457e-09,3.509017825126647949e-02,3.504237122697873019e-09,-4.367538330996012519e-09,-3.975646038507224533e-14,1.000000000000000000e+00
2.500000000000000000e-01,9.999955072999000549e-04,-6.338032765285106507e-09,3.509017825126647949e-02,3.509943669044446324e-09,-4.361831784649439214e-09,-3.975649426639013551e-14,1.000000000000000000e+00
2.600000000000000089e-01,9.999955072999000549e-04,-6.338388036652986557e-09,3.509017825126647949e-02,3.515650215391019628e-09,-4.356125238302865910e-09,-3.975652814770802568e-14,1.000000000000000000e+00
2.700000000000000178e-01,9.999955072999000549e-04,-6.338743308020866607e-09,3.509017825126647949e-02,3.521356761737592933e-09,-4.350418691956292605e-09,-3.975656202902591585e-14,1.000000000000000000e+00
2.800000000000000266e-01,9.999955072999000549e-04,-6.339098579388746657e-09,3.509017825126647949e-02,3.527063308084166238e-09,-4.344712145609719300e-09,-3.975659591034380602e-14,1.000000000000000000e+00
2.899999999999999800e-01,9.999955072999000549e-04,-6.339453850756626707e-09,3.509017825126647949e-02,3.532769854430739542e-09,-4.339005599263145996e-09,-3.975662979166169619e-14,1.000000000000000000e+00
2.999999999999999889e-01,9.999955072999000549e-04,-6.339809122124506757e-09,3.509017825126647949e-02,3.538476400777312847e-09,-4.333299052916572691e-09,-3.975666367297958637e-14,1.000000000000000000e+00
3.099999999999999978e-01,9.999955072999000549e-04,-6.340164393492386807e-09,3.509017825126647949e-02,3.544182947123886152e-09,-4.327592506569999387e-09,-3.975669755429747654e-14,1.000000000000000000e+00
3.200000000000000067e-01,9.999955072999000549e-04,-6.340519664860266857e-09,3.509017825126647949e-02,3.549889493470459456e-09,-4.321885960223426082e-09,-3.975673143561536671e-14,1.000000000000000000e+00
