time_s,cube_z_m,contacts
5.000000000000000104e-04,2.099754750000000156e-02,0.000000000000000000e+00
1.000000000000000021e-03,2.099264250000000206e-02,0.000000000000000000e+00
1.500000000000000031e-03,2.098528500000000283e-02,0.000000000000000000e+00
2.000000000000000042e-03,2.097547500000000384e-02,0.000000000000000000e+00
2.500000000000000052e-03,2.096321250000000511e-02,0.000000000000000000e+00
3.000000000000000062e-03,2.094849750000000663e-02,0.000000000000000000e+00
3.500000000000000073e-03,2.093133000000000493e-02,0.000000000000000000e+00
4.000000000000000083e-03,2.091171000000000349e-02,0.000000000000000000e+00
4.500000000000000527e-03,2.088963750000000230e-02,0.000000000000000000e+00
5.000000000000000971e-03,2.086511250000000137e-02,0.000000000000000000e+00
5.500000000000001416e-03,2.083813500000000069e-02,0.000000000000000000e+00
6.000000000000001860e-03,2.080870500000000026e-02,0.000000000000000000e+00
6.500000000000002304e-03,2.077682250000000008e-02,0.000000000000000000e+00
7.000000000000002748e-03,2.074248750000000016e-02,0.000000000000000000e+00
7.500000000000003192e-03,2.070570000000000049e-02,0.000000000000000000e+00
8.000000000000003636e-03,2.066646000000000108e-02,0.000000000000000000e+00
8.500000000000004080e-03,2.062476750000000192e-02,0.000000000000000000e+00
9.000000000000004524e-03,2.058062250000000301e-02,0.000000000000000000e+00
9.500000000000004968e-03,2.053402500000000436e-02,0.000000000000000000e+00
1.000000000000000541e-02,2.048497500000000596e-02,0.000000000000000000e+00
1.050000000000000586e-02,2.043347250000000434e-02,0.000000000000000000e+00
1.100000000000000630e-02,2.037951750000000298e-02,0.000000000000000000e+00
1.150000000000000674e-02,2.032311000000000187e-02,0.000000000000000000e+00
1.200000000000000719e-02,2.026425000000000101e-02,0.000000000000000000e+00
1.250000000000000763e-02,2.020293750000000041e-02,0.000000000000000000e+00
1.300000000000000808e-02,2.013917250000000006e-02,0.000000000000000000e+00
1.350000000000000852e-02,2.007295499999999996e-02,0.000000000000000000e+00
1.400000000000000897e-02,2.000428500000000012e-02,0.000000000000000000e+00
1.450000000000000941e-02,1.993316250000000053e-02,0.000000000000000000e+00
1.500000000000000985e-02,1.988178564537517248e-02,4.000000000000000000e+00
1.550000000000001030e-02,1.984576372920609372e-02,4.000000000000000000e+00
1.600000000000001074e-02,1.982162281971299594e-02,4.000000000000000000e+00
1.650000000000001119e-02,1.980661757076916663e-02,4.000000000000000000e+00
1.700000000000001163e-02,1.979858160404639189e-02,4.000000000000000000e+00
1.750000000000001207e-02,1.979580869930097631e-02,4.000000000000000000e+00
1.800000000000001252e-02,1.979695838351201373e-02,4.000000000000000000e+00
