time_s,cube_z_m,left_lift_m,right_lift_m,contact_count
0.0,0.020999999716877937,0.0,0.0,0
0.001,0.020990189164876938,-9.732143553264905e-06,-9.726675671117846e-06,512
0.002,0.020970569923520088,-2.911436604335904e-05,-2.9098053346388042e-05,512
0.003,0.02094114013016224,-5.806046101497486e-05,-5.802802479593083e-05,512
0.004,0.02090189978480339,-9.648017294239253e-05,-9.642643271945417e-05,512
0.005,0.020852848887443542,-0.00014427925634663552,-0.00014419913350138813,512
0.006,0.020793989300727844,-0.0002013595512835309,-0.0002012480836128816,512
0.007,0.020725319162011147,-0.0002676190924830735,-0.000267471419647336,512
0.008,0.02064683847129345,-0.00034295214572921395,-0.0003427635529078543,512
0.009000000000000001,0.020558549091219902,-0.00042724935337901115,-0.00042701521306298673,512
0.01,0.020460449159145355,-0.000520397734362632,-0.0005201135645620525,512
0.011,0.02035253867506981,-0.0006222808733582497,-0.000621942279394716,512
0.012,0.020234819501638412,-0.0007327788625843823,-0.0007323816535063088,512
0.013000000000000001,0.020107289776206017,-0.000851768534630537,-0.0008513085776939988,512
0.014,0.01996994949877262,-0.0009791235206648707,-0.0009785968577489257,512
0.015,0.019959257915616035,-0.0011147141922265291,-0.001114116981625557,512
0.016,0.01995832286775112,-0.0012541241012513638,-0.0012534557608887553,512
0.017,0.019958140328526497,-0.001397077227011323,-0.0013963374076411128,512
0.018000000000000002,0.019958017393946648,-0.001543304417282343,-0.0015424928860738873,512
0.019,0.019957901909947395,-0.0016925431555137038,-0.0016916599124670029,512
0.02,0.019957788288593292,-0.0018445380264893174,-0.001843583188019693,512
0.021,0.01995767652988434,-0.0019990403670817614,-0.001998014049604535,512
0.022,0.019957566633820534,-0.0021558082662522793,-0.002154710702598095,512
0.023,0.01995745860040188,-0.0023146066814661026,-0.0023134383372962475,512
0.024,0.019957352429628372,-0.002475207205861807,-0.0024739685468375683,512
0.025,0.019957248121500015,-0.0026373884174972773,-0.002636080142110586,512
0.026000000000000002,0.01995714381337166,-0.0028009354136884212,-0.002799557987600565,512
0.027,0.01995704136788845,-0.0029656398110091686,-0.002964193932712078,512
0.028,0.019956940785050392,-0.003131300210952759,-0.003129786578938365,512
0.029,0.019956842064857483,-0.0032977217342704535,-0.0032961410470306873,512
0.03,0.019956745207309723,-0.003464715788140893,-0.003463068511337042,512
0.031,0.019956650212407112,-0.00363210029900074,-0.003630387131124735,512
0.032,0.01995655708014965,-0.0037996997125446796,-0.0037979211192578077,512
0.033,0.019956465810537338,-0.003967344295233488,-0.003965500742197037,512
0.034,0.019956374540925026,-0.004134871531277895,-0.004132963251322508,512
0.035,0.019956285133957863,-0.00430212402716279,-0.004300151485949755,512
0.036000000000000004,0.01995619758963585,-0.004468950908631086,-0.00446691457182169,512
0.037,0.019956111907958984,-0.004635207820683718,-0.00463310768827796,512
0.038,0.01995602808892727,-0.004800755530595779,-0.00479859160259366,512
0.039,0.019955944269895554,-0.004965460859239101,-0.004963233135640621,512
0.04,0.019955862313508987,-0.005129196681082249,-0.005126905161887407,512
0.041,0.01995578221976757,-0.005291840992867947,-0.005289485678076744,512
0.042,0.019955702126026154,-0.005453278310596943,-0.005450858268886805,512
0.043000000000000003,0.019955623894929886,-0.005613397806882858,-0.005610912572592497,512
0.044,0.019955547526478767,-0.005772093776613474,-0.005769542884081602,512
0.045,0.01995547115802765,-0.005929266568273306,-0.005926649086177349,512
0.046,0.01995539665222168,-0.006084821652621031,-0.006082136183977127,512
0.047,0.01995532400906086,-0.006238669157028198,-0.006235914770513773,512
0.048,0.01995525136590004,-0.006390724331140518,-0.0063878996297717094,512
0.049,0.01995518058538437,-0.006540907081216574,-0.00653801066800952,512
0.05,0.019955111667513847,-0.006689142901450396,-0.0066861724480986595,512
0.051000000000000004,0.019955042749643326,-0.006835361011326313,-0.006832314655184746,512
0.052000000000000005,0.019954975694417953,-0.006979495286941528,-0.006976371165364981,512
0.053,0.01995491050183773,-0.007121484726667404,-0.007118280045688152,512
0.054,0.019954845309257507,-0.007261272054165602,-0.007257984485477209,512
0.055,0.019954781979322433,-0.007398804184049368,-0.007395431399345398,512
0.056,0.01995471864938736,-0.007534032687544823,-0.007530571427196264,512
0.057,0.019954657182097435,-0.007666913326829672,-0.0076633598655462265,512
0.058,0.01995459571480751,-0.007797404658049345,-0.007793756201863289,512
0.059000000000000004,0.019954536110162735,-0.007925470359623432,-0.00792172271758318,512
0.06,0.01995447650551796,-0.008051076903939247,-0.008047226816415787,512
0.061,0.019954418763518333,-0.008174194023013115,-0.008170237764716148,512
0.062,0.019954361021518707,-0.008294796571135521,-0.008290729485452175,512
0.063,0.01995430514216423,-0.0084128612652421,-0.008408678695559502,512
0.064,0.019954249262809753,-0.008528368547558784,-0.008524066768586636,512
0.065,0.019954195246100426,-0.008641302585601807,-0.00863687600940466,512
0.066,0.019954141229391098,-0.008751650340855122,-0.008747093379497528,512
0.067,0.01995408907532692,-0.008859400637447834,-0.008854709565639496,512
0.068,0.01995403692126274,-0.008964546956121922,-0.008959716185927391,512
0.069,0.019953986629843712,-0.009067084640264511,-0.009062107652425766,512
0.07,0.019953936338424683,-0.009167011827230453,-0.009161883033812046,512
0.07100000000000001,0.019953887909650803,-0.009264329448342323,-0.009259042330086231,512
0.07200000000000001,0.019953839480876923,-0.009359040297567844,-0.00935358926653862,512
0.073,0.019953792914748192,-0.009451149962842464,-0.009445528499782085,512
0.074,0.01995374634861946,-0.009540666826069355,-0.009534868411719799,512
0.075,0.01995369978249073,-0.009627600200474262,-0.009621618315577507,512
0.076,0.01995365507900715,-0.00971196312457323,-0.00970579031854868,512
0.077,0.019953610375523567,-0.00979376956820488,-0.00978739932179451,512
0.078,0.019953567534685135,-0.009873035363852978,-0.009866460226476192,512
0.079,0.019953524693846703,-0.009949778206646442,-0.00994299165904522,512
0.08,0.01995348185300827,-0.010024018585681915,-0.010017012245953083,512
0.081,0.019953440874814987,-0.010095777921378613,-0.010088544338941574,512
0.082,0.019953399896621704,-0.010165078565478325,-0.010157610289752483,512
0.083,0.01995335891842842,-0.010231945663690567,-0.010224235244095325,512
0.084,0.019953319802880287,-0.010296405293047428,-0.010288444347679615,512
0.085,0.019953280687332153,-0.010358484461903572,-0.01035026554018259,512
0.08600000000000001,0.01995324157178402,-0.010418212041258812,-0.01040972676128149,512
