time_s,cube_z_m,left_lift_m,right_lift_m,contact_count
0.0,0.10100000351667404,0.0,0.0,0
0.0005,0.10099755972623825,-2.443045332256588e-06,-2.443045332256588e-06,512
0.001,0.10099268704652786,-7.319413271034136e-06,-7.319413271034136e-06,512
0.0015,0.10098538547754288,-1.4619116882386152e-05,-1.4619116882386152e-05,512
0.002,0.10097566992044449,-2.4331904569407925e-05,-2.4331904569407925e-05,512
0.0025,0.10096355527639389,-3.6447265301831067e-05,-3.6447265301831067e-05,512
0.003,0.10094904899597168,-5.095443339087069e-05,-5.095443339087069e-05,512
0.0035,0.10093215852975845,-6.78423821227625e-05,-6.78423821227625e-05,512
0.004,0.1009128987789154,-8.709983376320451e-05,-8.709983376320451e-05,512
0.0045000000000000005,0.10089128464460373,-0.00010871524864342064,-0.00010871524864342064,512
0.005,0.10086732357740402,-0.00013267685426399112,-0.00013267685426399112,512
0.0055,0.10084103047847748,-0.00015897263074293733,-0.00015897263074293733,512
0.006,0.1008124127984047,-0.00018759031081572175,-0.00018759031081572175,512
0.006500000000000001,0.10078148543834686,-0.000218517379835248,-0.000218517379835248,512
0.007,0.10074826329946518,-0.000251741090323776,-0.000251741090323776,512
0.0075,0.10071275383234024,-0.0002872484619729221,-0.0002872484619729221,512
0.008,0.10067497938871384,-0.0003250262525398284,-0.0003250262525398284,512
0.0085,0.10063494741916656,-0.000365061016054824,-0.000365061016054824,512
0.009000000000000001,0.10059267282485962,-0.0004073391028214246,-0.0004073391028214246,512
0.0095,0.1005481630563736,-0.00045184657210484147,-0.00045184657210484147,512
0.01,0.10050144046545029,-0.0004985693376511335,-0.0004985693376511335,512
0.0105,0.10045251995325089,-0.0005474929930642247,-0.0005474929930642247,512
0.011,0.10040140897035599,-0.0005986029864288867,-0.0005986029864288867,512
0.0115,0.10034812986850739,-0.0006518845329992473,-0.0006518845329992473,512
0.012,0.10029269009828568,-0.0007073226734064519,-0.0007073226734064519,512
0.0125,0.10023511201143265,-0.0007649021572433412,-0.0007649021572433412,512
0.013000000000000001,0.1001754030585289,-0.000824607559479773,-0.000824607559479773,512
0.0135,0.10011358559131622,-0.0008864232804626226,-0.0008864232804626226,512
0.014,0.10004967451095581,-0.0009503334877081215,-0.0009503334877081215,512
0.0145,0.09998368471860886,-0.0010163221741095185,-0.0010163221741095185,512
0.015,0.09991563111543655,-0.0010843730997294188,-0.0010843730997294188,512
0.0155,0.0998455360531807,-0.0011544699082151055,-0.0011544699082151055,512
0.016,0.09977340698242188,-0.0012265959521755576,-0.0012265959521755576,512
0.0165,0.09969926625490189,-0.001300734467804432,-0.001300734467804432,512
0.017,0.09962312877178192,-0.0013768683420494199,-0.0013768683420494199,512
0.0175,0.09954501688480377,-0.0014549805782735348,-0.0014549805782735348,512
0.018000000000000002,0.09946494549512863,-0.0015350537141785026,-0.0015350537141785026,512
0.0185,0.0993829295039177,-0.0016170702874660492,-0.0016170702874660492,512
0.019,0.09929898381233215,-0.001701012603007257,-0.001701012603007257,512
0.0195,0.0992131307721138,-0.0017868628492578864,-0.0017868628492578864,512
0.02,0.09912539273500443,-0.0018746029818430543,-0.0018746029818430543,512
0.0205,0.09903577715158463,-0.001964214723557234,-0.001964214723557234,512
0.021,0.09894431382417679,-0.0020556796807795763,-0.0020556796807795763,512
0.021500000000000002,0.09885101020336151,-0.002148979576304555,-0.002148979576304555,512
0.022,0.09875589609146118,-0.0022440955508500338,-0.0022440955508500338,512
0.0225,0.098658986389637,-0.002341008745133877,-0.002341008745133877,512
0.023,0.09856029599905014,-0.002439700299873948,-0.002439700299873948,512
0.0235,0.09845984727144241,-0.0025401508901268244,-0.0025401508901268244,512
0.024,0.098357655107975,-0.002642341423779726,-0.002642341423779726,512
0.0245,0.09825374186038971,-0.002746252343058586,-0.002746252343058586,512
0.025,0.09814812988042831,-0.0028518643230199814,-0.0028518643230199814,512
0.025500000000000002,0.09804083406925201,-0.0029591573402285576,-0.0029591573402285576,512
0.026000000000000002,0.0979318767786026,-0.003068111836910248,-0.003068111836910248,512
0.0265,0.09782128036022186,-0.003178707789629698,-0.003178707789629698,512
0.027,0.097709059715271,-0.0032909251749515533,-0.0032909251749515533,512
0.0275,0.09759524464607239,-0.0034047437366098166,-0.0034047437366098166,512
0.028,0.09747984260320663,-0.003520142985507846,-0.003520142985507846,512
0.0285,0.09736288338899612,-0.0036371026653796434,-0.0036371026653796434,512
0.029,0.09724438190460205,-0.003755602054297924,-0.003755602054297924,512
0.029500000000000002,0.0971243605017662,-0.003875620663166046,-0.003875620663166046,512
0.03,0.09700284153223038,-0.0039971377700567245,-0.0039971377700567245,512
0.0305,0.09687984734773636,-0.00412013242021203,-0.00412013242021203,512
0.031,0.09675539284944534,-0.004244583193212748,-0.004244583193212748,512
0.0315,0.09662950783967972,-0.0043704695999622345,-0.0043704695999622345,512
0.032,0.09650220721960068,-0.004497770220041275,-0.004497770220041275,512
0.0325,0.09637351334095001,-0.004626463633030653,-0.004626463633030653,512
0.033,0.09624344855546951,-0.004756528418511152,-0.004756528418511152,512
0.0335,0.09611203521490097,-0.004887943621724844,-0.004887943621724844,512
0.034,0.09597928822040558,-0.005020687356591225,-0.005020687356591225,512
0.0345,0.09584523737430573,-0.005154737737029791,-0.005154737737029791,512
0.035,0.0957099050283432,-0.0052900733426213264,-0.0052900733426213264,512
0.035500000000000004,0.0955733060836792,-0.005426672287285328,-0.005426672287285328,512
0.036000000000000004,0.09543546289205551,-0.005564513150602579,-0.005564513150602579,512
0.0365,0.09529640525579453,-0.005703573580831289,-0.005703573580831289,512
0.037,0.09515614807605743,-0.005843831691890955,-0.005843831691890955,512
0.0375,0.09501471370458603,-0.005985265132039785,-0.005985265132039785,512
0.038,0.0948721244931221,-0.006127852015197277,-0.006127852015197277,512
0.0385,0.09472840279340744,-0.006271569989621639,-0.006271569989621639,512
0.039,0.09458357840776443,-0.0064163971692323685,-0.0064163971692323685,512
0.0395,0.09443766623735428,-0.006562311202287674,-0.006562311202287674,512
0.04,0.09429068863391876,-0.006709289737045765,-0.006709289737045765,512
0.0405,0.09414266794919968,-0.006857309956103563,-0.006857309956103563,512
0.041,0.09399362653493881,-0.007006349973380566,-0.007006349973380566,512
0.0415,0.09384358674287796,-0.007156386971473694,-0.007156386971473694,512
0.042,0.09369257092475891,-0.007307398598641157,-0.007307398598641157,512
