engine,mujoco_version,gravity,force_N,mass_kg,ke_target_N_m,dt_ms,solimp_d,solref_stiffness_s_2,solref_damping_s_1,target_delta_mm,sim_delta_mm,hold_mean_delta_mm,hold_mean_normal_force_N,R_k,relative_error,keff_N_m,peak_delta_mm,final_speed_max_m_s,tail_speed_max_m_s,finite,wall_s
mujoco,3.12.0,False,10.0,1.0,10000.0,0.01,0.9,999.9999999999998,63.24555320336758,1.0,0.0020094559657762856,0.0029580550346583593,10.000011177166872,0.002958055034658359,0.9970419449653416,3380603.4911456015,0.042749487359626526,0.00032291305930940556,0.007651876085360887,True,7.234117249987321
mujoco,3.12.0,False,10.0,1.0,10000.0,0.025,0.9,999.9999999999998,63.24555320336758,1.0,0.008652509567219635,0.005757002989601009,10.000089658334867,0.005757002989601009,0.994242997010399,1737030.4786011453,1.1626572506575443,0.001860428615188935,0.02373897244838799,True,2.8321849170024507
mujoco,3.12.0,False,10.0,1.0,10000.0,0.05,0.9,999.9999999999998,63.24555320336758,1.0,0.0048003019650529055,0.005055119505103671,10.00007885001156,0.005055119505103671,0.9949448804948964,1978208.198622295,0.28281946399276103,0.0007672198787583152,0.013440465092434708,True,1.4508249159844127
mujoco,3.12.0,False,10.0,1.0,10000.0,0.1,0.9,999.9999999999998,63.24555320336758,1.0,0.010160121709158754,0.010250175290839388,10.001169131583138,0.010250175290839388,0.9897498247091606,975707.1316157113,2.732698272741748,0.0009609479743310143,0.03531994171533526,True,0.6828712499991525
mujoco,3.12.0,False,10.0,1.0,100000.0,0.01,0.9,9999.999999999998,199.99999999999997,0.1,0.00011252705540976127,0.0009382711426676532,10.000335940940968,0.009382711426676531,0.9906172885733234,10658258.030305006,0.042443542674686086,0.00017069818040499178,0.01882096044859953,True,7.198182749998523
mujoco,3.12.0,False,10.0,1.0,100000.0,0.025,0.9,9999.999999999998,199.99999999999997,0.1,0.0011368833580313598,0.0016549628552116739,9.999731539483264,0.016549628552116738,0.9834503714478833,6042269.473295383,0.12876701333273954,0.00034903436992832345,0.03725594714115506,True,2.8603480419842526
mujoco,3.12.0,False,10.0,1.0,100000.0,0.05,0.9,9999.999999999998,199.99999999999997,0.1,0.0004236044189066812,0.005010009747612793,10.000184508661825,0.050100097476127925,0.9498999025238721,1996040.9285484499,0.9395568128735543,0.0003699072165648934,0.2570803010126874,True,1.3812647080048919
mujoco,3.12.0,False,10.0,1.0,100000.0,0.1,0.9,9999.999999999998,199.99999999999997,0.1,5.332438639954473e-05,0.0022512198972556075,9.99996366802626,0.022512198972556074,0.9774878010274439,4442019.937819893,6.660891699567053,2.0044607798937878e-05,0.05435230011737475,True,0.615201208012877
mujoco,3.12.0,False,10.0,1.0,1000000.0,0.01,0.9,99999.99999999997,632.4555320336758,0.01,8.434208467744675e-05,0.0004397585848287389,10.000062498445544,0.04397585848287388,0.9560241415171261,22739891.48464266,0.07355639531324981,0.00015605821267527639,0.09606828833722286,True,7.143704749993049
mujoco,3.12.0,False,10.0,1.0,1000000.0,0.025,0.9,99999.99999999997,632.4555320336758,0.01,3.104695996125617e-05,0.0002601604225111232,9.99986353157576,0.026016042251112318,0.9739839577488877,38437297.39925455,0.08415956122907742,0.0033841492089367615,0.038446500011070896,True,2.9195960000215564
mujoco,3.12.0,False,10.0,1.0,1000000.0,0.05,0.9,99999.99999999997,632.4555320336758,0.01,3.528069606947848e-05,0.000250395317995776,9.9999589035743,0.025039531799577602,0.9749604682004224,39936684.85344039,0.17021495622554852,4.570764427067295e-05,0.009658463451251901,True,1.4204292919894215
mujoco,3.12.0,False,10.0,1.0,1000000.0,0.1,0.9,99999.99999999997,632.4555320336758,0.01,1.8735013540549517e-13,0.0005699298107590615,10.000248338580425,0.05699298107590615,0.9430070189240939,17546455.984223012,0.11936216852688475,9.446551710563995e-15,0.16044231813489562,True,0.72133945801761
mujoco,3.12.0,False,10.0,1.0,10000000.0,0.01,0.9,999999.9999999998,1999.9999999999998,0.001,3.1224253807526914e-06,4.093535305404919e-05,9.999992071986732,0.040935353054049196,0.9590646469459508,244287427.02629665,0.07790363778112722,2.263852844077855e-05,0.13979059586865844,True,7.030784708011197
mujoco,3.12.0,False,10.0,1.0,10000000.0,0.025,0.9,999999.9999999998,1999.9999999999998,0.001,1.8760915734133965e-05,4.4632567068019456e-05,10.000013583897333,0.044632567068019456,0.9553674329319806,224051947.7326375,0.031093701138990015,0.00012132309555321655,0.011038488090009723,True,2.9139835409878287
mujoco,3.12.0,False,10.0,1.0,10000000.0,0.05,0.9,999999.9999999998,1999.9999999999998,0.001,1.4192652608713274e-07,8.00554444964522e-05,10.000000142362971,0.0800554444964522,0.9199445555035478,124913429.75187826,0.05794577387639374,3.4779396234326756e-07,0.16644856599825864,True,1.8110547499964014
mujoco,3.12.0,False,10.0,1.0,10000000.0,0.1,0.9,999999.9999999998,1999.9999999999998,0.001,0.00035885632138771273,5.190031026096053e-05,10.000034116752756,0.051900310260960536,0.9480996897390395,192677732.87811714,1.3787643361076116,0.00028855845069029196,0.01499995805863413,True,0.5577340000018012
mujoco,3.12.0,False,10.0,1.0,100000000.0,0.01,0.9,9999999.999999998,6324.555320336758,9.999999999999999e-05,8.232513483419357e-06,1.1508849343374385e-05,10.000022566212456,0.11508849343374386,0.8849115065662562,868898555.1774073,0.006299013970912509,1.132512135769828e-05,0.194478869248512,True,7.748133332992438
mujoco,3.12.0,False,10.0,1.0,100000000.0,0.025,0.9,9999999.999999998,6324.555320336758,9.999999999999999e-05,2.651728142621934e-08,6.055721462780491e-05,9.999999715273157,0.6055721462780491,0.3944278537219509,165133085.73940992,0.07228957240299275,8.641206582740346e-07,1.1018044120996955,True,2.886393249995308
mujoco,3.12.0,False,10.0,1.0,100000000.0,0.05,0.9,9999999.999999998,6324.555320336758,9.999999999999999e-05,0.0,0.00019036450691131343,10.730247380187043,1.9036450691131344,0.9036450691131344,56366848.81171691,0.09901077693859686,2.8648861871894655,11.321295584529919,True,1.4974875840125605
mujoco,3.12.0,False,10.0,1.0,100000000.0,0.1,0.9,9999999.999999998,6324.555320336758,9.999999999999999e-05,1.0408340855860843e-14,1.0408340855860843e-14,10.0,1.0408340855860843e-10,0.9999999998959166,9.607679205057059e+17,0.1842968820762042,1.4480809374863557e-14,1.4481164646231437e-14,True,0.569055500003742
mujoco,3.12.0,False,10.0,1.0,1000000000.0,0.01,0.9,99999999.99999999,20000.0,1e-05,4.494665785392815e-07,7.729751997007338e-05,9.993744498185409,7.729751997007337,6.729751997007337,129289329.10207988,0.012833173843748713,0.031297938676071974,4.716651073008489,True,5.589972957997816
mujoco,3.12.0,False,10.0,1.0,1000000000.0,0.025,0.9,99999999.99999999,20000.0,1e-05,1.0408340855860843e-14,1.0408340855860843e-14,10.0,1.0408340855860843e-09,0.9999999989591659,9.607679205057059e+17,0.004832932252549216,5.141671196572997e-14,5.141688960141394e-14,True,2.576060999999754
