ke_target_N_m,dt_ms,solimp_d,solref_stiffness_s_2,force_N,target_delta_mm,mean_normal_force_N,mean_delta_mm,R_k,relative_error,keff_N_m,tail_speed_max_m_s,wall_s
10000.0,0.01,0.9,999.9999999999998,10.0,1.0,10.0,1.0000000000004938,1.0000000000004938,4.938272013532696e-13,9999.999999995061,6.046177396765353e-15,1.2618718330049887
10000.0,0.025,0.9,999.9999999999998,10.0,1.0,10.0,1.0000000000006855,1.0000000000006855,6.854516954035716e-13,9999.999999993146,2.6620777906436995e-15,0.4980346670199651
10000.0,0.05,0.9,999.9999999999998,10.0,1.0,10.0,1.0000000000007454,1.0000000000007452,7.451816941284051e-13,9999.999999992548,2.093272037219251e-15,0.2567506250052247
10000.0,0.1,0.9,999.9999999999998,10.0,1.0,10.0,1.0000000000007556,1.0000000000007556,7.556177905598815e-13,9999.999999992442,1.0157528106446992e-15,0.1280472920043394
100000.0,0.01,0.9,9999.999999999998,10.0,0.1,10.0,0.10000000000006938,1.0000000000006937,6.936673457857978e-13,99999.99999993062,5.320665732060855e-16,1.256101332983235
100000.0,0.025,0.9,9999.999999999998,10.0,0.1,10.0,0.10000000000008276,1.0000000000008276,8.275602425555917e-13,99999.99999991724,3.24596773674022e-17,0.49213908301317133
100000.0,0.05,0.9,9999.999999999998,10.0,0.1,10.0,0.10000000000008287,1.0000000000008287,8.286704655802168e-13,99999.99999991714,4.6422264747011177e-17,0.24550341599388048
100000.0,0.1,0.9,9999.999999999998,10.0,0.1,10.0,0.10000000000008276,1.0000000000008276,8.275602425555917e-13,99999.99999991724,5.1474184139978436e-17,0.1222178750031162
1000000.0,0.01,0.9,99999.99999999997,10.0,0.01,10.0,0.009999999999999563,0.9999999999999563,4.374278717023117e-14,1000000.0000000437,6.144479566753779e-17,1.2433286659943406
1000000.0,0.025,0.9,99999.99999999997,10.0,0.01,10.0,0.009999999999999579,0.9999999999999578,4.218847493575595e-14,1000000.0000000421,1.9730131265511055e-17,0.49320166601683013
1000000.0,0.05,0.9,99999.99999999997,10.0,0.01,10.0,0.009999999999999589,0.9999999999999588,4.118927421359331e-14,1000000.0000000411,4.0011541847965805e-18,0.24728129198774695
1000000.0,0.1,0.9,99999.99999999997,10.0,0.01,10.0,0.009999999999997322,0.9999999999997322,2.6778579353958776e-13,1000000.0000002678,1.4111465086012339e-16,0.12472154200077057
10000000.0,0.01,0.9,999999.9999999998,10.0,0.001,10.0,0.0009999999999975324,0.9999999999975324,2.467581694531873e-12,10000000.000024676,8.189624440408437e-17,1.2515932920214254
10000000.0,0.025,0.9,999999.9999999998,10.0,0.001,10.0,0.0009999999999975345,0.9999999999975345,2.465472270785085e-12,10000000.000024656,9.603486448845213e-17,0.5074227080040146
10000000.0,0.05,0.9,999999.9999999998,10.0,0.001,10.0,0.0009999999999975447,0.9999999999975449,2.455147196656071e-12,10000000.000024552,2.398706007272587e-16,0.25443866598652676
10000000.0,0.1,0.9,999999.9999999998,10.0,0.001,10.0,0.0009999999999975601,0.9999999999975602,2.439826118916244e-12,10000000.000024399,4.2382146314508897e-16,0.12782058300217614
100000000.0,0.01,0.9,9999999.999999998,10.0,9.999999999999999e-05,10.000000000000002,9.999999999940724e-05,0.9999999999940725,5.927480728473711e-12,100000000.00059277,1.0701381777829037e-15,1.3018304589786567
100000000.0,0.025,0.9,9999999.999999998,10.0,9.999999999999999e-05,10.000000000000004,9.999999999941162e-05,0.9999999999941163,5.88373794130348e-12,100000000.00058842,1.8798699746198443e-15,0.511119000002509
100000000.0,0.05,0.9,9999999.999999998,10.0,9.999999999999999e-05,10.000000000000004,9.999999999941783e-05,0.9999999999941783,5.821676474226933e-12,100000000.0005822,2.6080210451387775e-15,0.2556478330225218
100000000.0,0.1,0.9,9999999.999999998,10.0,9.999999999999999e-05,9.999999999999986,9.999999999947377e-05,0.9999999999947378,5.262235092118317e-12,100000000.00052609,5.0873814556707566e-15,0.12761816702550277
1000000000.0,0.01,0.9,99999999.99999999,10.0,1e-05,10.000000000000016,9.999999998239666e-06,0.9999999998239667,1.7603329904858356e-10,1000000000.1760349,7.28912967807709e-15,1.2851245410274714
1000000000.0,0.025,0.9,99999999.99999999,10.0,1e-05,9.999999999999991,9.999999998303086e-06,0.9999999998303085,1.6969148308731974e-10,1000000000.1696906,1.1211197249605014e-14,0.5185137499938719
1000000000.0,0.05,0.9,99999999.99999999,10.0,1e-05,10.00000000000007,9.999999998654145e-06,0.9999999998654144,1.3458556491485751e-10,1000000000.1345925,2.6317784515526837e-14,0.2550404579960741
1000000000.0,0.1,0.9,99999999.99999999,10.0,1e-05,0.0,0.0,0.0,1.0,inf,3.00710927000891,0.06902058399282396
