engine,device,ke_target_N_m,ke_shape_N_m,tau_pair_ms,tau_shape_ms,dt_ms,force_N,rigid_gap_mm,target_delta_mm,mean_delta_mm,R_k,relative_error,tail_speed_max_m_s,peak_phi0_pen_mm,wall_s
sap_warp,cuda:0,10000.0,20000.0,3.0,1.5,0.01,10.0,0.0,1.0,1.0000459849834469,1.0000459849834469,4.59849834468784e-05,1.519288525742013e-05,1.00698322057724,1823.6333287350008
sap_warp,cuda:0,10000.0,20000.0,3.0,1.5,0.025,10.0,0.0,1.0,1.0000161826610592,1.0000161826610592,1.618266105918309e-05,5.265259460429661e-06,1.00741907954216,755.9403811339998
sap_warp,cuda:0,10000.0,20000.0,3.0,1.5,0.05,10.0,0.0,1.0,0.9998895227909116,0.9998895227909116,0.00011047720908841097,3.630647188401781e-05,1.0077022016048431,374.3749489110014
sap_warp,cuda:0,10000.0,20000.0,3.0,1.5,0.1,10.0,0.0,1.0,1.000031083822253,1.000031083822253,3.1083822253030746e-05,1.0588776603981387e-05,1.0075382888317108,185.58393788099966
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.01,10.0,0.0,0.1,0.09944587945938388,0.9944587945938388,0.005541205406161209,0.00018390889454167336,0.0994466245174408,1820.7475494819992
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.025,10.0,0.0,0.1,0.09978488087654391,0.9978488087654391,0.0021511912345608675,7.090062717907131e-05,0.09978562593460083,779.3585886409983
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.05,10.0,0.0,0.1,0.10009035468101779,1.000903546810178,0.0009035468101779021,2.983621925523039e-05,0.10009109973907471,389.81093991799935
sap_warp,cuda:0,100000.0,200000.0,3.0,1.5,0.1,10.0,0.0,0.1,0.1000307500362424,1.000307500362424,0.0003075003624239958,1.0190919965680223e-05,0.10008737444877625,190.81973988100071
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.01,10.0,0.0,0.01,0.009439140558245573,0.9439140558245572,0.05608594417544277,0.0001860908669186756,0.00943988561630249,1915.3212904269985
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.025,10.0,0.0,0.01,0.009774416685107146,0.9774416685107145,0.022558331489285544,7.432982238242403e-05,0.009775161743164062,828.199818551002
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.05,10.0,0.0,0.01,0.009886175394061003,0.9886175394061002,0.011382460593899801,3.7078210880281404e-05,0.00988692045211792,416.6608341630017
sap_warp,cuda:0,1000000.0,2000000.0,3.0,1.5,0.1,10.0,0.0,0.01,0.009945780038836394,0.9945780038836393,0.005421996116360739,1.72529362316709e-05,0.00994652509689331,210.34698598500108
sap_warp,cuda:0,10000000.0,20000000.0,3.0,1.5,0.01,10.0,0.0,0.001,0.00043883919716158903,0.43883919716158903,0.561160802838411,0.00018618418835103512,0.00043958425521850586,1921.5629179489988
sap_warp,cuda:0,10000000.0,20000000.0,3.0,1.5,0.025,10.0,0.0,0.001,0.0007741153240231613,0.7741153240231613,0.2258846759768387,7.442606147378683e-05,0.0007748603820800781,829.6778773109982
sap_warp,cuda:0,10000000.0,20000000.0,3.0,1.5,0.05,10.0,0.0,0.001,0.0008858740329770187,0.8858740329770187,0.11412596702298128,3.717387517099269e-05,0.0008866190910339355,426.14411399600067
sap_warp,cuda:0,10000000.0,20000000.0,3.0,1.5,0.1,10.0,0.0,0.001,0.0009417533874539474,0.9417533874539474,0.05824661254605257,1.8548849766375497e-05,0.0009424984455108643,214.7761814930018
sap_warp,cuda:0,100000000.0,200000000.0,3.0,1.5,0.01,10.0,0.0,9.999999999999999e-05,0.0,0.0,1.0,3.322258999105543e-05,0.0,1921.9089308069997
sap_warp,cuda:0,100000000.0,200000000.0,3.0,1.5,0.025,10.0,0.0,9.999999999999999e-05,0.0,0.0,1.0,3.3057862310670316e-05,0.0,797.9820936079996
sap_warp,cuda:0,100000000.0,200000000.0,3.0,1.5,0.05,10.0,0.0,9.999999999999999e-05,0.0,0.0,1.0,3.278689837316051e-05,0.0,417.1638691629996
sap_warp,cuda:0,100000000.0,200000000.0,3.0,1.5,0.1,10.0,0.0,9.999999999999999e-05,4.3958425524626143e-05,0.43958425524626143,0.5604157447537386,1.783761035767384e-05,4.470348358154297e-05,217.45662713600177
sap_warp,cuda:0,1000000000.0,2000000000.0,3.0,1.5,0.01,10.0,0.0,1e-05,0.0,0.0,1.0,3.3222597721760394e-06,0.0,1883.9857516459997
sap_warp,cuda:0,1000000000.0,2000000000.0,3.0,1.5,0.025,10.0,0.0,1e-05,0.0,0.0,1.0,5.290320586937014e-06,0.0,802.2409265990027
sap_warp,cuda:0,1000000000.0,2000000000.0,3.0,1.5,0.05,10.0,0.0,1e-05,0.0,0.0,1.0,1.0580640264379326e-05,0.0,419.6142589709998
sap_warp,cuda:0,1000000000.0,2000000000.0,3.0,1.5,0.1,10.0,0.0,1e-05,1.0430812838468917e-05,1.0430812838468917,0.043081283846891694,1.755617449816782e-05,1.1175870895385742e-05,216.21459999599756
