section,solver,integrator,cone,dt_s,solref_timeconst_s,solimp_min,solimp_max,steps,mse_velocity_error,elapsed_s,step_rate_hz
A_dt,Newton,Euler,elliptic,0.0005,0.02,0.9,0.95,8000,0.0039510440855076885,1.1366226660029497,7038.395625289456
A_dt,Newton,Euler,elliptic,0.001,0.02,0.9,0.95,4000,0.006926908414994684,0.5920386250072625,6756.315941296791
A_dt,Newton,Euler,elliptic,0.002,0.02,0.9,0.95,2000,0.012593930824314224,0.3601077910134336,5553.892611907948
A_dt,Newton,Euler,elliptic,0.005,0.02,0.9,0.95,800,0.03436259452354922,0.20259762500063516,3948.713613979887
B_solref_timeconst,Newton,Euler,elliptic,0.001,0.004,0.9,0.95,4000,0.007516063925225591,1.607935499996529,2487.6619740086808
B_solref_timeconst,Newton,Euler,elliptic,0.001,0.01,0.9,0.95,4000,0.005940908655987485,1.403920124997967,2849.1649409226843
B_solref_timeconst,Newton,Euler,elliptic,0.001,0.03,0.9,0.95,4000,0.006247596441636884,0.5730465410015313,6980.235833915122
B_solref_timeconst,Newton,Euler,elliptic,0.001,0.06,0.9,0.95,4000,0.0056539015585613615,0.7395482919964707,5408.706967873153
C_solimp_impedance,Newton,Euler,elliptic,0.001,0.02,0.7,0.75,4000,0.0036999962162553657,0.6219501249870518,6431.383867128051
C_solimp_impedance,Newton,Euler,elliptic,0.001,0.02,0.9,0.95,4000,0.006926908414994684,0.6155423750024056,6498.33409110846
C_solimp_impedance,Newton,Euler,elliptic,0.001,0.02,0.98,0.99,4000,0.009462340098508923,2.5348173750098795,1578.0229532253422
