solver,integrator,cone,iterations,dt_s,softness,steps_planned,steps_completed,stable,mse_velocity_error,final_box_speed_error,final_ball_speed_error,max_contacts,step_rate_hz,wall_s
pgs,euler,pyramidal,20,0.0005,default,8000,8000,True,35.344383400566564,13.47007802171448,0.8721463633051374,29,8388.376962779352,0.9537005830206908
pgs,euler,pyramidal,20,0.0005,soft_40ms,8000,8000,True,36.36207860246829,13.752390316472614,0.9038944161834769,29,7398.88898428651,1.0812434160034172
pgs,euler,pyramidal,20,0.0005,stiff_4ms,8000,8000,True,34.182071384033215,13.09922418345478,0.8490872616429638,29,13324.249726296339,0.600409040984232
pgs,euler,pyramidal,20,0.001,default,4000,4000,True,35.28895499684698,13.49017327674407,0.8705284428180213,29,8998.607733374036,0.4445132089895196
pgs,euler,pyramidal,20,0.001,soft_40ms,4000,4000,True,36.145121747955535,13.67895496161062,0.9002879787016514,29,7761.806956427632,0.5153439170098864
pgs,euler,pyramidal,20,0.001,stiff_4ms,4000,4000,True,34.15673929272273,13.040504730405353,0.8551009241976685,29,13579.507164777713,0.29456150002079085
pgs,euler,pyramidal,20,0.002,default,2000,2000,True,35.526617644737186,13.62419074060748,0.8749407989932904,29,8984.399687030707,0.22260808397550136
pgs,euler,pyramidal,20,0.002,soft_40ms,2000,2000,True,35.87258931718018,13.6721824456538,0.8999351468164335,29,6872.10145061416,0.29103179200319573
pgs,euler,pyramidal,20,0.002,stiff_4ms,2000,2000,True,35.0145327850785,13.25682125623586,0.8621641319719562,29,25905.32370775251,0.07720420800615102
pgs,euler,pyramidal,100,0.0005,default,8000,8000,True,35.420483926112546,13.52895960349764,0.8726009374933564,29,3363.222807306507,2.378670834004879
pgs,euler,pyramidal,100,0.0005,soft_40ms,8000,8000,True,36.566370965341726,13.787647598521577,0.9031101581894804,29,2851.3072241235072,2.8057306249975227
pgs,euler,pyramidal,100,0.0005,stiff_4ms,8000,8000,True,34.33908495551093,13.026712902805695,0.8508908496176015,29,5227.761307478497,1.530291750037577
pgs,euler,pyramidal,100,0.001,default,4000,4000,True,35.03762028046162,13.37988434135648,0.8731701711135371,29,3489.649644640449,1.1462468749959953
pgs,euler,pyramidal,100,0.001,soft_40ms,4000,4000,True,36.13878727031984,13.642457023949813,0.9032575671074164,29,2762.9514578611443,1.4477272080257535
pgs,euler,pyramidal,100,0.001,stiff_4ms,4000,4000,True,34.42473273236246,13.115841416676414,0.8500650153468053,29,6034.848613713905,0.6628169579780661
pgs,euler,pyramidal,100,0.002,default,2000,2000,True,34.76618248970786,13.423170894869473,0.9281524226574395,29,3250.860799156616,0.615221666987054
pgs,euler,pyramidal,100,0.002,soft_40ms,2000,2000,True,35.754478380907514,13.578346918012313,0.8946934728376998,29,2650.2754479821792,0.7546385420137085
pgs,euler,pyramidal,100,0.002,stiff_4ms,2000,2000,True,35.552847359098145,13.684364649204866,0.8597829454228769,29,9529.638894215992,0.20987154101021588
pgs,euler,pyramidal,500,0.0005,default,8000,8000,True,35.379891789818444,13.476538618662609,0.8718095479945966,29,1916.7788531198948,4.173668750037905
pgs,euler,pyramidal,500,0.0005,soft_40ms,8000,8000,True,36.56126410299672,13.79783275231238,0.9106384413327591,29,1411.7426058856136,5.666755374986678
pgs,euler,pyramidal,500,0.0005,stiff_4ms,8000,8000,True,34.251297912064665,13.032621951377969,0.8512327659271238,29,3615.0490884762016,2.212971332948655
pgs,euler,pyramidal,500,0.001,default,4000,4000,True,35.27243734637902,13.36262647306853,0.8713246153560086,29,1849.8789328536302,2.1623036669916473
pgs,euler,pyramidal,500,0.001,soft_40ms,4000,4000,True,36.124228541442506,13.74154825942033,0.899805803882232,29,1459.8680005476306,2.739973750023637
pgs,euler,pyramidal,500,0.001,stiff_4ms,4000,4000,True,34.47771977559062,13.179633723998965,0.8512874562602408,29,3758.3118884517794,1.0643076249980368
pgs,euler,pyramidal,500,0.002,default,2000,2000,True,35.29390117037501,13.468195582233319,0.8757044387054826,29,1758.8576165719148,1.1371017080382444
pgs,euler,pyramidal,500,0.002,soft_40ms,2000,2000,True,35.95825229629411,13.651713774982817,0.9057551105148931,29,1376.8172772307405,1.452625582984183
pgs,euler,pyramidal,500,0.002,stiff_4ms,2000,2000,True,36.334237414016286,13.431127467837674,0.8547128669221268,29,6918.404339484335,0.2890839999890886
pgs,euler,elliptic,20,0.0005,default,8000,8000,True,0.004329882498404456,0.058779972257168134,0.09263538536095017,29,5990.278341347895,1.3354972079978324
pgs,euler,elliptic,20,0.0005,soft_40ms,8000,8000,True,0.00454666540808375,0.05257005594237216,0.026789962185741156,29,5069.51024751515,1.578061708016321
pgs,euler,elliptic,20,0.0005,stiff_4ms,8000,8000,True,0.0029140188946426035,0.03348447244259767,0.11153417667490483,29,8783.035019008375,0.9108468749909662
pgs,euler,elliptic,20,0.001,default,4000,4000,True,0.006549516199797127,0.07904903212980031,0.08191960256351952,29,6009.985591182463,0.6655589999863878
pgs,euler,elliptic,20,0.001,soft_40ms,4000,4000,True,0.006954837752498661,0.11770529745519633,0.18136285104810415,29,5160.214720776649,0.7751615419983864
pgs,euler,elliptic,20,0.001,stiff_4ms,4000,4000,True,0.007697188208341205,0.06349053461196365,0.2958988800706414,29,10209.146046420663,0.39180554199265316
pgs,euler,elliptic,20,0.002,default,2000,2000,True,0.013408477318299064,0.08479832880422634,0.11278507036737889,29,6607.294617872886,0.30269575002603233
pgs,euler,elliptic,20,0.002,soft_40ms,2000,2000,True,0.01079399388942939,0.17415389535315992,0.0912469682293575,29,5470.659027483404,0.3655866669723764
pgs,euler,elliptic,20,0.002,stiff_4ms,2000,2000,True,0.0374666684678089,0.07677171111734367,0.36396449990535784,29,16091.350599830244,0.12429037498077378
pgs,euler,elliptic,100,0.0005,default,8000,8000,True,0.0041969449358299745,0.07258624042880195,0.03008574112694579,29,4119.467121118422,1.9419987500295974
pgs,euler,elliptic,100,0.0005,soft_40ms,8000,8000,True,0.0056928627600162166,0.11561428627448955,0.12220340817675919,29,3211.0649548194256,2.4913852919708006
pgs,euler,elliptic,100,0.0005,stiff_4ms,8000,8000,True,0.002872345213631909,0.015420311224358755,0.24117463754810636,29,7377.285200881661,1.0844097499502823
pgs,euler,elliptic,100,0.001,default,4000,4000,True,0.007434783282748206,0.05267688399029015,0.05384177699684993,29,3964.988984762167,1.0088300409843214
pgs,euler,elliptic,100,0.001,soft_40ms,4000,4000,True,0.0050839942104627615,0.1657702813071139,0.04134220128113179,29,3095.2319692779997,1.292310249991715
pgs,euler,elliptic,100,0.001,stiff_4ms,4000,4000,True,0.00896684612335011,0.07462997833127122,0.011995872112316877,29,8255.918326367235,0.4845009170239791
pgs,euler,elliptic,100,0.002,default,2000,2000,True,0.013739999047256474,0.13895492131775034,0.07063088403695789,29,3891.3792841608833,0.5139565829886124
pgs,euler,elliptic,100,0.002,soft_40ms,2000,2000,True,0.010482036644021094,0.07998782696188252,0.07979140588950394,29,2800.0112947578737,0.7142828329815529
pgs,euler,elliptic,100,0.002,stiff_4ms,2000,2000,True,0.057216917306545274,0.15589901953497542,0.20484033653891562,29,11594.749027262664,0.1724918750114739
pgs,euler,elliptic,500,0.0005,default,8000,8000,True,0.004196944930005925,0.07258624045914057,0.030085740513934305,29,3964.14341501298,2.0180904580047354
pgs,euler,elliptic,500,0.0005,soft_40ms,8000,8000,True,0.00569286275214371,0.11561428544062304,0.12220340783441946,29,3128.0193732664006,2.5575289169792086
pgs,euler,elliptic,500,0.0005,stiff_4ms,8000,8000,True,0.0028723452139799346,0.015420311213121343,0.2411746376342587,29,7479.852899378767,1.069539749994874
pgs,euler,elliptic,500,0.001,default,4000,4000,True,0.007434783267049977,0.05267688398564063,0.053841775074301046,29,3889.62728654986,1.0283761669998057
pgs,euler,elliptic,500,0.001,soft_40ms,4000,4000,True,0.005083994189596716,0.16577028061590465,0.041342202460103936,29,2917.229980717708,1.3711637500091456
pgs,euler,elliptic,500,0.001,stiff_4ms,4000,4000,True,0.008966852532755965,0.07463099624231619,0.01199605881702988,29,8010.640132175673,0.4993358750361949
pgs,euler,elliptic,500,0.002,default,2000,2000,True,0.0137399990539263,0.13895492410137744,0.07063088562781146,29,3759.3363753754593,0.5320087909931317
pgs,euler,elliptic,500,0.002,soft_40ms,2000,2000,True,0.010482036589599064,0.07998782606659369,0.07979140702696584,29,2967.702859336125,0.6739219169830903
pgs,euler,elliptic,500,0.002,stiff_4ms,2000,2000,True,0.041753557778096854,0.17429294955511795,0.17545343333291952,29,11694.46746650481,0.17102104099467397
pgs,rk4,pyramidal,20,0.0005,default,8000,8000,True,35.469745716315565,13.50528476557635,0.8753259476787149,29,2253.8616395577333,3.549463666975498
pgs,rk4,pyramidal,20,0.0005,soft_40ms,8000,8000,True,36.46417404347622,13.77036230047902,0.9030567776167798,29,1916.6697288397206,4.1739063750137575
pgs,rk4,pyramidal,20,0.0005,stiff_4ms,8000,8000,True,34.225017874916766,13.108911389154494,0.8498600165272172,29,3472.5273630109114,2.3037975410115905
pgs,rk4,pyramidal,20,0.001,default,4000,4000,True,35.31475208645961,13.448810584917792,0.8728992806467956,29,2285.460164782476,1.7501945829717442
pgs,rk4,pyramidal,20,0.001,soft_40ms,4000,4000,True,36.73289206035144,13.859258228706189,0.9070975709780759,29,1926.0762692364085,2.0767609589966014
pgs,rk4,pyramidal,20,0.001,stiff_4ms,4000,4000,True,34.33450616803718,13.212058375802917,0.8495380971929037,29,3554.934494251928,1.12519654200878
pgs,rk4,pyramidal,20,0.002,default,2000,2000,True,35.2031720969965,13.434320438269895,0.885328651162482,29,2246.415599054215,0.8903072079992853
pgs,rk4,pyramidal,20,0.002,soft_40ms,2000,2000,True,36.202312526963574,13.75338879722899,0.9036693879655818,29,1869.838077073884,1.069611334009096
pgs,rk4,pyramidal,20,0.002,stiff_4ms,2000,2000,True,34.818806251367306,13.209962459194145,0.8496119946218831,29,3734.418138154666,0.5355586669757031
pgs,rk4,pyramidal,100,0.0005,default,8000,8000,True,35.43469940377347,13.49293967464592,0.873772355888818,29,885.2034100952559,9.037470832990948
pgs,rk4,pyramidal,100,0.0005,soft_40ms,8000,8000,True,36.50588373834895,13.781128258748394,0.9032026278305318,29,664.9697976794629,12.030621582991444
pgs,rk4,pyramidal,100,0.0005,stiff_4ms,8000,8000,True,34.184795064928814,13.109085144830129,0.8544590103850833,29,1342.1879897688616,5.960416916990653
pgs,rk4,pyramidal,100,0.001,default,4000,4000,True,35.39333886672707,13.496973650333592,0.8738655387430426,29,901.8747072207634,4.4352058750228025
pgs,rk4,pyramidal,100,0.001,soft_40ms,4000,4000,True,36.54589282542044,13.8046108017295,0.9045443519816023,29,685.0733701758221,5.838790667010471
pgs,rk4,pyramidal,100,0.001,stiff_4ms,4000,4000,True,34.267370346702016,13.10102395547433,0.8491748076025285,29,1257.6871869007305,3.180441083968617
pgs,rk4,pyramidal,100,0.002,default,2000,2000,True,35.27422067906018,13.458624202085847,0.8828663242368433,29,794.4540882557579,2.5174519579741172
pgs,rk4,pyramidal,100,0.002,soft_40ms,2000,2000,True,36.43827949859485,13.715399324173953,0.8983659070677121,29,629.778336649659,3.1757205410394818
pgs,rk4,pyramidal,100,0.002,stiff_4ms,2000,2000,True,34.368415578250584,13.246623725307504,0.8490328494474455,29,1158.3418286166468,1.7266060420079157
pgs,rk4,pyramidal,500,0.0005,default,8000,8000,True,35.60599522211831,13.573182582684971,0.8746115587897099,29,467.9836311022948,17.09461500000907
pgs,rk4,pyramidal,500,0.0005,soft_40ms,8000,8000,True,36.660584251024616,13.8569274467138,0.9023658515278791,29,324.4194170307562,24.659436457965057
pgs,rk4,pyramidal,500,0.0005,stiff_4ms,8000,8000,True,33.98906698541378,13.077583374623183,0.8510600207691361,29,874.5084596340668,9.147996124986093
pgs,rk4,pyramidal,500,0.001,default,4000,4000,True,35.4844088928394,13.513417939552863,0.8741014173318342,29,468.77048585661146,8.53296041599242
pgs,rk4,pyramidal,500,0.001,soft_40ms,4000,4000,True,36.31171251828311,13.740443870584055,0.9018400148435175,29,331.03899631349344,12.083168582990766
pgs,rk4,pyramidal,500,0.001,stiff_4ms,4000,4000,True,34.0364405875974,13.070988569924946,0.8629748795616767,29,862.2819188663688,4.638854082964826
pgs,rk4,pyramidal,500,0.002,default,2000,2000,True,35.47984823916344,13.50349763427971,0.8753135046677896,29,447.80153793598726,4.466264250047971
pgs,rk4,pyramidal,500,0.002,soft_40ms,2000,2000,True,36.173231747053464,13.702396741672642,0.9056756791958014,29,320.8945920485743,6.232576209004037
pgs,rk4,pyramidal,500,0.002,stiff_4ms,2000,2000,True,34.31042502747188,13.101894498719869,0.8519865677825932,29,828.8210790775901,2.413066041015554
pgs,rk4,elliptic,20,0.0005,default,8000,8000,True,0.0025358547125968645,0.06321223463824309,0.019457454484719135,29,1425.733338579079,5.611147459014319
pgs,rk4,elliptic,20,0.0005,soft_40ms,8000,8000,True,0.002952021295977042,0.07178852978029086,0.05669213489969026,29,1211.961461277815,6.600869957997929
pgs,rk4,elliptic,20,0.0005,stiff_4ms,8000,8000,True,0.0015226927071279699,0.019598875685430808,0.009178551834544033,29,2145.3712977209507,3.7289582500234246
