time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,4.847001488742604634e-03,8.395252842864178375e-03,3.454992556286979200e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.810000000000001011e-03
2.000000000000000042e-03,1.046028647650126299e-02,1.811774763902581839e-02,-1.107179496613853141e-02,7.241813915581287592e-04,1.254318964074608482e-03,-1.780954652424359547e-02
3.000000000000000062e-03,1.031279258511614769e-02,1.786228072549611579e-02,-1.027672700840860306e-02,9.139448127696513623e-04,1.582998851146701254e-03,-1.748251294772899464e-02
4.000000000000000083e-03,1.019827007233438561e-02,1.766392191527553848e-02,-9.525795675064313572e-03,1.089236000590846102e-03,1.886612094964080187e-03,-1.713438475070658967e-02
5.000000000000000104e-03,1.011345953236277712e-02,1.751702575201477194e-02,-8.815759413940022285e-03,1.251584719732869036e-03,2.167808325791265294e-03,-1.676734141603797648e-02
6.000000000000000125e-03,1.005545689680674426e-02,1.741656224170306036e-02,-8.143659709775454697e-03,1.402368548359047163e-03,2.428973578991658073e-03,-1.638342163349298594e-02
7.000000000000000146e-03,1.002167462274444580e-02,1.735804962847199012e-02,-7.506793230399959847e-03,1.542827963604986473e-03,2.672256423939286911e-03,-1.598452966257529057e-02
8.000000000000000167e-03,1.000980715727918004e-02,1.733749457746942141e-02,-6.902686808948948517e-03,1.674079949421826289e-03,2.899591533512871008e-03,-1.557244207188436362e-02
9.000000000000001055e-03,1.001780019696664817e-02,1.735133893064334451e-02,-6.329074982014353153e-03,1.797130267164109060e-03,3.112720937391341008e-03,-1.514881465640417410e-02
1.000000000000000194e-02,1.004382331591154552e-02,1.739641229722736077e-02,-5.783879829439573031e-03,1.912884516498282624e-03,3.313213180119044428e-03,-1.471518937764186227e-02
1.100000000000000283e-02,1.008624558521770825e-02,1.746988982539868229e-02,-5.265192885213653383e-03,2.022158102524668037e-03,3.502480584674373676e-03,-1.427300120757866130e-02
1.200000000000000372e-02,1.014361384964618425e-02,1.756925457635222926e-02,-4.771258910697149212e-03,2.125685214362165159e-03,3.681794803839038253e-03,-1.382358478704032341e-02
1.300000000000000461e-02,1.021463336548882050e-02,1.769226398811778872e-02,-4.300461341321797429e-03,2.224126910742022910e-03,3.852300824860321014e-03,-1.336818083338347368e-02
1.400000000000000550e-02,1.029815053739164231e-02,1.783691997486305456e-02,-3.851309236072131704e-03,2.318078399307425992e-03,4.015029577569013269e-03,-1.290794225212348219e-02
1.500000000000000638e-02,1.039313752169381336e-02,1.800144225909518919e-02,-3.422425575603506038e-03,2.408075588243973036e-03,4.170909282136772700e-03,-1.244393992306307151e-02
1.600000000000000727e-02,1.049867849023824670e-02,1.818424457988273082e-02,-3.012536769889906721e-03,2.494600981507081802e-03,4.320775659909248563e-03,-1.197716814421563407e-02
1.700000000000000816e-02,1.061395737196435020e-02,1.838391346067051735e-02,-2.620463249955402255e-03,2.578088982205796378e-03,4.465381119135519196e-03,-1.150854972690010247e-02
1.800000000000000905e-02,1.073824691026115281e-02,1.859918925605798939e-02,-2.245111030632305441e-03,2.658930662593900641e-03,4.605403016833598852e-03,-1.103894074324364948e-02
1.900000000000000994e-02,1.087089889235412846e-02,1.882894922859906783e-02,-1.885464142528137186e-03,2.737478053557538833e-03,4.741451088399968594e-03,-1.056913493336542748e-02
2.000000000000001082e-02,1.101133542319676292e-02,1.907219243473717851e-02,-1.540577841547574470e-03,2.814048001433115329e-03,4.874074127812140153e-03,-1.009986778404031726e-02
2.100000000000001171e-02,1.115904113067523948e-02,1.932802622382177524e-02,-1.209572513533377618e-03,2.888925635389279038e-03,5.003765993309168721e-03,-9.631820293920954554e-03
