time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,2.542024943977594376e-03,4.402916412800550461e-03,-6.712273228913545609e-03,1.564586302265524864e-03,2.709942869842052460e-03,-7.665058132261037827e-03
4.000000000000000083e-03,3.762035630643367767e-03,6.516035646200180054e-03,-9.061315096914768219e-03,2.318646293133497238e-03,4.016006831079721451e-03,-1.033975183963775635e-02
6.000000000000000125e-03,4.463963210582733154e-03,7.731807418167591095e-03,-9.705107659101486206e-03,2.752071944996714592e-03,4.766729660332202911e-03,-1.108841318637132645e-02
8.000000000000000167e-03,4.962552338838577271e-03,8.595389313995838165e-03,-9.679058566689491272e-03,3.059454495087265968e-03,5.299127195030450821e-03,-1.108818221837282181e-02
1.000000000000000021e-02,5.381896160542964935e-03,9.321710094809532166e-03,-9.392175823450088501e-03,3.317674156278371811e-03,5.746380891650915146e-03,-1.079673226922750473e-02
1.200000000000000025e-02,5.770991090685129166e-03,9.995642118155956268e-03,-9.006039239466190338e-03,3.557127434760332108e-03,6.161132361739873886e-03,-1.039452664554119110e-02
1.400000000000000029e-02,6.149206310510635376e-03,1.065073255449533463e-02,-8.584438823163509369e-03,3.789826761931180954e-03,6.564186885952949524e-03,-9.953171946108341217e-03
1.600000000000000033e-02,6.524144206196069717e-03,1.130014285445213318e-02,-8.152250200510025024e-03,4.020485095679759979e-03,6.963718682527542114e-03,-9.499608539044857025e-03
1.800000000000000211e-02,6.898869294673204422e-03,1.194918900728225708e-02,-7.719391491264104843e-03,4.251005128026008606e-03,7.363000884652137756e-03,-9.044633246958255768e-03
2.000000000000000042e-02,7.274454459547996521e-03,1.259972713887691498e-02,-7.290061563253402710e-03,4.482049960643053055e-03,7.763204630464315414e-03,-8.593721315264701843e-03
2.199999999999999872e-02,7.651416119188070297e-03,1.325264200568199158e-02,-6.865376140922307968e-03,4.713956266641616821e-03,8.164872415363788605e-03,-8.147427812218666077e-03
2.400000000000000050e-02,8.029946126043796539e-03,1.390827167779207230e-02,-6.445714738219976425e-03,4.946824628859758377e-03,8.568228222429752350e-03,-7.707027718424797058e-03
2.600000000000000228e-02,8.410000242292881012e-03,1.456654164940118790e-02,-6.032019853591918945e-03,5.180649925023317337e-03,8.973208256065845490e-03,-7.271599490195512772e-03
2.800000000000000058e-02,8.791645057499408722e-03,1.522757578641176224e-02,-5.623491015285253525e-03,5.415450315922498703e-03,9.379859082400798798e-03,-6.842309609055519104e-03
2.999999999999999889e-02,9.174897335469722748e-03,1.589138805866241455e-02,-5.220463033765554428e-03,5.651238840073347092e-03,9.788257069885730743e-03,-6.418420933187007904e-03
3.200000000000000067e-02,9.559690020978450775e-03,1.655787229537963867e-02,-4.822973161935806274e-03,5.887981504201889038e-03,1.019827648997306824e-02,-6.000062916427850723e-03
3.400000000000000244e-02,9.946046397089958191e-03,1.722706109285354614e-02,-4.430720116943120956e-03,6.125689484179019928e-03,1.060998160392045975e-02,-5.587835330516099930e-03
3.600000000000000422e-02,1.033390033990144730e-02,1.789884455502033234e-02,-4.043782129883766174e-03,6.364338099956512451e-03,1.102328393608331680e-02,-5.180956330150365829e-03
3.799999999999999906e-02,1.072325929999351501e-02,1.857323572039604187e-02,-3.662085626274347305e-03,6.603916175663471222e-03,1.143820025026798248e-02,-4.781059920787811279e-03
