section,ball_count,preset,device,dt_s,ke,tau_s,duration_s,steps,mse_velocity_error,elapsed_s,step_rate_hz,max_raw_collision_contacts
A_dt,25,drake,cpu,0.0005,10000.0,0.03,4.0,8000,0.36025781386081873,1032.899484958998,7.745187326061614,29
A_dt,25,drake,cpu,0.001,10000.0,0.03,4.0,4000,0.36005781322318775,627.1840748329996,6.377712956224344,29
A_dt,25,drake,cpu,0.002,10000.0,0.03,4.0,2000,0.3598076219194078,335.16426783299903,5.967223215442918,29
A_dt,25,drake,cpu,0.005,10000.0,0.03,4.0,800,0.35802269739365244,133.44759641700148,5.994862563879633,29
B_tau,25,drake,cpu,0.001,10000.0,0.004,4.0,4000,0.34721227743440214,42.85976425000263,93.32762487137933,29
B_tau,25,drake,cpu,0.001,10000.0,0.01,4.0,4000,0.3633050815851694,52.66996708300212,75.94460793370986,29
B_tau,25,drake,cpu,0.001,10000.0,0.03,4.0,4000,0.36005781322318775,613.086197583998,6.5243680509574125,29
B_tau,25,drake,cpu,0.001,10000.0,0.06,4.0,4000,0.3601848405200054,667.016511709,5.996853046038362,29
C_ke,25,drake,cpu,0.001,1000.0,0.03,4.0,4000,0.5081431642748305,48.328367124999204,82.76712494039319,29
C_ke,25,drake,cpu,0.001,10000.0,0.03,4.0,4000,0.36005781322318775,598.8095331670011,6.679920372751391,29
C_ke,25,drake,cpu,0.001,100000.0,0.03,4.0,4000,0.3996927402747664,421.4254464170008,9.491595806585435,29
