engine,device,mu,mass_kg,compression_per_side_mm,dt_ms,N_measured_per_side_N,capacity_ratio_2muN_over_mg,normal_gate_pass,lift_follow_mm,slip_distance_mm,mean_abs_vt_mm_s,left_duty_lift,right_duty_lift,left_rho_mean_lift,right_rho_mean_lift,max_contacts,grasp_success,wall_s
mujoco,cpu,0.1,0.1,0.05,0.5,0.9543962469915992,0.1945761971440569,True,-7330.611745082088,7387.615310501232,5910.12616511916,0.0075969612155137945,0.0075969612155137945,1.0,1.0,8,False,0.04826899996260181
mujoco,cpu,0.1,0.25,0.05,0.5,0.9787420896275789,0.07981586867503192,True,-7534.167092575488,7591.128147779104,6072.905944595522,0.0059976009596161535,0.0059976009596161535,1.0,1.0,8,False,0.04434887500246987
mujoco,cpu,0.2,0.1,0.05,0.5,0.9543962469915992,0.3891523942881138,True,-6886.339639850534,6943.437019271368,5554.84905977364,0.0075969612155137945,0.0075969612155137945,1.0,1.0,8,False,0.044047624978702515
mujoco,cpu,0.2,0.25,0.05,0.5,0.9787420896275789,0.15963173735006383,True,-7340.185274166612,7397.186807014394,5917.781588992052,0.004798080767692923,0.004798080767692923,1.0,1.0,8,False,0.0433309170184657
mujoco,cpu,0.4,0.1,0.05,0.5,0.9543962469915992,0.7783047885762276,True,-5268.424388816267,5325.889028207067,4261.03274305853,0.02039184326269492,0.02039184326269492,1.0,1.0,8,False,0.04420495900558308
mujoco,cpu,0.4,0.25,0.05,0.5,0.9787420896275789,0.31926347470012767,True,-6954.485117644515,7011.567874149561,5609.343224236011,0.005197920831667333,0.005197920831667333,1.0,1.0,8,False,0.04352570802439004
mujoco,cpu,0.1,0.1,0.2,0.5,3.817608992092401,0.7783096823837719,True,-5556.384785594756,5613.781817794356,4491.311156804583,0.06117552978808476,0.06117552978808476,1.0,1.0,8,False,0.04755716701038182
mujoco,cpu,0.1,0.25,0.2,0.5,3.914970852412749,0.3192636780764729,True,-7176.931456235201,7233.96762927117,5787.23127242398,0.02039184326269492,0.02039184326269492,1.0,1.0,8,False,0.045165249961428344
mujoco,cpu,0.2,0.1,0.2,0.5,3.817608992092401,1.5566193647675437,True,59.72801259393753,0.24403671513622208,0.19586444990397728,1.0,1.0,0.6429939819256163,0.6429939874667968,8,True,0.10075316700385883
mujoco,cpu,0.2,0.25,0.2,0.5,3.914970852412749,0.6385273561529458,True,-6330.392112228114,6387.611836288126,5110.2693632704495,0.023990403838464614,0.023990403838464614,1.0,1.0,8,False,0.044506709033157676
mujoco,cpu,0.4,0.1,0.2,0.5,3.817608992092401,3.1132387295350874,True,59.79580703325079,0.1754887441082088,0.14038198539333932,1.0,1.0,0.3217517240133588,0.32175172880232794,8,True,0.09652420796919614
mujoco,cpu,0.4,0.25,0.2,0.5,3.914970852412749,1.2770547123058915,True,59.33153185390465,0.6039643333581152,0.48360255214500675,0.9956017592962815,0.9956017592962815,0.7828739305318451,0.7828739620464971,8,True,0.10363349999533966
