phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,right_Fn_N,right_Ft_N,right_points,right_rho
normal_gate,0.0025,5.319395640114577e-13,1.3483671000753556e-14,-1.6448617506025984e-15,1.3394667319754916e-14,8.900368099864012e-17,128,0,-1,12.008351677610932,1.0859832944955622e-06,4,4.5217833539982524e-07,11.991607552812038,2.1248325048164778e-07,4,8.859664959258125e-08
normal_gate,0.005,5.319757221539101e-13,1.5164024278879057e-14,-1.6087324072704134e-15,1.514760539222948e-14,1.6418886649577358e-17,128,0,-1,12.001830011055658,3.1064684169299865e-09,4,1.2941644791121098e-09,11.998278230979253,3.106294586253233e-09,4,1.2944751432054886e-09
normal_gate,0.0075,5.320161086848352e-13,1.6834093729991943e-14,-1.5683391000817504e-15,1.6821613546547098e-14,1.2480183444844861e-17,128,0,-1,12.000034106240264,2.996759444910096e-09,4,1.2486462198268752e-09,11.999925124182706,2.99659246864532e-09,4,1.2485879860227097e-09
normal_gate,0.01,5.320605609739071e-13,1.8414885908464226e-14,-1.5238800347462667e-15,1.8411487612279842e-14,3.398296184384253e-18,128,0,-1,11.999791456556439,2.880870244794613e-09,4,1.2003834630061696e-09,12.00016777386653,2.8807157672190125e-09,4,1.2002814550195358e-09
normal_gate,0.0125,5.321088621806913e-13,1.9913858092363533e-14,-1.4755856042256155e-15,1.9913758142475757e-14,9.994988777600744e-20,128,0,-1,11.999860213788795,2.7594200519241797e-09,4,1.1497717484881142e-09,12.000099016634175,2.759273956873195e-09,4,1.149687995510859e-09
normal_gate,0.015,5.321607954647534e-13,2.1327857625060183e-14,-1.4236658726907159e-15,2.1328425137134843e-14,-5.675120746603812e-19,128,0,-1,12.000010650633392,2.63274055062387e-09,4,1.096974255804059e-09,12.000097591401516,2.632602889788483e-09,4,1.0969089500050538e-09
normal_gate,0.0175,5.322161439856588e-13,2.2652945803349443e-14,-1.368344456839643e-15,2.2652886511043135e-14,5.929230630780102e-20,128,0,-1,12.000049480170068,2.500972033601784e-09,4,1.042067383861462e-09,12.000058761864842,2.5008441546998193e-09,4,1.0420132952378898e-09
normal_gate,0.02,5.322746366928643e-13,2.384065031979174e-14,-1.3098653021612061e-15,2.3841172092087248e-14,-5.21772295508649e-19,128,0,-1,12.000053573797704,2.3700488953834597e-09,4,9.875159643280663e-10,12.000054668237205,2.3699303392901684e-09,4,9.874664761166078e-10
normal_gate,0.0225,5.323363820065874e-13,2.5250246975228562e-14,-1.2481064359110006e-15,2.5250634916318404e-14,-3.8794108984246956e-19,128,0,-1,12.000054093154255,2.1974195193414513e-09,4,9.155873391416738e-10,12.000054148880656,2.19731134501154e-09,4,9.155422624557495e-10
normal_gate,0.025,5.324014341369365e-13,2.6526632453116594e-14,-1.1830272005075582e-15,2.6526524032899346e-14,1.0842021724855044e-19,128,0,-1,12.000054119598722,2.022440862555667e-09,4,8.426798922733928e-10,12.000054122436188,2.0223434919915617e-09,4,8.426393211887432e-10
normal_gate,0.0275,5.3246946782326e-13,2.7670558918713e-14,-1.1149664091297806e-15,2.767057416530605e-14,-1.5246593050577406e-20,128,0,-1,12.000054120945215,1.845774781430497e-09,4,7.690693570326621e-10,12.000054121089693,1.845688082305066e-09,4,7.690332325507311e-10
normal_gate,0.03,5.325402120150147e-13,2.8681240325442725e-14,-1.0442764274837257e-15,2.868105059006254e-14,1.8973538018496328e-19,128,0,-1,12.000054121013777,1.6681519910388188e-09,4,6.950601948193094e-10,12.000054121021133,1.6680757939110941e-09,4,6.95028446158854e-10
normal_gate,0.0325,5.326132872414402e-13,2.9556750520383715e-14,-9.712283061125149e-16,2.9556652264561833e-14,9.825582188149884e-20,128,0,-1,12.000054121017266,1.4902823745228842e-09,4,6.209481888555641e-10,12.00005412101764,1.4902172094170319e-09,4,6.209210368505641e-10
normal_gate,0.035,5.326882598216676e-13,3.0299327364582615e-14,-8.96201515776518e-16,3.02995475931489e-14,-2.202285662861181e-19,128,0,-1,12.000054121017445,1.3128588470582885e-09,4,5.470220524917829e-10,12.000054121017463,1.3128042455488728e-09,4,5.469993019654658e-10
normal_gate,0.0375,5.327649671253709e-13,3.0907903596525885e-14,-8.195484221817928e-16,3.090756817147877e-14,3.3542504711270293e-19,128,0,-1,12.000054121017456,1.1365380005151485e-09,4,4.735553644397998e-10,12.000054121017454,1.1364941395498228e-09,4,4.73537089120004e-10
normal_gate,0.04,5.328429754716812e-13,3.1382479216213524e-14,-7.415400758714608e-16,3.138244872302742e-14,3.049318610115481e-20,128,0,-1,12.000054121017454,9.619594738868447e-10,4,4.0081463974484247e-10,12.000054121017456,9.619262369977765e-10,4,4.008007911035226e-10
normal_gate,0.0425,5.329219595999468e-13,3.172553772424688e-14,-6.625559476058918e-16,3.1725490290401837e-14,4.743384504624082e-20,128,0,-1,12.000054121017454,7.89729404330529e-10,4,3.290524344166748e-10,12.000054121017454,7.897066493392859e-10,4,3.2904295321308454e-10
