phase,time_s,cube_z_m,cube_vz_m_s,pad_vz_m_s,relative_vt_m_s,contact_count,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
normal_gate,0.0005,7.222237291452134e-39,1.4444474582904268e-35,-6.58276836460481e-37,1.510275141936475e-35,8,5.307844125911611,1.4256141032768613e-17,6.714656974935256e-18,4,5.307844125911611,1.4256141032768613e-17,6.714656974935256e-18,4
normal_gate,0.001,1.4444474582904268e-38,1.4444474582904268e-35,0.0,1.4444474582904268e-35,8,4.78386307149918,8.030168110501267e-15,4.196487227206918e-15,4,4.78386307149918,8.030168110501267e-15,4.196487227206918e-15,4
normal_gate,0.0015,1.2623941154723625e-34,2.524499341453067e-31,0.0,2.524499341453067e-31,8,4.345327364072571,8.413511772791563e-13,4.840551164427211e-13,4,4.345327364072591,8.413511772791563e-13,4.840551164427189e-13,4
normal_gate,0.002,1.6408335717546214e-32,3.2564192611997953e-29,-3.1554436208840472e-30,3.5719636232882e-29,8,3.9779339105282174,9.185317393773063e-11,5.772668425600724e-11,4,3.977933910527508,9.185317393773063e-11,5.7726684256017527e-11,4
normal_gate,0.0025,3.2690432023545203e-32,3.256419261199798e-29,0.0,3.256419261199798e-29,8,3.6697931117120657,9.995661782497615e-09,6.809417777937314e-09,4,3.6697931117376004,9.995661782497616e-09,6.809417777889935e-09,4
normal_gate,0.003,-8.682082812103746e-26,-1.7364172162293896e-22,8.68539643180679e-24,-1.8232711805474575e-22,8,3.411022142582526,1.086669912517074e-06,7.964400897250868e-07,4,3.4110221416125044,1.0866699125170389e-06,7.964400899515516e-07,4
normal_gate,0.0035,-1.5802451896750578e-25,-1.4240738169293664e-22,5.790264287871194e-24,-1.4819764598080783e-22,8,3.1934068318564375,8.407761235424931e-07,6.582125045540477e-07,4,3.193406832100507,8.407761235425012e-07,6.582125045037475e-07,4
normal_gate,0.004,-1.810532109388859e-25,-4.605738394276021e-23,0.0,-4.605738394276021e-23,8,3.010120191250925,1.5656653121126063e-06,1.3003345486529875e-06,4,3.010120191445141,1.5656653121126317e-06,1.3003345485691094e-06,4
normal_gate,0.0045000000000000005,-1.8846473294526484e-25,-1.4823044012757886e-23,-1.6543612251060553e-24,-1.316868278765183e-23,8,2.8554880078006777,2.0580892985974896e-06,1.8018717754856273e-06,4,2.855488007954513,2.0580892985975087e-06,1.8018717753885707e-06,4
normal_gate,0.005,-1.8952350784723654e-25,-2.1175498039433806e-24,-2.0679515313825692e-24,-4.959827256081143e-26,8,2.7247936955611314,2.381699326721511e-06,2.18521069191537e-06,4,2.72479369568235,2.381699326721529e-06,2.185210691818172e-06,4
normal_gate,0.0055,-2.0739059279628574e-25,-3.5734169898098394e-23,-2.0679515313825692e-25,-3.552737474496014e-23,8,2.61411591039645,2.583726460208938e-06,2.4709371626687895e-06,4,2.6141159104913054,2.583726460208947e-06,2.4709371625791387e-06,4
normal_gate,0.006,-2.298898891756319e-25,-4.4998592758692307e-23,4.1359030627651384e-25,-4.541218306496882e-23,8,2.5201935197076515,2.6988545101721777e-06,2.6772294360209006e-06,4,2.5201935197812597,2.6988545101721887e-06,2.677229435942717e-06,4
normal_gate,0.006500000000000001,-2.747561493184119e-25,-8.973252028556004e-23,2.481541837659083e-24,-9.221406212321912e-23,8,2.440313393787948,2.7524356682915817e-06,2.819756342871955e-06,4,2.440313393844508,2.752435668291584e-06,2.819756342806603e-06,4
normal_gate,0.007,-3.4423930449077005e-25,-1.3896631034471626e-22,4.549493369041652e-24,-1.435158037137579e-22,8,2.372217219605616,2.7629247588925555e-06,2.9117535443823048e-06,4,2.3722172196484803,2.762924758892554e-06,2.9117535443296896e-06,4
normal_gate,0.0075,-4.399275414688081e-25,-1.913764739560761e-22,6.2038545941477076e-24,-1.975803285502238e-22,8,2.3140241540976643,2.7436990173795853e-06,2.964207409547837e-06,4,2.314024154129595,2.7436990173795803e-06,2.9642074095069293e-06,4
normal_gate,0.008,-5.553357642501104e-25,-2.3081644556260447e-22,7.031035206700735e-24,-2.378474807693052e-22,8,2.264166653419548,2.7044112538578012e-06,2.9861000401332605e-06,4,2.2641666534427576,2.7044112538577953e-06,2.986100040102644e-06,4
normal_gate,0.0085,-6.856994125063714e-25,-2.6072729651252197e-22,7.444625512977249e-24,-2.681719220254992e-22,8,2.221337252381074,2.6519919209059573e-06,2.9846795191311676e-06,4,2.22133725239736,2.6519919209059497e-06,2.9846795191092765e-06,4
normal_gate,0.009000000000000001,-8.27974461583396e-25,-2.8455009815404918e-22,7.444625512977249e-24,-2.9199472366702642e-22,8,2.1844444368853813,2.5913883392628653e-06,2.9657292896835036e-06,4,2.184444436896216,2.5913883392628576e-06,2.9657292896687847e-06,4
normal_gate,0.0095,-9.779257467449127e-25,-2.9990257032303337e-22,7.031035206700735e-24,-3.069336055297341e-22,8,2.152576061911792,2.526107987703546e-06,2.9338196596175154e-06,4,2.1525760619183423,2.5261079877035376e-06,2.933819659608578e-06,4
normal_gate,0.01,-1.1322445455407093e-24,-3.0863759759159334e-22,6.2038545941477076e-24,-3.1484145218574105e-22,8,2.1249690273103843,2.458616359645604e-06,2.892531994639851e-06,4,2.124969027313628,2.4586163596455964e-06,2.892531994635427e-06,4
normal_gate,0.0105,-1.2874897866225654e-24,-3.1049048216371213e-22,4.963083675318166e-24,-3.154535658390303e-22,8,2.100984141010043,2.390627324588128e-06,2.8446517966561605e-06,4,2.1009841410107066,2.3906273245881213e-06,2.8446517966552546e-06,4
normal_gate,0.011,-1.438235165172133e-24,-3.014907570991352e-22,3.7223127564886245e-24,-3.052130698556238e-22,8,2.08008528076133,2.3233143868280354e-06,2.792330689895658e-06,4,2.080085280760034,2.3233143868280295e-06,2.792330689897391e-06,4
normal_gate,0.0115,-1.5838189366993698e-24,-2.911675430544734e-22,2.481541837659083e-24,-2.936490848921325e-22,8,2.0618221168717996,2.257463979171328e-06,2.7372196183882685e-06,4,2.061822116869071,2.257463979171323e-06,2.737219618391885e-06,4
normal_gate,0.012,-1.7225205655301653e-24,-2.7740325766159103e-22,1.2407709188295415e-24,-2.7864402858042057e-22,8,2.0458157843805784,2.1935864280716606e-06,2.680576673641981e-06,4,2.0458157843767766,2.1935864280716555e-06,2.6805766736469563e-06,4
normal_gate,0.0125,-1.8531489115824434e-24,-2.6125669210455594e-22,-2.0679515313825692e-25,-2.610498969514177e-22,8,2.0317469978638107,2.131996111208732e-06,2.6233533425302503e-06,4,2.0317469978592486,2.1319961112087285e-06,2.623353342536137e-06,4
normal_gate,0.013000000000000001,-1.973586392488068e-24,-2.4087496181124935e-22,-1.6543612251060553e-24,-2.392206005861433e-22,8,2.019346189060412,2.0728692656394454e-06,2.5662628786349127e-06,4,2.019346189055337,2.072869265639442e-06,2.5662628786413582e-06,4
normal_gate,0.0135,-2.0846271016350902e-24,-2.2208141829404454e-22,-2.68833699079734e-24,-2.193930813032472e-22,8,2.008385319684522,2.0162855895777296e-06,2.5098341063039242e-06,4,2.0083853196791033,2.016285589577727e-06,2.509834106310693e-06,4
normal_gate,0.014,-2.1862710390235103e-24,-2.0328787477683975e-22,-3.5155176033503676e-24,-1.9977235717348938e-22,8,1.998671081643379,1.9622581413595984e-06,2.4544535608957717e-06,4,1.9986710816378055,1.9622581413595967e-06,2.4544535609026145e-06,4
normal_gate,0.0145,-2.278385855755319e-24,-1.84229633463618e-22,-4.342698215903395e-24,-1.798869352477146e-22,8,1.9900392464667513,1.9107547622893808e-06,2.400398340989835e-06,4,1.9900392464611376,1.91075476228938e-06,2.4003983409966052e-06,4
normal_gate,0.015,-2.361765645218568e-24,-1.6675957892649805e-22,-4.963083675318166e-24,-1.6179649525117989e-22,8,1.982349966825348,1.8617133879084901e-06,2.347861652917355e-06,4,1.9823499668197713,1.861713387908489e-06,2.3478616529239586e-06,4
normal_gate,0.0155,-2.435881011821223e-24,-1.4823073320531023e-22,-5.37667398159468e-24,-1.4285405922371555e-22,8,1.9754838670116628,1.8150529345134086e-06,2.2969726111444535e-06,4,1.9754838670061743,1.8150529345134084e-06,2.296972611150835e-06,4
normal_gate,0.016,-2.501790746747352e-24,-1.3181946985225816e-22,-5.583469134732937e-24,-1.2623600071752522e-22,8,1.9693387873998467,1.7706810082788955e-06,2.247811574636121e-06,4,1.9693387873945363,1.7706810082788953e-06,2.247811574642182e-06,4
normal_gate,0.0165,-2.5598918966909806e-24,-1.16202299887257e-22,-5.997059441009451e-24,-1.1020524044624755e-22,8,1.9638270711744519,1.7284992935712303e-06,2.2004219706289033e-06,4,1.9638270711693278,1.7284992935712305e-06,2.2004219706346454e-06,4
normal_gate,0.017,-2.611110903938168e-24,-1.0243801449437462e-22,-5.997059441009451e-24,-9.644095505336517e-23,8,1.9588733008805344,1.6884072931103325e-06,2.1548194213880183e-06,4,1.9588733008756247,1.688407293110333e-06,2.15481942139342e-06,4
normal_gate,0.0175,-2.6566389085709904e-24,-9.105600926564495e-23,-5.790264287871194e-24,-8.526574497777376e-23,8,1.954412408275937,1.65030487239598e-06,2.1109987654189343e-06,4,1.954412408271264,1.6503048723959805e-06,2.1109987654239826e-06,4
normal_gate,0.018000000000000002,-2.6958141660994058e-24,-7.835051505683045e-23,-5.686866711302065e-24,-7.266364834552838e-23,8,1.9503880941379066,1.6140939374795495e-06,2.0689394361189905e-06,4,1.9503880941334586,1.6140939374795503e-06,2.06893943612371e-06,4
normal_gate,0.0185,-2.729563118809473e-24,-6.749790542013472e-23,-5.583469134732937e-24,-6.191443628540178e-23,8,1.9467515055749431,1.5796795108999163e-06,2.028609591897275e-06,4,1.9467515055707407,1.579679510899917e-06,2.028609591901655e-06,4
normal_gate,0.019,-2.758812208987252e-24,-5.849818035555778e-23,-5.2732764050255514e-24,-5.322490395053223e-23,8,1.9434601274044794,1.5469703696377723e-06,1.9899692664440906e-06,4,1.94346012740053,1.5469703696377726e-06,1.9899692664481343e-06,4
normal_gate,0.0195,-2.7838261344287594e-24,-5.002785088301478e-23,-4.963083675318166e-24,-4.506476720769661e-23,8,1.940476851608025,1.5158793813422274e-06,1.952972770695584e-06,4,1.9404768516043052,1.515879381342228e-06,1.9529727706993285e-06,4
normal_gate,0.02,-2.805134290726029e-24,-4.261631259453965e-23,-4.652890945610781e-24,-3.796342164892887e-23,8,1.9377691950429563,1.486323628811287e-06,1.9175705143490246e-06,4,1.9377691950394775,1.4863236288112875e-06,1.917570514352468e-06,4
normal_gate,0.0205,-2.8232660734710954e-24,-3.6263565490132397e-23,-4.342698215903395e-24,-3.1920867274229e-23,8,1.935308640688097,1.4582243943831783e-06,1.8837103856787257e-06,4,1.9353086406848203,1.4582243943831791e-06,1.8837103856819159e-06,4
normal_gate,0.021,-2.8388832271540005e-24,-3.123430736580999e-23,-3.980806697911446e-24,-2.7253500667898545e-23,8,1.933070081916377,1.4315070566996386e-06,1.8513387979194388e-06,4,1.9330700819133317,1.431507056699639e-06,1.8513387979223558e-06,4
normal_gate,0.021500000000000002,-2.8525151473667782e-24,-2.7263840425555454e-23,-3.567216391634932e-24,-2.3696624033920522e-23,8,1.9310313527855756,1.4061009224107624e-06,1.8204014662713993e-06,4,1.931031352782735,1.4061009224107628e-06,1.820401466274078e-06,4
normal_gate,0.022,-2.864558880803454e-24,-2.4087466873351828e-23,-3.2053248736429822e-24,-2.0882141999708845e-23,8,1.9291728302199884,1.381939034137562e-06,1.790843998642641e-06,4,1.9291728302173425,1.3819390341375622e-06,1.7908439986450973e-06,4
normal_gate,0.0225,-2.8746173807700027e-24,-2.0116999933097294e-23,-2.895132143935597e-24,-1.7221867789161697e-23,8,1.927477096353825,1.3589579594346462e-06,1.7626123314323206e-06,4,1.9274770963513568,1.3589579594346466e-06,1.7626123314345783e-06,4
normal_gate,0.023,-2.883220042858458e-24,-1.7205324176910637e-23,-2.5849394142282115e-24,-1.4620384762682426e-23,8,1.9259286512834228,1.3370975761826474e-06,1.7356530514404269e-06,4,1.9259286512811389,1.3370975761826478e-06,1.7356530514424854e-06,4
normal_gate,0.0235,-2.8902345181708115e-24,-1.402895062470701e-23,-2.274746684520826e-24,-1.1754203940186185e-23,8,1.9245136681199635,1.3163008690455093e-06,1.709913640586649e-06,4,1.9245136681178403,1.3163008690455095e-06,1.7099136405885357e-06,4
normal_gate,0.024,-2.896454900095114e-24,-1.2440763848605198e-23,-1.9645539548134407e-24,-1.0476209893791757e-23,8,1.9232197835900326,1.2965137253073085e-06,1.6853426430638292e-06,4,1.9232197835880616,1.2965137253073088e-06,1.685342643065557e-06,4
normal_gate,0.0245,-2.9016164908353487e-24,-1.0323181480469447e-23,-1.7060600133906196e-24,-8.617121467078827e-24,8,1.922035918561219,1.2776847566718452e-06,1.6618898017632824e-06,4,1.9220359185593838,1.2776847566718458e-06,1.6618898017648702e-06,4
normal_gate,0.025,-2.905851639289524e-24,-8.470296908350665e-24,-1.4992648602523627e-24,-6.971032048098302e-24,8,1.9209521238024996,1.259765123712373e-06,1.6395061439879672e-06,4,1.920952123800808,1.2597651237123731e-06,1.639506143989411e-06,4
normal_gate,0.025500000000000002,-2.909954438845691e-24,-8.205599112333695e-24,-1.1890721305449773e-24,-7.016526981788718e-24,8,1.919959447064347,1.2427083812707954e-06,1.6181440487856645e-06,4,1.9199594470627854,1.2427083812707952e-06,1.6181440487869804e-06,4
normal_gate,0.026000000000000002,-2.9140572384018578e-24,-8.205599112333695e-24,-9.305781891221561e-25,-7.27502092321154e-24,8,1.9190498182094178,1.2264703357208565e-06,1.5977572912427344e-06,4,1.9190498182079747,1.2264703357208567e-06,1.597757291243936e-06,4
normal_gate,0.0265,-2.9173659445699737e-24,-6.617412336231882e-24,-8.271806125530277e-25,-5.790231723678855e-24,8,1.9182159496558957,1.2110089141489773e-06,1.5783010697599209e-06,4,1.9182159496545639,1.2110089141489773e-06,1.578301069761017e-06,4
normal_gate,0.027,-2.9201452551460558e-24,-5.5586211521640075e-24,-7.237830359838992e-25,-4.834838116180108e-24,8,1.9174512498412515,1.196284049217257e-06,1.5597320261940152e-06,4,1.9174512498400254,1.1962840492172571e-06,1.559732026195013e-06,4
normal_gate,0.0275,-2.922924565722138e-24,-5.5586211521640075e-24,-5.557619740590655e-25,-5.002859178104942e-24,8,1.9167497477836224,1.182257571568259e-06,1.5420082524274856e-06,4,1.9167497477824866,1.182257571568259e-06,1.542008252428399e-06,4
normal_gate,0.028,-2.924380387318135e-24,-2.9116431919943187e-24,-5.040631857745012e-25,-2.4075800062198175e-24,8,1.9161060271262742,1.1688931148190994e-06,1.5250892934304044e-06,4,1.9161060271252084,1.1688931148190997e-06,1.5250892934312529e-06,4
normal_gate,0.0285,-2.925042115526081e-24,-1.3234564158925057e-24,-3.9420326066980225e-25,-9.292531552227034e-25,8,1.9155151683039187,1.1561560258652713e-06,1.508936140256439e-06,4,1.9155151683029463,1.1561560258652716e-06,1.5089361402572052e-06,4
