phase,time_s,cube_z_m,cube_vz_m_s,pad_vz_m_s,relative_vt_m_s,contact_count,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
normal_gate,0.0005,0.0,0.0,0.0,0.0,8,11.558424997274882,1.3620814473590487e-15,2.946079261837545e-16,4,11.558424997274916,1.3620814473590487e-15,2.946079261837537e-16,4
normal_gate,0.001,-3.9671553408684616e-38,-7.934310681736923e-35,0.0,-7.934310681736923e-35,8,10.317542860568153,4.686381614987843e-14,1.1355372297260753e-14,4,10.31754286056697,4.686381614987843e-14,1.1355372297262055e-14,4
normal_gate,0.0015,-7.934310681736924e-38,-7.934310681736925e-35,7.703719777548943e-34,-8.497150845722637e-34,8,9.288454459423477,4.540217401312362e-12,1.2220056149131854e-12,4,9.288454459464202,4.540217401312361e-12,1.2220056149078273e-12,4
normal_gate,0.002,6.134162372798429e-32,1.226834061421822e-28,-1.903126933845691e-29,1.417146754806391e-28,8,8.434382236746883,4.3033058328832407e-10,1.2755249027411322e-10,4,8.434382235260417,4.3033058328830463e-10,1.2755249029658718e-10,4
normal_gate,0.0025,2.051623739082419e-28,4.102020645690278e-25,-6.373365025461599e-26,4.739357148236438e-25,8,7.724942600610695,4.052559259274377e-08,1.3115175959216841e-08,4,7.724942654728137,4.052559259280744e-08,1.3115175867358477e-08,4
normal_gate,0.003,6.774557311618284e-25,1.3545011375758403e-21,-2.1041164493747558e-22,1.5649127825133158e-21,8,7.135033820479217,3.7974931479887105e-06,1.3305799396104528e-06,4,7.135031857395969,3.797493147783349e-06,1.3305803056250466e-06,4
normal_gate,0.0035,1.2096404484722256e-24,1.0643694346207945e-21,-1.327253298106814e-22,1.197094764431476e-21,8,6.643917664706247,9.645368732547778e-06,3.629398052216168e-06,4,6.643918132567043,9.645368732746342e-06,3.6293977967108144e-06,4
normal_gate,0.004,1.6376528561647235e-24,8.560248153849957e-22,-7.873483117669048e-23,9.347596465616862e-22,8,6.234477001137883,1.773818223848781e-05,7.112939158830136e-06,4,6.23447737747261,1.7738182238937244e-05,7.112938729648623e-06,4
normal_gate,0.0045000000000000005,2.003642026214818e-24,7.319783401001888e-22,-4.554420909800025e-23,7.775225491981891e-22,8,5.892580204848246,2.3570881669610912e-05,1.000023794763857e-05,4,5.892580506521744,2.3570881670230445e-05,1.0000237435934413e-05,4
normal_gate,0.005,2.3500222635189105e-24,6.927604746081852e-22,-3.02825652376835e-23,7.230430398458687e-22,8,5.606569412800445,2.768799125272137e-05,1.234622690548809e-05,4,5.606569653626165,2.7687991253387818e-05,1.2346226375462951e-05,4
normal_gate,0.0055,2.7138160238083787e-24,7.275875205789365e-22,-2.8660515755255295e-23,7.562480363341918e-22,8,5.36682954949995,3.0506230086221965e-05,1.421054544627021e-05,4,5.366829740787676,3.05062300868333e-05,1.4210544940054301e-05,4
normal_gate,0.006,3.1220298089620057e-24,8.16427570307254e-22,-3.5529992248566767e-23,8.519575625558208e-22,8,5.1654318895905895,3.234380406103033e-05,1.565396889958503e-05,4,5.165432040596463,3.234380406152286e-05,1.565396844219639e-05,4
normal_gate,0.006500000000000001,3.5901103583233146e-24,9.36161098722618e-22,-4.599091894052156e-23,9.821520176631395e-22,8,4.995838679020526,3.344333636637313e-05,1.6735596621051203e-05,4,4.9958387973164555,3.344333636671867e-05,1.6735596224943723e-05,4
normal_gate,0.007,4.122761978755457e-24,1.0653032408642852e-21,-5.611418792149279e-23,1.121417428785778e-21,8,4.852658647729197,3.3989637969215524e-05,1.751083294573016e-05,4,4.852658739506779,3.398963796941218e-05,1.751083261465181e-05,4
normal_gate,0.0075,4.7161452822929426e-24,1.1867666070749705e-21,-6.324538953049487e-23,1.2500119966054653e-21,8,4.73144490204972,3.412338409433724e-05,1.8030107504556677e-05,4,4.731444972369612,3.4123384094399554e-05,1.8030107236621738e-05,4
normal_gate,0.008,5.360500229908994e-24,1.288709895232103e-21,-6.595957591543449e-23,1.3546694711475375e-21,8,4.628528057654142,3.395159176114775e-05,1.8338222939473383e-05,4,4.628528110650404,3.395159176109867e-05,1.8338222729475745e-05,4
normal_gate,0.0085,6.042616757870391e-24,1.3642330559227951e-21,-6.38318476600979e-23,1.428064903582893e-21,8,4.5408786266277605,3.3555623156301354e-05,1.8474190743356815e-05,4,4.540878665675944,3.3555623156166574e-05,1.8474190584418293e-05,4
normal_gate,0.009000000000000001,6.747948654166074e-24,1.4106637925913655e-21,-5.718532219126361e-23,1.467849114782629e-21,8,4.465993646275883,3.299728862792706e-05,1.847141489746797e-05,4,4.465993674130364,3.299728862773141e-05,1.847141478215191e-05,4
normal_gate,0.0095,7.46214006215607e-24,1.4283828159799933e-21,-4.678901898466452e-23,1.4751718349646578e-21,8,4.401803361642348,3.232349662044716e-05,1.8358098922657805e-05,4,4.401803380549126,3.232349662021253e-05,1.835809884367221e-05,4
normal_gate,0.01,8.172077094160036e-24,1.419874064007932e-21,-3.3644602063314065e-23,1.453518666071246e-21,8,4.346594470823447,3.156979545735483e-05,1.81577759722395e-05,4,4.346594482612515,3.156979545709939e-05,1.8157775922844086e-05,4
normal_gate,0.0105,8.866483856753795e-24,1.3888135251875166e-21,-1.8798971889974668e-23,1.4076124970774913e-21,8,4.298947030212148,3.0763071474687446e-05,1.788988748784916e-05,4,4.298947036373187,3.076307147442546e-05,1.78898874620579e-05,4
normal_gate,0.011,9.536213974029957e-24,1.3394602345523223e-21,-3.2440989648564054e-24,1.3427043335171787e-21,8,4.257682611358948,2.992360517081559e-05,1.757035922016784e-05,4,4.257682613103178,2.9923605170557683e-05,1.7570359212818415e-05,4
normal_gate,0.0115,1.0174265063924216e-23,1.2761021797885196e-21,1.2168602292479306e-23,1.2639335774960403e-21,8,4.221821715670528,2.9066638918616414e-05,1.7212142575044717e-05,4,4.221821713981411,2.9066638918370067e-05,1.721214258178528e-05,4
normal_gate,0.012,1.0775656604611877e-23,1.2027830813753213e-21,2.675573852439588e-23,1.1760273428509255e-21,8,4.190548799493699,2.8203572927646786e-05,1.6825703670993123e-05,4,4.190548795168446,2.8203572927416874e-05,1.6825703688222522e-05,4
normal_gate,0.0125,1.1337203804307401e-23,1.1230943993910478e-21,4.001163095798493e-23,1.0830827684330628e-21,8,4.163183550605869,2.7342878138919206e-05,1.641945268960096e-05,4,4.16318354428949,2.7342878138708542e-05,1.6419452714386036e-05,4
normal_gate,0.013000000000000001,1.185724155269742e-23,1.040075496780037e-21,5.1597006295128994e-23,9.88478490484908e-22,8,4.139157296725108,2.6490793361089286e-05,1.6000112741577097e-05,4,4.13915728893809,2.649079336089916e-05,1.6000112771563358e-05,4
normal_gate,0.0135,1.23353566921015e-23,9.5623027880816e-22,6.131314731835928e-23,8.949171314898007e-22,8,4.117993625163436,2.565185792375965e-05,1.5573031589346846e-05,4,4.117993616324541,2.565185792359019e-05,1.557303162267005e-05,4
normal_gate,0.014,1.2772118125503693e-23,8.735228668043867e-22,6.908977598735147e-23,8.044330908170353e-22,8,4.099292456859269,2.48293187399867e-05,1.514244165382752e-05,4,4.099292447304274,2.482931873983724e-05,1.5142441689031719e-05,4
normal_gate,0.0145,1.3168837041998568e-23,7.9343783298975e-22,7.494627934771226e-23,7.184915536420378e-22,8,4.082716953431873,2.4025441484183603e-05,1.4711674699851629e-05,4,4.082716943428823,2.4025441484052977e-05,1.4711674735816663e-05,4
normal_gate,0.015,1.3527360254753714e-23,7.170464255102944e-22,7.897636145320743e-23,6.38070064057087e-22,8,4.067982747451474,2.3241748484752513e-05,1.4283337668598212e-05,4,4.06798273721297,2.324174848463924e-05,1.4283337704477621e-05,4
normal_gate,0.0155,1.384988966291741e-23,6.450588163273926e-22,8.132219397161953e-23,5.637366223557731e-22,8,4.0548490778768445,2.2479200568812158e-05,1.3859455763383472e-05,4,4.054849067570533,2.247920056871461e-05,1.3859455798550255e-05,4
normal_gate,0.016,1.4138848470396279e-23,5.77917614957739e-22,8.215745251984202e-23,4.95760162437897e-22,8,4.043111488014196,2.173833603212575e-05,1.3441588301836993e-05,4,4.04311147777096,2.1738336032042243e-05,1.3441588335839664e-05,4
normal_gate,0.0165,1.439676088259192e-23,5.158248243912835e-22,8.167196858610729e-23,4.341528558051762e-22,8,4.03259580523331,2.1019376799587208e-05,1.3030922149641966e-05,4,4.03259579515422,2.101937679951611e-05,1.303092218216744e-05,4
normal_gate,0.017,1.462617007388522e-23,4.588183825866001e-22,8.006122821361633e-23,3.787571543729838e-22,8,4.023153172445979,2.032230946852165e-05,1.2628346844774854e-05,4,4.023153162607951,2.032230946846142e-05,1.2628346875618188e-05,4
