phase,time_s,cube_z_m,cube_vz_m_s,pad_vz_m_s,relative_vt_m_s,contact_count,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
normal_gate,0.0005,-7.746229573991581e-37,-1.549245914798316e-33,2.527783052008247e-34,-1.8020242199991408e-33,8,12.140609026979266,1.1774099155282346e-15,2.4245281124525033e-16,4,12.140609026979266,1.177409915528235e-15,2.424528112452504e-16,4
normal_gate,0.001,2.747077512337502e-35,5.649079616154835e-32,-8.474091755303838e-33,6.496488791685219e-32,8,10.834222564534777,5.839625450256699e-14,1.3474952668436929e-14,4,10.834222564534812,5.8396254502567e-14,1.3474952668436888e-14,4
normal_gate,0.0015,-9.116178614016287e-34,-1.8781772730500073e-30,3.4512664603419266e-31,-2.2233039190842e-30,8,9.750951190260302,5.292184620421128e-12,1.356838045119948e-12,4,9.750951190259041,5.292184620421128e-12,1.3568380451201235e-12,4
normal_gate,0.002,3.547473120191473e-31,7.1131785976109785e-28,-1.135959703518257e-28,8.249138301129236e-28,8,8.852063332944175,4.988300872354962e-10,1.4087960864983626e-10,4,8.852063332991806,4.988300872354974e-10,1.4087960864907853e-10,4
normal_gate,0.0025,6.34028487128223e-28,1.2673474796324078e-24,-2.0679515313825692e-25,1.4741426327706647e-24,8,8.10555336775657,4.679902008069157e-08,1.4434245867424489e-08,4,8.1055533660179,4.6799020080689167e-08,1.4434245870519942e-08,4
normal_gate,0.003,2.062899999745375e-24,4.124531942516493e-21,-6.726529343704652e-22,4.797184876886958e-21,8,7.484971586648637,4.367227086397215e-06,1.458665218645346e-06,4,7.484971649691914,4.367227086404896e-06,1.4586652063620885e-06,4
normal_gate,0.0035,3.681607484226949e-24,3.2374149689631485e-21,-4.236715699920039e-22,3.661086538955153e-21,8,6.9684656048157905,1.0317339707020358e-05,3.7014388432548966e-06,4,6.968465589844467,1.0317339707013384e-05,3.7014388512047103e-06,4
normal_gate,0.004,4.984921296523067e-24,2.6066276245922364e-21,-2.517730989458278e-22,2.8584007235380642e-21,8,6.537988746086787,1.8973415363914456e-05,7.255065778168668e-06,4,6.5379887340358405,1.8973415363898742e-05,7.255065791535337e-06,4
normal_gate,0.0045000000000000005,6.0895697565510836e-24,2.209296920056034e-21,-1.4248186051225902e-22,2.351778780568293e-21,8,6.178644745550318,2.520225215619008e-05,1.0197322064171118e-05,4,6.178644735882813,2.5202252156168436e-05,1.0197322080117746e-05,4
normal_gate,0.005,7.120071186808866e-24,2.0610028605155646e-21,-8.943890373229612e-23,2.1504417642478607e-21,8,5.878143223117485,2.9590994189587653e-05,1.2585179140078015e-05,4,5.878143215393425,2.959099418956438e-05,1.2585179156605428e-05,4
normal_gate,0.0055,8.187514269928919e-24,2.134886166240105e-21,-8.013312184107456e-23,2.2150192880811796e-21,8,5.6263476281522244,3.258863884057211e-05,1.4480370301645713e-05,4,5.62634762201127,3.2588638840550766e-05,1.4480370317441027e-05,4
normal_gate,0.006,9.371665386501272e-24,2.3683022331447067e-21,-9.791750501096465e-23,2.4662197381556713e-21,8,5.414899936272492,3.453757928156179e-05,1.594562212046007e-05,4,5.414899931419611,3.453757928154462e-05,1.594562213474275e-05,4
