phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_signed_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_signed_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,-4.248437539267069e-13,-4.33544284931457e-15,5.238890308438375e-16,-4.367166350771612e-15,3.1723501457041683e-17,128,0,-1,4.254362598030282,2.9698927087477837e-07,4,1.7452042699197806e-07,-0.00010669231414794922,6.644725799559437e-06,0.00010004758834838978,4.305609449775503,1.4829304744617113e-06,4,8.610456265018605e-07,-0.00010730698704719543,7.356256246565662e-06,9.995073080062977e-05
normal_gate,0.005,-4.2485524646973527e-13,-4.8442712108397526e-15,5.12126284305317e-16,-4.924012586560167e-15,7.974137572041434e-17,128,0,-1,4.280655839017657,1.898656026506615e-09,4,1.1088581387462854e-09,-0.00010676681995391846,6.803050637244068e-06,9.996376931667439e-05,4.279316208788128,1.898631543544481e-09,4,1.1091909611898953e-09,-0.0001072324812412262,7.197931408881031e-06,0.00010003454983234517
normal_gate,0.0075,-4.248682568958051e-13,-5.422449971404907e-15,4.990209905453985e-16,-5.455271651078064e-15,3.2821679673156884e-17,128,0,-1,4.280590196189813,1.8330688218170826e-09,4,1.0705701420850282e-09,-0.00010690093040466309,6.918534636496387e-06,9.99823957681667e-05,4.279381851615972,1.8330466422417812e-09,4,1.0708594756212217e-09,-0.00010709837079048157,7.0824474096287116e-06,0.00010001592338085286
normal_gate,0.01,-4.2488262257459053e-13,-5.948064408362302e-15,4.846248185738644e-16,-5.959642501718321e-15,1.1578093356019031e-17,128,0,-1,4.280250566573254,1.7636675454953276e-09,4,1.0301193341744655e-09,-0.00010696053504943848,6.966963410376392e-06,9.999357163906208e-05,4.2797214812325315,1.7636470875855928e-09,4,1.030234733334606e-09,-0.00010703876614570618,7.034018635748707e-06,0.00010000474750995747
normal_gate,0.0125,-4.248982350858743e-13,-6.4314597586132265e-15,4.690055310264951e-16,-6.435824095873954e-15,4.3643372607277825e-18,128,0,-1,4.280081233401532,1.6907712855806588e-09,4,9.87581305925906e-10,-0.00010698288679122925,6.987452507017933e-06,9.999543428421132e-05,4.2798908144042525,1.6907521630716435e-09,4,9.876140749790313e-10,-0.0001070164144039154,7.013529539107166e-06,0.00010000288486480824
normal_gate,0.015,-4.249149860094392e-13,-6.880712057793278e-15,4.52241054934438e-16,-6.882515390937982e-15,1.8033331447044054e-18,128,0,-1,4.280019466406128,1.614705642927132e-09,4,9.431648942259234e-10,-0.00010699406266212463,6.9949030876148566e-06,9.999915957450978e-05,4.279952581399656,1.6146882680554302e-09,4,9.431694845596775e-10,-0.00010700523853302002,7.006078958510242e-06,9.999915957450978e-05
normal_gate,0.0175,-4.249328482402309e-13,-7.300064517451726e-15,4.3440592919705145e-16,-7.301017429517387e-15,9.529120656610879e-19,128,0,-1,4.279997210456905,1.5357365313645229e-09,4,8.970429511101115e-10,-0.0001069977879524231,6.9967657327640875e-06,0.00010000102221965901,4.279974837348879,1.535720288638631e-09,4,8.970381526763212e-10,-0.00010700151324272156,7.004216313361011e-06,9.999729692936055e-05
normal_gate,0.02,-4.2495168625297786e-13,-7.680059591216003e-15,4.1557469271369385e-16,-7.680054509018319e-15,-5.082197683525802e-21,128,0,-1,4.279986187083099,1.4561177826215243e-09,4,8.505388329383249e-10,-0.0001069977879524231,6.9986283779133185e-06,9.999915957450978e-05,4.279985860722686,1.456100350517533e-09,4,8.505287154568233e-10,-0.00010700151324272156,7.00235366821178e-06,9.999915957450978e-05
normal_gate,0.0225,-4.2497150004768003e-13,-8.1021733782825e-15,3.957473454843652e-16,-8.102025994549678e-15,-1.4738373282224826e-19,128,0,-1,4.279986024299957,1.3568454270794809e-09,4,7.925524869566655e-10,-0.0001069977879524231,7.0004910230625494e-06,9.999729692936055e-05,4.279986023505828,1.3568318610927345e-09,4,7.925445630201641e-10,-0.00010700151324272156,7.0004910230625494e-06,0.00010000102221965901
normal_gate,0.025,-4.249922354142288e-13,-8.425141111839934e-15,3.749848738812678e-16,-8.425118241950358e-15,-2.286988957586611e-20,128,0,-1,4.27994088596933,1.2717263027164381e-09,4,7.428410441867674e-10,-0.0001069977879524231,7.0004910230625494e-06,9.999729692936055e-05,4.280031161836455,1.2717138924664819e-09,4,7.428181270068259e-10,-0.00010700151324272156,7.0004910230625494e-06,0.00010000102221965901
normal_gate,0.0275,-4.2501378393240696e-13,-8.715758116042884e-15,3.5349056581174265e-16,-8.716118105045467e-15,3.5998900258307764e-19,128,0,-1,4.280029845061459,1.1850439935925272e-09,4,6.921937676205097e-10,-0.00010700151324272156,6.9986283779133185e-06,0.00010000288486480824,4.2799422027443255,1.1850328878304412e-09,4,6.922014548879834e-10,-0.0001069977879524231,7.00235366821178e-06,9.999543428421132e-05
normal_gate,0.03,-4.250360100769429e-13,-8.974670677030106e-15,3.313186313844141e-16,-8.974591902966012e-15,-7.877406409464993e-20,128,0,-1,4.27994218617923,1.097119672064873e-09,4,6.408495864778773e-10,-0.0001069977879524231,7.0004910230625494e-06,9.999729692936055e-05,4.280029861626555,1.097109868394584e-09,4,6.408307324155242e-10,-0.00010700151324272156,7.0004910230625494e-06,0.00010000102221965901
normal_gate,0.0325,-4.250587783225651e-13,-9.200156776819832e-15,3.085097281807503e-16,-9.200105954842996e-15,-5.082197683525802e-20,128,0,-1,4.280029861418413,1.0082564680637524e-09,4,5.889307438906591e-10,-0.00010700151324272156,6.9986283779133185e-06,0.00010000288486480824,4.2799421863873714,1.0082479670481265e-09,4,5.889378425805162e-10,-0.0001069977879524231,7.00235366821178e-06,9.999543428421132e-05
normal_gate,0.035,-4.2508206156421924e-13,-9.393110035171414e-15,2.85212933999468e-16,-9.393093941545416e-15,-1.6093625997831706e-20,128,0,-1,4.279942186384883,9.187547681035796e-10,4,5.366630716568274e-10,-0.0001069977879524231,7.0004910230625494e-06,9.999729692936055e-05,4.280029861420902,9.187475682283248e-10,4,5.366478727810296e-10,-0.00010700151324272156,7.0004910230625494e-06,0.00010000102221965901
