phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_signed_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_signed_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,-3.5691081709011974e-13,-5.967181941981831e-15,7.181789071861872e-16,-5.973086608657141e-15,5.904666675309728e-18,128,0,-1,4.011200469944166,4.2940542605260764e-07,4,2.676289986440049e-07,-0.00010073930025100708,6.768107414234503e-07,0.00010006248950958363,4.068656164195848,2.144558892054095e-06,4,1.3177317064330735e-06,-0.00010125711560249329,1.3250112533558234e-06,9.993210434913746e-05
normal_gate,0.005,-3.5692667354689234e-13,-6.664963872281661e-15,7.020954455837225e-16,-6.73679861895593e-15,7.183474667426908e-17,128,0,-1,4.039649050216429,1.5418843935299757e-09,4,9.542192739783714e-10,-0.00010073930025100708,7.77393579481922e-07,9.996190667152516e-05,4.040207583923585,1.5418321089728267e-09,4,9.540550064233953e-10,-0.00010125711560249329,1.2244284152973517e-06,0.00010003268718719593
normal_gate,0.0075,-3.569445086726297e-13,-7.436086997352452e-15,6.841586758926654e-16,-7.464948797997195e-15,2.886180064474303e-17,128,0,-1,4.041163236702512,1.4880860820767958e-09,4,9.205802852516277e-10,-0.00010089203715324402,9.133666753757819e-07,9.997867047786824e-05,4.03884240904944,1.4880375593608138e-09,4,9.210792404444359e-10,-0.00010110810399055481,1.0884553194034918e-06,0.00010001964867115132
normal_gate,0.01,-3.5696418694206034e-13,-8.146114906487211e-15,6.644465251441634e-16,-8.155368741435964e-15,9.253834948753231e-18,128,0,-1,4.040559541019572,1.4312076720028107e-09,4,8.855256663546576e-10,-0.0001009628176689148,9.692460298527106e-07,9.999357163906208e-05,4.039446104732379,1.4311627938816206e-09,4,8.857419784639247e-10,-0.00010103732347488403,1.0325759649265631e-06,0.00010000474750995747
normal_gate,0.0125,-3.569855457248583e-13,-8.804774502535733e-15,6.430674135554648e-16,-8.808058449272238e-15,3.2839467365049224e-18,128,0,-1,4.040116537774445,1.3715099096958508e-09,4,8.486821462156178e-10,-0.00010098516941070557,9.89735126494251e-07,9.999543428421132e-05,4.03974009636557,1.3714680964023707e-09,4,8.487353540616625e-10,-0.0001010112464427948,1.0120868682850226e-06,9.999915957450978e-05
normal_gate,0.015,-3.570085037058607e-13,-9.42053018573993e-15,6.201229850802403e-16,-9.42128319803004e-15,7.53012290109073e-19,128,0,-1,4.040070325529886,1.3092570638581143e-09,4,8.101697237698427e-10,-0.00010099634528160095,9.97185707091175e-07,9.999915957450978e-05,4.039935320222066,1.3092178756471897e-09,4,8.10172547252084e-10,-0.00010100379586219788,1.0046362876880988e-06,9.999915957450978e-05
normal_gate,0.0175,-3.570328982547416e-13,-9.99402739520561e-15,5.957013311450043e-16,-9.994609306840374e-15,5.819116347637043e-19,128,0,-1,4.03994296350977,1.244686312357223e-09,4,7.70237552608837e-10,-0.00010099634528160095,9.990483522404059e-07,9.999729692936055e-05,4.039913670630244,1.2446500630314022e-09,4,7.702207055065804e-10,-0.00010100007057189941,1.0027736425388678e-06,9.999729692936055e-05
normal_gate,0.02,-3.5705864805633813e-13,-1.0525017950279228e-14,5.699244244941615e-16,-1.0525434690489277e-14,4.1674021004911577e-19,128,0,-1,4.040009742987988,1.1781135380515711e-09,4,7.290288965864221e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.039995902763964,1.1780800291636834e-09,4,7.290106583757298e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
normal_gate,0.0225,-3.5708569890054165e-13,-1.1009673262039193e-14,5.428668040270701e-16,-1.1009422540286806e-14,-2.507217523872729e-19,128,0,-1,4.040003145226185,1.1102911363043934e-09,4,6.870608118315166e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002500525767,1.1102603337374932e-09,4,6.870418604895688e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
normal_gate,0.025,-3.5711402368229783e-13,-1.1535803542061466e-14,5.145623510616204e-16,-1.1535911115245767e-14,1.0757318430129614e-19,128,0,-1,4.040002828706993,1.0274492595545568e-09,4,6.357973639608769e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002817044958,1.0274215673464345e-09,4,6.357802295407415e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
normal_gate,0.0275,-3.571436224016067e-13,-1.2034205351522421e-14,4.849636317527661e-16,-1.2034210433720105e-14,5.082197683525802e-21,128,0,-1,4.040002822954601,9.393768499108516e-10,4,5.81297149455858e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822797351,9.393522208294467e-10,4,5.812819087209368e-10,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
