sweep_group,engine,device,dt_ms,ke_N_m,tau_ms,kd_Ns_m,rigid_gap_mm,preset,max_penetration_mm,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,solver_iterations_mean,solver_iterations_max,max_contacts,truncated_contacts,order_preserved,escaped,failure,stepping_wall_s
primary_dt_x_ke,sap_warp,cuda:0,0.1,1000.0,3.0,3.0,0.1,drake,200.0463902950287,6.170614065912862,15.211226106740403,0.0002994299090156862,0.0005994012455156025,2.0,-1.0,-1,24,0,False,True,True,196.16645182200045
primary_dt_x_ke,sap_warp,cuda:0,0.1,3000.0,3.0,9.0,0.1,drake,195.69604098796844,4.726019519381225,5.774295244865993,0.0619979497666161,0.005481887774391709,1.5486,-1.0,-1,21,0,False,True,True,145.07919786499951
primary_dt_x_ke,sap_warp,cuda:0,0.1,10000.0,3.0,30.0,0.1,drake,2.3205995094031096,0.8146579554304482,0.1958201650993803,0.0017298540721339892,0.0006436839405516648,2.0,-1.0,-1,13,0,True,False,False,137.73263235600007
primary_dt_x_ke,sap_warp,cuda:0,0.1,30000.0,3.0,90.0,0.1,drake,1.0703445877879858,0.21011121012270462,0.12214694764275486,0.0,3.5595407930821337e-08,0.25730000000000003,-1.0,-1,12,0,True,False,False,141.85533398799998
primary_dt_x_ke,sap_warp,cuda:0,0.1,100000.0,3.0,300.0,0.1,drake,0.3985485527664423,0.007386875959734286,0.040397485546712485,0.0,1.1952720694260962e-07,0.1736,-1.0,-1,12,0,True,False,False,163.97821569499956
primary_dt_x_ke,sap_warp,cuda:0,0.1,300000.0,3.0,900.0,0.1,drake,0.14524487778544426,0.06910938707490721,0.015994659708149894,0.0,3.7796963010534233e-08,0.16720000000000002,-1.0,-1,12,0,True,False,False,175.63066930400055
primary_dt_x_ke,sap_warp,cuda:0,0.1,1000000.0,3.0,3000.0,0.1,drake,0.04946417175233364,0.09071506187319743,0.005328722047945077,1.5522042939170033e-07,2.4544117023996736e-07,0.16110000000000002,-1.0,-1,12,0,True,False,False,206.44075452800007
primary_dt_x_ke,sap_warp,cuda:0,0.25,1000.0,3.0,3.0,0.1,drake,198.48908483982086,6.178056080282356,16.66821744448084,0.00032295065466314554,6.522250283383595e-07,1.20775,-1.0,-1,24,0,True,True,True,85.09936371799995
primary_dt_x_ke,sap_warp,cuda:0,0.25,3000.0,3.0,9.0,0.1,drake,195.69635391235352,4.7143410835415125,3.6984540527178775,0.005304852190116897,0.0007791816555541248,2.0,-1.0,-1,17,0,False,True,True,67.06651263099957
primary_dt_x_ke,sap_warp,cuda:0,0.25,10000.0,3.0,30.0,0.1,drake,2.058940241113305,0.7783956304192544,0.19330573759682235,0.04794576670974493,0.0018352727338644462,2.0,-1.0,-1,13,0,True,False,False,57.94902204099981
primary_dt_x_ke,sap_warp,cuda:0,0.25,30000.0,3.0,90.0,0.1,drake,0.9776318911463022,0.20531695553412024,0.14691019045677148,0.0064833244929713915,0.0008068888249753237,2.0,-1.0,-1,12,0,True,False,False,56.37937775699993
primary_dt_x_ke,sap_warp,cuda:0,0.25,100000.0,3.0,300.0,0.1,drake,0.36276516038924456,0.007386914764840984,0.03935902478753308,0.0,2.4820142484431544e-07,0.16875,-1.0,-1,12,0,True,False,False,68.64240289399913
primary_dt_x_ke,sap_warp,cuda:0,0.25,300000.0,3.0,900.0,0.1,drake,0.13804039917886257,0.06911761375765021,0.015640504718980926,0.0,1.1047107624185281e-07,0.167,-1.0,-1,12,0,True,False,False,85.14659331999974
primary_dt_x_ke,sap_warp,cuda:0,0.25,1000000.0,3.0,3000.0,0.1,drake,0.046798260882496834,0.09072383182744201,0.004563713800354903,0.0,1.0164549789003188e-07,0.1595,-1.0,-1,12,0,True,False,False,85.10342347999995
primary_dt_x_ke,sap_warp,cuda:0,0.5,1000.0,3.0,3.0,0.1,drake,10.797163471579552,5.312329765719672,0.0747190563395792,0.18808256330279016,0.014756089893035021,2.0,-1.0,-1,24,0,False,False,True,79.88001637399975
primary_dt_x_ke,sap_warp,cuda:0,0.5,3000.0,3.0,9.0,0.1,drake,195.69523632526398,4.6924157322694855,6.499804065995321,0.0004728790372610092,0.0007095447889881995,2.0,-1.0,-1,19,0,False,True,True,35.18636798500029
primary_dt_x_ke,sap_warp,cuda:0,0.5,10000.0,3.0,30.0,0.1,drake,2.0777161698788404,0.7162983783831197,0.20085399966094106,0.00019584937642046912,0.0012436209072238626,2.0,-1.0,-1,13,0,True,False,False,30.59018238199951
primary_dt_x_ke,sap_warp,cuda:0,0.5,30000.0,3.0,90.0,0.1,drake,0.9399406844750047,0.17460822345068042,0.12424461960467084,0.0001648440957069397,0.00043194513813454274,2.0,-1.0,-1,12,0,True,False,False,29.195826375999786
